"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-839615921283068","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/23/21","8:38 PM","35.76","0.00","0","2.77","0","38.53","-4.47","-1.48","0"
"O-252515776121300","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-252515776121300","Late delivery (order is too late)","7/8/21","10:25 PM","-25.96","-2.99","0","-2.24","-0.02","-31.21","3.62","1.25","0"
"O-486315978293292","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/28/21","8:52 PM","27.47","2.99","0","2.36","0","32.82","-3.81","-1.30","0"
"O-223815742636638","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/6/21","2:37 PM","22.98","0.00","0","1.78","0","24.76","-2.87","-1.06","0"
"O-623815799062791","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/11/21","3:53 PM","23.98","2.99","0","2.09","5.81","34.87","-3.37","-1.36","0"
"O-989615844151724","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/15/21","9:14 PM","49.75","2.99","0","4.09","13.40","70.23","-6.59","-2.44","0"
"O-839615921215414","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/23/21","5:51 PM","11.99","0.00","0","0.93","0","12.92","-1.50","-0.69","0"
"O-486316008292344","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/31/21","6:58 PM","27.57","4.99","0","2.53","7.02","42.11","-4.07","-1.58","0"
"O-483815849851814","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/16/21","5:09 PM","14.99","0.00","0","1.16","0","16.15","-1.87","-0.79","0"
"W-989615854109333","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/17/21","12:15 PM","55.96","2.99","0","4.57","12.70","76.22","0","-2.62","0"
"O-871115737066432","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/5/21","12:00 PM","18.47","2.99","0","1.66","3.46","26.58","-2.68","-1.11","0"
"O-735115732981542","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/5/21","4:59 PM","26.97","2.99","0","2.32","6.46","38.74","-3.75","-1.48","0"
"W-359415770062164","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","5:33 PM","22.32","2.99","0","1.96","8.18","35.45","0","-1.38","0"
"W-782615939811103","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/25/21","4:48 PM","25.57","0.00","0","1.98","2.76","30.31","0","-1.22","0"
"W-423115952839500","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/27/21","1:12 PM","29.98","2.99","0","2.55","5.33","40.85","0","-1.55","0"
