,,,,Aroma Pizza & Pasta,,,
,,,,Start Date,,11/1/2020,
,,,,,End Date,12/1/2020,
,,,,Prepaid Total,,$37.70,
,,,,Taxes Withheld,,$2.92,
,Orders,Subtotal,Tax,Delivery,Tip,,Total
Card,1,$34.71,$0.00,$2.99,$0.00,$37.70,
Cash,0,$0.00,$0.00,$0.00,,-,$0.00
Total,1,$34.71,$0.00,$2.99,$0.00,$37.70,
,,Charge,,,,,Note
Prepaid Total,,$37.70,,,,,
Commission (Comm),,($5.66),,,,,
Processing (Proc),,($1.53),,,,,
Total Charges,,($7.19),,,,,
11/11/2020,,,ID,Tip,Total,Proc,Comm
6:04 PM,Delivery,CARD,24197421,$0.00,$37.70,$1.53,$5.66
,Phone: (866) 654-8777,,Email: support@eatstreet.com,,,,
