"STORE_ID","STORE_NAME","BUSINESS_ID","MERCHANT_STORE_ID","PAYOUT_DATE","SUBTOTAL","TAX","COMMISSION","commission tax","drive charge","marketing fees","error charges","adjustments","total before adjustments","net payout","TRANSACTIONS_START_LOCAL_DATE","TRANSACTIONS_END_LOCAL_DATE","TRANSACTIONS_START_UTC_DATE","TRANSACTIONS_END_UTC_DATE","PAYOUT_ID","TAX_REMITTED_BY_DOORDASH_TO_STATE"
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,341.34,341.34,"2020-11-02","2020-11-02","2020-11-02","2020-11-02","67897564",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-03",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,664.61,664.61,"2020-11-03","2020-11-03","2020-11-03","2020-11-03","68676454",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,893.99,893.99,"2020-11-04","2020-11-04","2020-11-04","2020-11-04","68716413",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-05",900.44,68.98,133.53,0.00,0.00,8.91,27.89,0.00,799.09,799.09,"2020-11-01","2020-11-05","2020-11-01","2020-11-05","68758510",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-06",479.51,37.18,71.93,0.00,0.00,6.93,0.00,0.00,437.83,437.83,"2020-11-02","2020-11-06","2020-11-03","2020-11-06","69018078",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-09",1424.55,108.99,210.98,0.00,0.00,19.80,0.00,5.94,1302.76,1308.70,"2020-11-03","2020-11-09","2020-11-03","2020-11-09","69069939",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-10",897.06,69.53,134.57,0.00,0.00,10.89,0.00,0.00,821.13,821.13,"2020-11-06","2020-11-10","2020-11-06","2020-11-10","69852840",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-11",605.24,46.90,90.82,0.00,0.00,6.93,0.00,0.00,554.39,554.39,"2020-11-07","2020-11-11","2020-11-07","2020-11-11","69891323",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-12",431.74,33.47,64.76,0.00,0.00,8.91,0.00,0.00,391.54,391.54,"2020-11-08","2020-11-12","2020-11-08","2020-11-12","69937492",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-13",249.59,19.35,37.45,0.00,0.00,2.97,0.00,0.00,228.52,228.52,"2020-11-09","2020-11-13","2020-11-09","2020-11-13","70203792",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-16",1039.47,80.53,155.93,0.00,0.00,12.87,0.00,0.00,951.20,951.20,"2020-11-10","2020-11-16","2020-11-10","2020-11-16","70250182",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-17",674.53,52.26,101.22,0.00,0.00,6.93,6.38,0.00,612.26,612.26,"2020-11-13","2020-11-17","2020-11-13","2020-11-17","71040198",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-18",523.91,40.60,78.59,0.00,0.00,7.92,0.00,0.00,478.00,478.00,"2020-11-14","2020-11-18","2020-11-14","2020-11-18","71075134",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-19",767.52,59.49,115.16,0.00,0.00,10.89,4.52,0.00,696.44,696.44,"2020-11-15","2020-11-19","2020-11-15","2020-11-19","71121772",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-20",570.24,43.35,83.92,0.00,0.00,0.99,0.00,0.00,528.68,528.68,"2020-11-16","2020-11-20","2020-11-16","2020-11-20","71386803",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-23",811.40,62.87,121.74,0.00,0.00,5.94,10.43,0.00,736.16,736.16,"2020-11-16","2020-11-23","2020-11-17","2020-11-23","71436333",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-24",701.92,54.40,105.31,0.00,0.00,7.92,0.00,0.00,643.09,643.09,"2020-11-19","2020-11-24","2020-11-20","2020-11-24","72236506",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-25",662.89,51.39,99.42,0.00,0.00,6.93,14.60,0.00,593.33,593.33,"2020-11-21","2020-11-25","2020-11-21","2020-11-25","72267835",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-26",457.72,35.47,68.68,0.00,0.00,6.93,0.00,0.00,417.58,417.58,"2020-11-22","2020-11-26","2020-11-22","2020-11-26","72312211",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-27",424.75,32.91,63.72,0.00,0.00,8.91,0.00,0.00,385.03,385.03,"2020-11-23","2020-11-27","2020-11-23","2020-11-27","72584527",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-11-30",985.98,75.61,146.37,0.00,0.00,9.90,0.00,0.00,905.32,905.32,"2020-11-24","2020-11-30","2020-11-24","2020-11-30","72633063",0.00
486867,"Aroma Pizza & Pasta",223895,"NULL","2020-12-01",436.93,33.86,65.56,0.00,0.00,6.93,0.00,0.00,0.00,0.00,"2020-11-27","2020-11-27","2020-11-27","2020-11-28","73402866",0.00
