"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-727413883560560","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/31/20","6:15 PM","43.83","0","2.99","3.63","7.57","58.02","-5.85","-2.07","0"
"O-640013889137312","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/31/20","9:36 PM","41.23","0","4.99","3.59","4.98","54.79","-5.78","-1.97","0"
"W-235013751232367","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/18/20","7:36 PM","47.78","0","2.99","3.93","10.94","65.64","0","-2.30","0"
"O-920113871183189","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/30/20","6:42 PM","52.27","0","2.99","4.28","8.93","68.47","-6.91","-2.39","0"
"O-139913682743459","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/11/20","7:50 PM","26.32","0","2.99","2.27","3.16","34.74","-3.66","-1.36","0"
"O-920113741187145","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/17/20","5:53 PM","41.71","0","0.00","3.23","0","44.94","-5.21","-1.67","0"
"O-829013682857260","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/12/20","3:13 PM","17.99","0","0.00","1.39","0","19.38","-2.25","-0.89","0"
"O-655213596302316","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/2/20","9:38 PM","17.97","0","2.99","1.62","2.26","24.84","-2.62","-1.06","0"
"O-743313760494931","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/19/20","6:56 PM","25.48","0","4.99","2.36","4.00","36.83","-3.81","-1.42","0"
"W-960013694037125","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/12/20","6:52 PM","54.62","0","0.00","4.23","5.46","64.31","0","-2.26","0"
"O-727413753575871","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/19/20","2:50 PM","32.98","0","0.00","2.56","3.55","39.09","-4.12","-1.49","0"
"O-279613786996738","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/21/20","6:03 PM","9.99","0","0.00","0.77","0","10.76","-1.25","-0.63","0"
"O-621913584887173","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/1/20","7:43 PM","50.47","0","2.99","4.14","8.64","66.24","-6.68","-2.32","0"
"O-517313672326954","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/10/20","7:33 PM","27.15","0","2.99","2.33","3.00","35.47","-3.77","-1.38","0"
"W-076513597871185","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"12/3/20","5:45 PM","53.69","0","2.99","4.39","10.00","71.07","0","-2.47","0"
