"Delivery Date","Order #",Name,Location,"Food Total",Period,"Check Date"
12/30/2020,1104255,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",56.69,2,01/22/2021
12/22/2020,1103111,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",349.95,1,01/08/2021
12/21/2020,1102386,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",87.92,1,01/08/2021
12/18/2020,1095469,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",195.50,1,01/08/2021
12/17/2020,1096244,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",147.50,1,01/08/2021
12/11/2020,1088067,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",119.90,26,12/25/2020
12/11/2020,1088094,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",119.90,26,12/25/2020
12/10/2020,1090880,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",18.24,26,12/25/2020
12/10/2020,1091469,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,26,12/25/2020
12/10/2020,1091572,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",19.99,26,12/25/2020
12/10/2020,1091869,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",14.74,26,12/25/2020
12/10/2020,1091884,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",18.24,26,12/25/2020
12/10/2020,1091893,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",17.99,26,12/25/2020
12/10/2020,1090182,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",16.98,26,12/25/2020
12/10/2020,1090752,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",21.95,26,12/25/2020
12/10/2020,1091881,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",21.95,26,12/25/2020
12/08/2020,1090263,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",53.92,26,12/25/2020
12/07/2020,1090196,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",122.10,26,12/25/2020
12/04/2020,1083107,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",95.90,26,12/25/2020
