DateWeekEnding,Orders,OrderTotal,AmountDue,CSHangups,CSProblems,CSStatusChecks
12/1/2019 12:00:00 AM,3,153.00,56.67,0,0,0
12/8/2019 12:00:00 AM,2,56.46,25.04,3,0,0
12/15/2019 12:00:00 AM,9,355.71,141.79,2,0,1
12/22/2019 12:00:00 AM,9,276.87,120.25,0,2,0
12/29/2019 12:00:00 AM,4,152.84,61.35,0,0,0
1/5/2020 12:00:00 AM,7,378.95,141.90,1,0,1
1/12/2020 12:00:00 AM,9,328.65,133.92,2,0,0
1/19/2020 12:00:00 AM,16,590.98,240.50,3,1,2
1/26/2020 12:00:00 AM,7,212.84,92.34,1,0,0
2/2/2020 12:00:00 AM,12,352.33,153.37,0,0,0
2/9/2020 12:00:00 AM,5,223.56,86.38,0,0,1
2/16/2020 12:00:00 AM,7,260.26,104.65,0,0,1
2/23/2020 12:00:00 AM,17,563.63,237.00,1,1,0
3/1/2020 12:00:00 AM,5,127.67,57.99,5,0,0
3/8/2020 12:00:00 AM,10,442.17,171.44,0,0,0
3/15/2020 12:00:00 AM,6,217.94,88.68,0,0,0
3/22/2020 12:00:00 AM,7,295.53,115.36,0,0,0
3/29/2020 12:00:00 AM,3,112.23,46.60,0,0,0
4/5/2020 12:00:00 AM,5,200.60,79.09,0,0,0
4/12/2020 12:00:00 AM,0,0.00,0.00,0,0,0
4/19/2020 12:00:00 AM,2,74.28,29.58,0,0,0
4/26/2020 12:00:00 AM,7,288.03,112.91,0,0,0
5/3/2020 12:00:00 AM,5,226.63,87.31,0,0,0
5/10/2020 12:00:00 AM,3,119.96,47.24,1,0,0
5/17/2020 12:00:00 AM,3,151.71,57.26,1,0,0
5/24/2020 12:00:00 AM,3,111.48,45.90,0,0,0
5/31/2020 12:00:00 AM,7,307.66,119.91,0,0,0
6/7/2020 12:00:00 AM,4,136.42,55.82,0,0,0
6/14/2020 12:00:00 AM,6,265.35,101.93,2,0,0
6/21/2020 12:00:00 AM,3,125.95,50.53,3,0,0
6/28/2020 12:00:00 AM,6,316.88,117.53,1,0,2
7/5/2020 12:00:00 AM,4,99.00,45.65,2,0,0
7/12/2020 12:00:00 AM,6,201.95,85.38,1,0,0
7/19/2020 12:00:00 AM,6,323.24,118.39,0,0,1
7/26/2020 12:00:00 AM,14,651.48,248.84,5,0,0
8/2/2020 12:00:00 AM,4,189.88,70.18,2,0,0
8/9/2020 12:00:00 AM,2,83.25,33.37,0,0,0
8/16/2020 12:00:00 AM,7,346.98,130.45,0,0,0
8/23/2020 12:00:00 AM,6,211.13,87.09,0,0,1
8/30/2020 12:00:00 AM,4,188.15,71.80,0,0,1
9/6/2020 12:00:00 AM,7,285.47,112.32,2,0,0
9/13/2020 12:00:00 AM,5,284.81,104.78,1,0,1
9/20/2020 12:00:00 AM,5,156.34,66.27,1,0,0
9/27/2020 12:00:00 AM,10,458.03,176.00,1,1,0
10/4/2020 12:00:00 AM,8,341.20,133.36,0,0,0
10/11/2020 12:00:00 AM,4,212.18,78.54,2,0,0
10/18/2020 12:00:00 AM,6,324.91,118.01,0,0,0
10/25/2020 12:00:00 AM,8,333.97,133.35,0,0,1
11/1/2020 12:00:00 AM,5,221.45,84.92,0,0,0
11/8/2020 12:00:00 AM,2,58.09,25.04,0,0,0
11/15/2020 12:00:00 AM,4,159.20,63.96,2,0,0
11/22/2020 12:00:00 AM,7,316.48,121.89,0,0,1
11/29/2020 12:00:00 AM,5,208.88,83.88,1,1,1
12/6/2020 12:00:00 AM,4,132.26,54.98,0,0,0
12/13/2020 12:00:00 AM,2,64.03,27.05,0,0,0
12/20/2020 12:00:00 AM,3,117.20,46.41,1,0,0
12/27/2020 12:00:00 AM,3,133.88,51.36,1,0,1
1/3/2021 12:00:00 AM,3,125.90,49.74,1,0,0
1/10/2021 12:00:00 AM,5,175.62,70.81,0,0,0
