"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-191413868798964","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/30/20","6:00 PM","37.71","0","0.00","2.92","0","40.63","-7.54","-3.77","-1.54","0","0"
"O-356213580591996","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/2/20","3:10 PM","21.98","0","0.00","1.70","0","23.68","-4.40","-2.20","-1.02","0","0"
"O-191413838773530","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/26/20","5:35 PM","19.96","0","0.00","1.55","0","21.51","-3.99","-2.00","-0.96","0","0"
"O-208713786273757","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/22/20","11:30 AM","15.98","0","0.00","1.24","0","17.22","-3.20","-1.60","-0.83","0","0"
"O-277013757817170","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/19/20","4:00 PM","21.98","0","0.00","1.70","0","23.68","-4.40","-2.20","-1.02","0","0"
"O-152013572028364","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/1/20","11:45 AM","151.84","0","0.00","11.77","0","163.61","-30.37","-15.18","-5.29","0","0"
"O-074213693076284","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/12/20","5:45 PM","43.95","0","0.00","3.41","0","47.36","-8.79","-4.40","-1.74","0","0"
"O-229713663247938","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/10/20","12:25 PM","36.46","0","0.00","2.83","0","39.29","-7.29","-3.65","-1.50","0","0"
"O-517313702328904","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/13/20","8:15 PM","22.97","0","0.00","1.78","0","24.75","-4.59","-2.30","-1.05","0","0"
"O-743313750478798","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/18/20","5:30 PM","37.96","0","0.00","2.94","0","40.90","-7.59","-3.80","-1.55","0","0"
"O-920113851108703","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/28/20","8:45 PM","20.97","0","0.00","1.63","0","22.60","-4.19","-2.10","-0.99","0","0"
"O-276313616943434","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/4/20","6:50 PM","56.92","0","0.00","4.41","0","61.33","-11.38","-5.69","-2.17","0","0"
"O-640013749143994","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/17/20","6:55 PM","23.98","0","0.00","1.86","0","25.84","-4.80","-2.40","-1.09","0","0"
"O-741813839647553","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/26/20","5:10 PM","26.71","0","0.00","2.07","0","28.78","-5.34","-2.67","-1.18","0","0"
"O-394913797680504","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/22/20","7:20 PM","44.19","0","0.00","3.42","0","47.61","-8.84","-4.42","-1.75","0","0"
"O-095013639480153","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/6/20","7:55 PM","30.96","0","0.00","2.40","0","33.36","-6.19","-3.10","-1.32","0","0"
"O-869613578225691","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"12/1/20","1:05 PM","27.95","0","0.00","2.17","0","30.12","-5.59","-2.80","-1.22","0","0"
