"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"8/5/2023 19:31:30","76.49","5.93","0","0","82.42","credit_card","pickup"
"8/12/2023 20:48:03","30.72","2.38","0","7.61","40.71","credit_card","pickup"
"Total","107.21","8.31","0","7.61","123.13","",""
"","","","","","","",""
"All Orders","123.13","","(all orders including cash and credit card paid orders) ","","","",""
"Pre-Paid Orders","123.13","","(orders where the customer paid with a credit card online) ","","","",""
"MenuStar Fees","22.36","","(includes credit card processing fee) ","","","",""
"Adjustments","0","","(credits/debts posted to your account) ","","","",""
"Net Payout","100.77","","(you will receive a check for this amount in 3-4 days)","","","",""
