"Delivery Date","Order #",Name,Location,"Food Total",Period,"Check Date"
03/30/2021,1156723,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",180.31,8,04/16/2021
03/29/2021,1156831,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",250.51,8,04/16/2021
03/26/2021,1159020,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",187.87,8,04/16/2021
03/26/2021,1154478,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",136.85,8,04/16/2021
03/24/2021,1157143,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",500.14,8,04/16/2021
03/23/2021,1154489,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",92.90,8,04/16/2021
03/18/2021,1154096,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",226.98,7,04/02/2021
03/17/2021,1149652,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",155.59,7,04/02/2021
03/12/2021,1145002,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",251.54,7,04/02/2021
03/12/2021,1146132,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",80.13,7,04/02/2021
03/11/2021,1144951,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",118.87,7,04/02/2021
03/10/2021,1144990,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",255.53,7,04/02/2021
03/09/2021,1144944,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",108.87,7,04/02/2021
03/09/2021,1146009,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",142.86,7,04/02/2021
03/09/2021,1146143,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",204.68,7,04/02/2021
03/08/2021,1144982,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",216.21,7,04/02/2021
03/05/2021,1140661,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",99.91,6,03/19/2021
03/04/2021,1140627,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",216.19,6,03/19/2021
03/04/2021,1140417,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",186.99,6,03/19/2021
03/02/2021,1140617,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",224.13,6,03/19/2021
03/02/2021,1140413,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",205.49,6,03/19/2021
03/01/2021,1140641,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",74.93,6,03/19/2021
