Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Ameci Pizza & Pasta - Lake Forest,,#96D6F,ed3286f2-cbe2-45dd-91d6-f9ca97996d6f,Delivery - Partner Using Uber App,iOS,Completed,2021-03-01,21:15,20.98,1.63,22.61,0,0,0,0,0,0,0,0,22.61,-3.99,0,0,0,0,0,,0,0,0,18.62,2021-03-08
Ameci Pizza & Pasta - Lake Forest,,#22E27,f14d9767-51f4-4d2c-ae56-b6a7d1922e27,Delivery - Partner Using Uber App,iOS,Completed,2021-03-01,21:27,36.27,2.81,39.08,0,0,0,0,0,0,0,0,39.08,-6.89,0,0,0,0,0,,0,0,0,32.19,2021-03-08
Ameci Pizza & Pasta - Lake Forest,,#3568F,8f75d481-bd89-44fb-bad2-09b4c293568f,Delivery - Partner Using Uber App,iOS,Completed,2021-03-02,18:26,22.22,1.72,23.94,0,0,0,0,0,0,0,0,23.94,-4.22,0,0,0,0,0,,0,0,0,19.72,2021-03-08
Ameci Pizza & Pasta - Lake Forest,,#CC46C,1f2f450d-1cfa-4e2c-a535-ba18819cc46c,Delivery - Partner Using Uber App,iOS,Completed,2021-03-02,18:42,24.57,1.9,26.47,0,0,0,0,0,0,0,0,26.47,-4.67,0,0,0,0,0,,0,0,0,21.8,2021-03-08
Ameci Pizza & Pasta - Lake Forest,,#03E23,99aece0f-3eaf-449b-bfe5-ea4e8c903e23,Delivery - Partner Using Uber App,iOS,Completed,2021-03-02,19:07,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.23,0,0,0,0,0,,0,0,0,15.07,2021-03-08
Ameci Pizza & Pasta - Lake Forest,,#6C736,dc6ad44a-f478-4c83-bef4-f9a5ebb6c736,Delivery - Partner Using Uber App,Android,Completed,2021-03-02,20:53,48.37,3.75,52.12,0,0,0,0,0,0,0,0,52.12,-9.19,0,0,0,0,0,,0,0,0,42.93,2021-03-08
Ameci Pizza & Pasta - Lake Forest,,#09AFB,7dbd8311-c7d8-4bc3-942a-b67400509afb,Delivery - Partner Using Uber App,Android,Completed,2021-03-03,14:06,23.96,1.86,25.82,0,0,0,0,0,0,0,0,25.82,-4.55,0,0,0,0,0,,0,0,0,21.27,2021-03-08
Ameci Pizza & Pasta - Lake Forest,,#7DC22,bc883f7c-196f-4cf6-9092-994f8907dc22,Pickup,iOS,Completed,2021-03-03,20:43,39.71,3.08,42.79,0,0,0,0,0,0,0,0,42.79,0,0,0,0,0,0,,0,0,0,42.79,2021-03-08
Ameci Pizza & Pasta - Lake Forest,,#5B424,276c144f-a187-4b52-bbd7-5fa544b5b424,Delivery - Partner Using Uber App,Android,Completed,2021-03-03,20:44,22.98,1.78,24.76,0,0,0,0,0,0,0,0,24.76,-4.37,0,0,0,0,0,,0,0,0,20.39,2021-03-08
Ameci Pizza & Pasta - Lake Forest,,#03196,5e05339f-1b11-4a8f-9685-892d3d903196,Delivery - Partner Using Uber App,iOS,Completed,2021-03-04,12:33,40.69,3.15,43.84,0,0,0,0,0,0,0,0,43.84,-7.73,0,0,0,0,0,,0,0,0,36.11,2021-03-08
