"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-768814548951209","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/7/21","5:25 PM","30.05","0","2.99","2.56","2.82","38.42","-4.13","-1.47","0"
"O-244114662692075","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/20/21","1:34 PM","37.98","0","2.99","3.17","3.00","47.14","-5.12","-1.74","0"
"O-332214725649191","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/25/21","6:12 PM","52.24","0","2.99","4.28","8.92","68.43","-6.90","-2.39","0"
"O-743514766904560","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/29/21","7:14 PM","31.51","0","2.99","2.67","5.58","42.75","-4.31","-1.60","0"
"O-206514702509658","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/23/21","6:28 PM","20.47","0","4.99","1.98","4.11","31.55","-3.18","-1.26","0"
"O-665014720349147","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/25/21","6:10 PM","22.98","0","2.99","2.01","4.19","32.17","-3.25","-1.28","0"
"W-432214650280869","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/21","12:54 PM","18.97","0","2.99","1.70","5.00","28.66","0","-1.17","0"
"O-463714530355918","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/6/21","5:44 PM","14.98","0","0.00","1.16","0","16.14","-1.87","-0.79","0"
"O-640814663528025","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/21","6:49 PM","20.48","0","2.99","1.82","3.79","29.08","-2.93","-1.19","0"
"O-743514776901564","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/30/21","6:16 PM","37.55","0","0.00","2.91","0","40.46","-4.69","-1.53","0"
"O-976514774833559","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/31/21","11:45 AM","31.98","0","2.99","2.71","3.00","40.68","-4.37","-1.54","0"
"W-396814728068770","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/25/21","5:51 PM","34.22","0","2.99","2.88","8.02","48.11","0","-1.77","0"
"O-206514602583550","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/14/21","11:30 AM","13.72","0","0.00","1.06","0","14.78","-1.72","-0.75","0"
"W-463714650351005","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/18/21","6:54 PM","76.13","0","2.99","6.13","5.00","90.25","0","-3.05","0"
"O-665014630340448","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/16/21","7:42 PM","19.28","0","2.99","1.72","3.60","27.59","-2.78","-1.14","0"
"O-206514532532568","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/6/21","7:34 PM","52.96","0","0.00","4.10","8.55","65.61","-6.62","-2.30","0"
"O-842614669449675","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/21","6:31 PM","27.97","0","4.99","2.56","7.10","42.62","-4.12","-1.60","0"
"W-933614576289118","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/10/21","6:01 PM","34.97","0","0.00","2.71","2.32","40.00","0","-1.52","0"
"O-432214600286213","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/14/21","12:12 PM","18.99","0","0.00","1.47","0","20.46","-2.37","-0.92","0"
"W-842614589443774","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/21","6:39 PM","42.97","0","0.00","3.33","2.00","48.30","0","-1.77","0"
"O-689314517811701","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/5/21","6:15 PM","25.17","0","4.99","2.34","6.00","38.50","-3.77","-1.47","0"
