"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","PAYOUT_STATUS"
"08:35:29","2021-03-01","00:35:29","2021-03-01","2021-03-01 08:35:29.173668000","2021-03-01",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","PAYOUT","126218388","NULL","N/A","N/A","NULL","N/A","USD",1783.07,0.00,0.00,0.00,0.00,0.00,0.00,1783.07,"NULL",126218388,0.00,0.00,"paid"
"19:45:03","2021-03-01","11:45:03","2021-03-01","2021-03-05 08:31:32.775492000","2021-03-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","a2293d03-7978-4165-b533-35df5098df42","=""5098df42""","NULL","NULL","Order Received Time: 2021-03-01 19:21:41.725479000
Order Pickup Time: 2021-03-01 19:45:03.276961000","Delivered","USD",28.97,2.61,7.24,0.00,0.00,0.00,24.34,0.00,"1906233875",127545292,0.00,0.00,"paid"
"20:32:07","2021-03-01","12:32:07","2021-03-01","2021-03-05 08:31:32.775492000","2021-03-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","bbd44ee9-ce66-480a-92f7-2d532df20900","=""2df20900""","NULL","NULL","Order Received Time: 2021-03-01 20:04:24.376154000
Order Pickup Time: 2021-03-01 20:32:07.193646000","Delivered","USD",12.48,1.12,3.12,0.00,0.00,0.00,10.48,0.00,"1906456463",127545292,0.00,0.00,"paid"
"21:18:31","2021-03-01","13:18:31","2021-03-01","2021-03-05 08:31:32.775492000","2021-03-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","b95cd3a5-cf94-4e70-a1d6-1ef5dccddce6","=""dccddce6""","NULL","NULL","Order Received Time: 2021-03-01 20:58:33.609505000
Order Pickup Time: 2021-03-01 21:18:31.662726000","Delivered","USD",29.96,2.70,7.49,0.00,0.00,0.00,25.17,0.00,"1906661687",127545292,0.00,0.00,"paid"
"21:34:22","2021-03-01","13:34:22","2021-03-01","2021-03-05 08:31:32.775492000","2021-03-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","2c6f8072-083b-47d0-aa80-fca602449377","=""02449377""","NULL","NULL","Order Received Time: 2021-03-01 21:12:32.647830000
Order Pickup Time: 2021-03-01 21:34:22.086872000","Delivered","USD",22.95,2.07,5.74,0.00,0.00,0.00,19.28,0.00,"1906731406",127545292,0.00,0.00,"paid"
"21:39:18","2021-03-01","13:39:18","2021-03-01","2021-03-05 08:31:32.775492000","2021-03-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","dc14c9d0-b104-4a50-953f-747c1ec43d89","=""1ec43d89""","NULL","NULL","Order Received Time: 2021-03-01 21:17:02.824841000
Order Pickup Time: 2021-03-01 21:39:18.388799000","Delivered","USD",16.98,1.53,4.25,0.00,0.00,0.00,14.26,0.00,"1906753473",127545292,0.00,0.00,"paid"
"22:51:44","2021-03-01","14:51:44","2021-03-01","2021-03-05 08:31:32.775492000","2021-03-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","3837d03d-196e-42e3-8dc1-ac96b356b33f","=""b356b33f""","NULL","NULL","Order Received Time: 2021-03-01 22:25:44.172210000
Order Pickup Time: 2021-03-01 22:51:44.305223000","Delivered","USD",21.98,1.98,5.50,0.00,0.00,0.00,18.46,0.00,"1907093653",127545292,0.00,0.00,"paid"
"23:09:38","2021-03-01","15:09:38","2021-03-01","2021-03-05 08:31:32.775492000","2021-03-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","46383f56-cf7f-4464-a205-930d54036ae9","=""54036ae9""","NULL","NULL","Order Received Time: 2021-03-01 22:52:58.205624000
Order Pickup Time: 2021-03-01 23:09:38.824536000","Delivered","USD",22.95,2.07,5.74,0.00,0.00,0.00,19.28,0.00,"1907195999",127545292,0.00,0.00,"paid"
"23:50:55","2021-03-01","15:50:55","2021-03-01","2021-03-05 08:31:32.775492000","2021-03-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","3d7a6535-e85e-4c02-bb80-81ee577e0f70","=""577e0f70""","NULL","NULL","Order Received Time: 2021-03-01 23:34:12.818330000
Order Pickup Time: 2021-03-01 23:50:55.800058000","Delivered","USD",34.72,3.12,8.68,0.00,0.00,0.00,29.16,0.00,"1907443408",127545292,0.00,0.00,"paid"
"00:31:36","2021-03-02","16:31:36","2021-03-01","2021-03-05 08:31:32.775492000","2021-03-05",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY","7d02ae3b-f252-467f-84d0-9e15cdf46eed","=""cdf46eed""","NULL","NULL","Order Received Time: 2021-03-02 00:11:45.930419000
Order Pickup Time: 2021-03-02 00:31:36.133470000","Delivered","USD",20.98,1.89,5.25,0.00,0.00,0.00,17.62,0.00,"1907710188",127545292,0.00,0.00,"paid"
