"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"3/11/2023 20:19:23","16.23","1.49","2.99","3.11","23.82","credit_card","delivery"
"3/26/2023 20:52:51","40.56","3.14","0","0","43.7","cash","pickup"
"Total","56.79","4.63","2.99","3.11","67.52","",""
"","","","","","","",""
"All Orders","67.52","","(all orders including cash and credit card paid orders) ","","","",""
"Pre-Paid Orders","23.82","","(orders where the customer paid with a credit card online) ","","","",""
"MenuStar Fees","10.37","","(includes credit card processing fee) ","","","",""
"Adjustments","0","","(credits/debts posted to your account) ","","","",""
"Net Payout","13.45","","(you will receive a check for this amount in 3-4 days)","","","",""
