Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,3/31/21,#3C0FB,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.48,-$8.19,$0.00,$1.59,,,$13.88,
Delivery,3/31/21,#70d1ebec,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$46.00,-$18.40,$0.00,$3.57,,,$31.17,
Delivery,3/31/21,#9ba137c1,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$1.00,,,$8.77,
Delivery,3/31/21,#2b180ead,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.00,-$10.00,$0.00,$1.94,,,$16.94,
Delivery,3/31/21,#285ce4d7,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.98,-$7.00,$0.00,$2.17,,,$23.15,
Delivery,3/31/21,#48d00b0e,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$11.00,-$4.40,$0.00,$0.85,,,$7.45,
Delivery,3/31/21,#193,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$11.00,-$4.40,$0.00,$0.86,,,$7.46,
Delivery,3/31/21,#bab09058,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$6.20,$0.00,$1.20,,,$10.49,
Delivery,3/31/21,#223,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$29.97,-$11.99,$0.00,$2.33,,,$20.31,
Delivery,3/31/21,#129,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates,$12.99,-$5.19,$0.00,$1.01,,,$8.81,
Delivery,3/31/21,#180c4613,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.00,-$8.00,$0.00,$1.55,,,$13.55,
Delivery,3/31/21,#168,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$25.95,-$10.38,$0.00,$2.02,,,$17.59,
Delivery,3/31/21,#BD7FC,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$27.00,-$10.80,$0.00,$2.09,,,$18.29,
Delivery,3/31/21,#2abc110a,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$1.08,,,$9.45,
Delivery,3/31/21,#e9ec3e68,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.98,-$10.79,$0.00,$2.09,,,$18.28,
Delivery,3/31/21,#3d030015,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$49.22,-$19.69,$0.00,$3.81,,,$33.34,
Delivery,3/31/21,#fbb8b4f7,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.49,-$6.60,$0.00,$1.28,,,$11.17,
Delivery,3/31/21,#128,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates,$18.98,-$7.59,$0.00,$1.47,,,$12.86,
Delivery,3/31/21,#234,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$23.99,-$9.60,$0.00,$1.86,,,$16.25,
Delivery,3/31/21,#064efa1a,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$33.47,-$13.39,$0.00,$2.59,,,$22.67,
Delivery,3/31/21,#1DF42,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$7.19,$0.00,$1.39,,,$12.18,
Delivery,3/31/21,#4546ff86,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$1.08,,,$9.45,
Delivery,3/31/21,#f69fa98e,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.00,-$5.20,$0.00,$1.01,,,$8.81,
Delivery,3/31/21,#6a0ad513,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$43.85,-$17.54,$0.00,$3.40,,,$29.71,
Delivery,3/31/21,#c29932b2,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$1.08,,,$9.45,
Delivery,3/30/21,#2a8ea07f,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.90,-$10.76,$0.00,$2.08,,,$18.22,
Delivery,3/30/21,#06DF7,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$4.55,$0.00,$1.01,,,$9.45,
Delivery,3/30/21,#799B0,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$39.00,-$15.60,$0.00,$3.02,,,$26.42,
Delivery,3/30/21,#b43f0731,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$48.95,-$17.40,-$5.44,$3.79,,,$29.90,
Delivery,3/30/21,#f61f7902,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.98,-$6.39,$0.00,$1.24,,,$10.83,
Delivery,3/30/21,#4bc10965,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.48,-$8.99,$0.00,$1.74,,,$15.24,
Delivery,3/30/21,#17240b1f,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$35.97,-$14.38,$0.00,$2.79,,,$24.38,
Delivery,3/30/21,#F33EA,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$18.98,-$7.59,$0.00,$1.47,,,$12.86,
Delivery,3/30/21,#432e815f,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$1.00,,,$8.77,
Delivery,3/30/21,#097b8d07,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$30.97,-$12.39,$0.00,$2.40,,,$20.98,
Delivery,3/30/21,#D5517,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$10.39,$0.00,$1.78,,,$17.37,
Delivery,3/30/21,#83751,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$7.19,$0.00,$1.39,,,$12.18,
Delivery,3/30/21,#743514776905612,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$37.50,-$15.00,$0.00,$2.91,,,$25.41,
Delivery,3/30/21,#222,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$25.98,-$10.39,$0.00,$2.02,,,$17.61,
Delivery,3/30/21,#53be5a9e,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.99,-$5.60,$0.00,$1.08,,,$9.47,
Delivery,3/30/21,#4e1ae270,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$33.90,-$13.56,$0.00,$2.63,,,$22.97,
Delivery,3/30/21,#192,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$8.99,-$3.60,$0.00,$0.70,,,$6.09,
