,"902 Broadway New York, NY 10010",Aroma Pizza & Pasta,,
,"Activity Period: Mon Mar 1, 2021 to Wed","20491 Alton Pkwy, Lake Forest CA, 92630",,
,"Mar 31, 2021",Account ID: 15639,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t",,,
,"already, return them asap. Talk to your Account Manager or email Partner@SliceLife.com",,,
Summary of Your Activity,,,"From March 1, 2021 to March 31, 2021,",
Prepaid orders,,"$4,599.06","your restaurant made $4,667.47 with Slice.",
134 orders,,"$5,478.79",Activity Details,
Processing fee,,-$219.35,Net Sales,"$4,397.29"
Slice partnership fee,,-$297.00,"Taxes
Sales Tax Withholding","$363.38
-$363.38"
Sales tax withholding,,-$363.38,Cust. Delivery fee,$219.43
"13 Slice
Adjustments",,$68.41,"Tips
Slice Adjustments
Slice Fees","$498.69
$68.41
-$516.35"
"TOTAL OF 134
ORDERS",$0.00,"$4,667.47",Total Earnings,"$4,667.47"
,"Paid directly by
your custom ers",Total Earnings,,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not,,,,
correspond to a payment. The amounts on this report are,,,,
for your reference and reporting needs. Please refer to your,,,,
official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

"902 Broadway New York, NY 10010",,,,,Aroma Pizza & Pasta,,,,,,
"Activity Period: Mon Mar 1, 2021 to Wed",,,,,"20491 Alton Pkwy, Lake Forest CA, 92630",,,,,,
"Mar 31, 2021",,,,,Account ID: 15639,,,,,,
Transactions,,,,,,,,,,,
,,,,,Cust.,,,,,,
,,Order,Pickup,,,Order,,,Order,P'ship,Proc.
Date & Time,Order ID,,,Subtotal,Delivery,,Tax,Tips,,,
,,Type,Delivery,,,Adjust.,,,Total,Fee,Fee
,,,,,Fee,,,,,,
"Mar 01, 2021
Monday
11:02am",42281703,Credit,Pickup,$74.24,$0.00,-$0.01,$5.75,$0.00,$80.06,-$2.25,-$3.20
"Mar 01, 2021
Monday
6:57pm",42307255,Credit,Pickup,$25.00,$0.00,-$0.01,$1.94,$0.00,$27.00,-$2.25,-$1.08
"Mar 02, 2021
Tuesday
11:11am",42315955,Credit,Pickup,$18.98,$0.00,$0.00,$1.47,$3.80,$24.32,-$2.25,-$0.97
"Mar 02, 2021
Tuesday
2:03pm",42322886,Credit,Pickup,$12.78,$0.00,$0.00,$0.99,$1.92,$15.69,-$2.25,-$0.63
"Mar 02, 2021
Tuesday
6:07pm",42344121,Credit,Delivery,$37.45,$4.99,$0.00,$3.29,$7.49,$53.22,-$2.25,-$2.13
"Mar 03, 2021
Wednesday
12:01pm",42356025,Credit,Pickup,$11.99,$0.00,$0.00,$0.93,$1.20,$14.19,-$2.25,-$0.57
"Mar 03, 2021
Wednesday
4:02pm",42377588,Credit,Pickup,$12.99,$0.00,$0.00,$1.01,$2.60,$16.67,-$2.25,-$0.47
"Mar 03, 2021
Wednesday
4:10pm",42378447,Credit,Pickup,$36.94,$0.00,$0.00,$2.86,$0.00,$39.80,-$2.25,-$1.59
"Mar 04, 2021
Thursday
11:48am",42399250,Credit,Pickup,$34.14,$0.00,$0.00,$2.65,$5.12,$41.98,-$2.25,-$1.68
"Mar 04, 2021
Thursday
3:52pm",42422962,Credit,Delivery,$19.48,$2.99,$0.00,$1.74,$3.90,$28.11,-$2.25,-$1.12
"Mar 04, 2021
Thursday
7:00pm",42436245,Credit,Delivery,$32.74,$2.99,-$0.01,$2.77,$6.55,$45.04,-$2.25,-$1.60
"Mar 04, 2021
Thursday
8:25pm",42437415,Credit,Pickup,$38.97,$0.00,$0.00,$3.02,$0.00,$42.06,-$2.25,-$1.68
"Mar 05, 2021
Friday
11:35am",42450197,Credit,Pickup,$21.99,$0.00,$0.00,$1.70,$0.00,$23.69,-$2.25,-$0.95
"Mar 05, 2021",,,,,,,,,,,
Friday,42483983,Credit,Pickup,$36.97,$0.00,$0.00,$2.87,$3.70,$43.61,-$2.25,-$1.74
2:58pm,,,,,,,,,,,

"Mar 05, 2021
Friday
4:03pm",42504785,Credit,Pickup,$52.50,$0.00,$0.00,$4.07,$5.25,$61.89,-$2.25,-$2.48
"Mar 05, 2021
Friday
4:34pm",42511990,Credit,Delivery,$42.97,$1.99,$0.00,$3.48,$6.45,$54.89,-$2.25,-$2.20
"Mar 05, 2021
Friday
4:55pm",42515928,Credit,Pickup,$32.75,$0.00,$0.00,$2.54,$0.00,$35.36,-$2.25,-$1.41
"Mar 05, 2021
Friday
5:26pm",42520572,Credit,Delivery,$51.18,$6.99,$0.00,$4.51,$5.00,$67.75,-$2.25,-$2.71
"Mar 05, 2021
Friday
5:56pm",42523882,Credit,Pickup,$25.00,$0.00,-$0.01,$1.94,$0.00,$27.00,-$2.25,-$1.08
"Mar 05, 2021
Friday
6:43pm",42527604,Credit,Pickup,$18.99,$0.00,$0.00,$1.47,$0.00,$20.46,-$2.25,-$0.82
"Mar 05, 2021
Friday
7:14pm",42529146,Credit,Pickup,$16.97,$0.00,$0.00,$1.32,$0.00,$18.29,-$2.25,-$0.73
"Mar 05, 2021
Friday
7:38pm",42530002,Credit,Delivery,$80.35,$1.99,-$0.01,$6.38,$12.05,$100.76,-$2.25,-$4.03
"Mar 05, 2021
Friday
9:09pm",42531511,Credit,Delivery,$31.98,$1.99,-$0.01,$2.63,$4.80,$41.39,-$2.25,-$1.66
"Mar 06, 2021
Saturday
11:50am",42543102,Credit,Pickup,$35.97,$0.00,$0.00,$2.79,$5.40,$44.16,-$2.25,-$1.77
"Mar 06, 2021
Saturday
12:00pm",42543652,Credit,Pickup,$40.18,$0.00,$0.00,$3.11,$0.00,$43.29,-$2.25,-$1.73
"Mar 06, 2021
Saturday
3:20pm",42572215,Credit,Delivery,$21.98,$1.99,$0.00,$1.86,$3.30,$29.13,-$2.25,-$1.17
"Mar 06, 2021
Saturday
3:52pm",42579247,Credit,Delivery,$40.23,$2.99,$0.00,$3.35,$6.03,$52.67,-$2.25,-$2.11
"Mar 06, 2021
Saturday
5:02pm",42591325,Credit,Delivery,$50.75,$2.99,$0.00,$4.16,$5.08,$62.98,-$2.25,-$2.52
"Mar 06, 2021
Saturday
6:02pm",42597772,Credit,Delivery,$18.53,$2.99,$0.00,$1.67,$3.71,$26.90,-$2.25,-$1.08
"Mar 07, 2021
Sunday
11:47am",42614497,Credit,Delivery,$54.70,$4.99,$0.00,$4.63,$20.00,$84.32,-$2.25,-$3.37
"Mar 07, 2021",,,,,,,,,,,
Sunday,42629957,Credit,Delivery,$71.92,$4.99,$0.00,$5.96,$0.00,$82.87,-$2.25,-$3.31
2:35pm,,,,,,,,,,,

"Mar 07, 2021
Sunday
3:19pm",42636908,Credit,Delivery,$22.96,$4.99,$0.00,$2.17,$3.44,$33.63,-$2.25,-$1.15
"Mar 07, 2021
Sunday
6:15pm",42653367,Credit,Pickup,$33.98,$0.00,$0.00,$2.63,$5.10,$41.79,-$2.25,-$1.67
"Mar 07, 2021
Sunday
6:46pm",42654317,Credit,Pickup,$26.99,$0.00,-$0.01,$2.09,$2.00,VOIDED,$0.00,
"Mar 08, 2021
Monday
12:55pm",42664804,Credit,Pickup,$14.48,$0.00,$0.00,$1.12,$0.00,$15.68,-$2.25,-$0.63
"Mar 08, 2021
Monday
5:05pm",42684003,Credit,Pickup,$15.87,$0.00,$0.00,$1.23,$1.59,$18.76,-$2.25,-$0.75
"Mar 08, 2021
Monday
5:19pm",42684817,Credit,Pickup,$30.19,$0.00,$0.00,$2.34,$0.00,$32.53,-$2.25,-$1.30
"Mar 08, 2021
Monday
5:59pm",42686468,Credit,Pickup,$27.77,$0.00,$0.00,$2.15,$4.17,$34.17,-$2.25,-$1.37
"Mar 08, 2021
Monday
7:58pm",42688687,Credit,Delivery,$15.00,$4.99,-$0.01,$1.55,$2.25,$23.85,-$2.25,-$0.95
"Mar 09, 2021
Tuesday
5:32pm",42723520,Credit,Pickup,$22.98,$0.00,$0.00,$1.78,$3.45,$28.28,-$2.25,-$1.13
"Mar 09, 2021
Tuesday
5:47pm",42724166,Credit,Pickup,$8.99,$0.00,$0.00,$0.70,$0.00,$9.76,$0.00,-$0.39
"Mar 09, 2021
Tuesday
6:23pm",42725432,Credit,Delivery,$38.23,$4.99,-$0.01,$3.35,$7.65,$54.28,-$2.25,-$2.17
"Mar 09, 2021
Tuesday
7:39pm",42726848,Credit,Delivery,$33.99,$2.99,-$0.01,$2.87,$5.10,$45.01,-$2.25,-$1.80
"Mar 10, 2021
Wednesday
12:13pm",42737055,Credit,Pickup,$14.99,$0.00,$0.00,$1.16,$3.00,$19.15,-$2.25,-$0.77
"Mar 10, 2021
Wednesday
1:21pm",42739817,Credit,Delivery,$26.99,$4.99,-$0.01,$2.48,$0.00,$34.52,-$2.25,-$1.38
"Mar 10, 2021
Wednesday
5:15pm",42765116,Credit,Pickup,$53.80,$0.00,$0.00,$4.17,$8.07,$66.11,-$2.25,-$2.64
"Mar 11, 2021
Thursday
4:49pm",42811139,Credit,Delivery,$61.00,$6.99,$0.00,$5.27,$9.15,$82.41,-$2.25,-$3.30
"Mar 11, 2021
Thursday
7:58pm",42818929,Credit,Pickup,$44.14,$0.00,$0.00,$3.42,$0.00,$47.63,-$2.25,-$1.71

"Mar 11, 2021
Thursday8:18pm",42819144,Credit,Delivery,$35.74,$2.99,$0.00,$3.00,$5.36,$47.09,-$2.25,-$1.88
"Mar 12, 2021
Friday
10:32am",42829439,Credit,Pickup,$11.99,$0.00,$0.00,$0.93,$1.80,$14.79,-$2.25,-$0.59
