,,,,Aroma Pizza,,,& Pasta,,,
,,,,Start Date,,,1/1/2021,,,
,,,,End Date,,,2/1/2021,,,
,,,,Prepaid Total,,,$0.00,,,
,Orders,Subtotal,Tax,,Delivery,Tip,,Total,,
Card,0,$0.00,$0.00,,$0.00,$0.00,,$0.00,,
Cash,0,$0.00,$0.00,,$0.00,-,,$0.00,,
Total,0,$0.00,$0.00,,$0.00,$0.00,,$0.00,,
,,Charge,,,,,,Note,,
Prepaid Total,,$0.00,,,,,,,,
Commission (Comm),,$0.00,,,,,,,,
Processing (Proc),,$0.00,,,,,,,,
Total Charges,,$0.00,,,,,,,,
Phone: (866) 654-8777     Email: support@eatstreet.com,,,,,,,,,,
