Store ID,Store Name,Business ID,Merchant Store ID,Payout Date,Currency,Subtotal,Tax Subtotal,Commission,Commission Tax,Drive Charge,Marketing Fees,Tips,Error Charges,Adjustments,Total Before Adjustments,Net Payout,Transactions Start Local Date,Transactions End Local Date,Transactions Start UTC Date,Transactions End UTC Date,Payout ID,Payout Status,Tax Remitted by DoorDash to State
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-28,USD,2302.87,207.35,567.29,0.0,0.0,0.0,4.9,20.11,0.0,1927.72,1927.72,2022-02-22,2022-02-24,2022-02-22,2022-02-25,205397922,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-25,USD,707.2,63.68,176.82,0.0,0.0,0.0,0.0,10.08,0.0,583.98,583.98,2022-02-21,2022-02-21,2022-02-21,2022-02-22,205317016,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-24,USD,926.24,83.4,219.84,0.0,0.0,0.0,0.0,3.52,0.0,786.28,786.28,2022-02-20,2022-02-20,2022-02-20,2022-02-21,204944947,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-23,USD,757.78,68.24,189.48,0.0,0.0,0.0,0.0,4.87,0.0,631.67,631.67,2022-02-19,2022-02-19,2022-02-19,2022-02-20,204884365,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-22,USD,1157.16,104.19,269.84,0.0,0.0,0.0,0.0,11.76,0.0,911.51,911.51,2022-02-17,2022-02-18,2022-02-18,2022-02-19,204850430,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-21,USD,2604.34,234.52,641.3,0.0,0.0,0.0,2.0,23.1,0.0,2244.7,2244.7,2022-02-15,2022-02-17,2022-02-15,2022-02-18,203857873,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-18,USD,873.54,78.63,209.55,0.0,0.0,0.0,0.0,0.0,0.0,742.62,742.62,2022-02-14,2022-02-14,2022-02-14,2022-02-15,203777695,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-17,USD,1135.78,102.22,267.15,0.0,0.0,0.0,0.0,0.0,0.0,970.85,970.85,2022-02-13,2022-02-13,2022-02-13,2022-02-14,203407473,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-16,USD,924.71,83.23,231.23,0.0,0.0,0.0,0.0,7.56,0.0,769.15,769.15,2022-02-12,2022-02-12,2022-02-12,2022-02-13,203346479,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-15,USD,1830.39,164.76,457.67,0.0,0.0,0.0,0.0,10.87,0.0,1526.61,1526.61,2022-02-11,2022-02-11,2022-02-11,2022-02-12,203307336,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-14,USD,2364.26,212.8,583.81,0.0,0.0,0.0,0.0,6.51,0.0,1986.74,1986.74,2022-02-08,2022-02-10,2022-02-08,2022-02-11,202306278,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-11,USD,535.39,48.2,129.53,0.0,0.0,0.0,2.5,4.2,0.0,452.36,452.36,2022-02-07,2022-02-07,2022-02-07,2022-02-08,202234100,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-10,USD,940.29,84.63,226.02,0.0,0.0,0.0,0.0,13.64,0.0,785.26,785.26,2022-02-06,2022-02-06,2022-02-06,2022-02-07,201855697,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-09,USD,736.71,66.33,171.69,0.0,0.0,0.0,0.0,0.0,0.0,631.35,631.35,2022-02-05,2022-02-05,2022-02-05,2022-02-06,201799828,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-08,USD,793.09,71.42,189.19,0.0,0.0,0.0,5.22,0.0,0.0,680.54,680.54,2022-02-04,2022-02-04,2022-02-04,2022-02-05,201757481,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-07,USD,1900.73,171.14,470.13,0.0,0.0,0.0,0.0,8.4,0.0,1593.34,1593.34,2022-02-01,2022-02-03,2022-02-01,2022-02-04,200721558,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-04,USD,713.64,64.24,171.81,0.0,0.0,0.0,5.71,0.0,0.0,611.78,611.78,2022-01-31,2022-01-31,2022-01-31,2022-02-01,200645785,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-03,USD,1259.15,113.36,306.45,0.0,0.0,0.0,0.0,0.0,0.0,1066.06,1066.06,2022-01-30,2022-01-30,2022-01-30,2022-01-31,200275884,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-02,USD,830.7,74.78,186.9,0.0,0.0,0.0,0.0,12.39,0.0,706.19,706.19,2022-01-29,2022-01-29,2022-01-29,2022-01-30,200222277,paid,0.0
111737,Ameci Pizza & Pasta (Trabuco Rd),4736,NULL,2022-02-01,USD,1626.99,146.47,397.53,0.0,0.0,0.0,0.0,37.71,0.0,1338.22,1338.22,2022-01-28,2022-01-28,2022-01-28,2022-01-29,200178767,paid,0.0
