Ameci Pizza,,,,,& Pasta - Lake,,,,Forest,,
,,,,,Start Date,,,,6/1/2021,,
,,,,,End Date,,,,7/1/2021,,
,,,,,Prepaid Total,,,,$259.84,,
,,,,,Taxes Withheld,,,,$19.73,,
,Orders,,Subtotal,Tax,Delivery,,Tip,,Total,,
Card,8,,$193.28,$0.00,$26.00,,$40.56,,$259.84,,
Cash,0,,$0.00,$0.00,$0.00,,-,,$0.00,,
Total,8,,$193.28,$0.00,$26.00,,$40.56,,$259.84,,
,,,Charge,Note,,,,,,,
Prepaid Total,,,$259.84,,,,,,,,
Commission (Comm),,,($33.84),,,,,,,,
Processing (Proc),,,($11.51),,,,,,,,
Total Charges,,,($45.35),,,,,,,,
6/2/2021,,,,ID,Tip,Total,,Proc,,Comm,
11:41 AM,,Delivery,CARD,28133349,$4.00,$24.77,,$1.17,,$3.11,
6/7/2021,,,,ID,Tip,Total,,Proc,,Comm,
11:36 AM,,Delivery,CARD,28214864,$4.00,$24.77,,$1.17,,$3.11,
6/8/2021,,,,ID,Tip,Total,,Proc,,Comm,
4:12 PM,,Delivery,CARD,28233288,$3.23,$27.76,,$1.27,,$3.77,
6/13/2021,,,,ID,Tip,Total,,Proc,,Comm,
7:19 PM,,Delivery,CARD,28316802,$10.59,$68.54,,$2.70,,$9.27,
6/16/2021,,,,ID,Tip,Total,,Proc,,Comm,
11:32 AM,,Delivery,CARD,28347883,$4.82,$25.09,,$1.18,,$3.02,
6/22/2021,,,,ID,Tip,Total,,Proc,,Comm,
11:22 AM,,Delivery,CARD,28439391,$4.96,$30.22,,$1.36,,$3.90,
6/25/2021,,,,ID,Tip,Total,,Proc,,Comm,
11:43 AM,,Delivery,CARD,28483679,$4.96,$30.22,,$1.36,,$3.90,
6/28/2021,,,,ID,Tip,Total,,Proc,,Comm,
5:17 PM,,Delivery,CARD,28540386,$4.00,$28.47,,$1.30,,$3.76,
Phone: (866) 654-8777     Email: support@eatstreet.com,,,,,,,,,,,
