"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-853014319278164","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/12/21","5:22 PM","77.12","0","2.99","6.21","15.00","101.32","-20.03","0","-3.39","0"
"O-717014202254761","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/1/21","8:31 PM","33.96","0","6.99","3.17","7.00","51.12","-10.24","0","-1.86","0"
"O-376714457893437","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/26/21","7:21 PM","24.97","0","0.00","1.94","5.38","32.29","-6.24","0","-1.28","0"
"O-256714263501463","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/8/21","1:05 PM","30.96","0","1.99","2.55","10.00","45.50","-8.24","0","-1.69","0"
"O-254214477501143","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/28/21","6:16 PM","24.98","0","2.99","2.17","4.52","34.66","-6.99","0","-1.36","0"
"O-070314251510155","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/7/21","11:33 AM","36.56","0","0.00","2.83","0","39.39","-9.14","0","-1.50","0"
"O-775414246345034","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/6/21","4:23 PM","20.57","0","2.99","1.82","5.08","30.46","-5.89","0","-1.23","0"
"O-082614272673557","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/8/21","7:57 PM","17.21","0","0.00","1.33","2.00","20.54","-4.30","0","-0.93","0"
"O-339014234514462","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/4/21","6:14 PM","29.23","0","6.99","2.81","3.90","42.93","-9.06","0","-1.61","0"
"O-076114388860164","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/19/21","7:12 PM","91.50","0","1.99","7.24","15.00","115.73","-23.37","0","-3.83","0"
"O-184914388097122","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/20/21","2:38 PM","12.74","0","0.00","0.99","2.04","15.77","-3.19","0","-0.78","0"
"O-481314435374552","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/25/21","3:25 PM","15.48","0","0.00","1.20","2.50","19.18","-3.87","0","-0.88","0"
"O-126514245650641","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/5/21","6:03 PM","35.56","0","6.99","3.30","7.56","53.41","-10.64","0","-1.93","0"
"O-443714409469660","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/21/21","6:28 PM","52.76","0","8.99","4.79","9.98","76.52","-15.44","0","-2.63","0"
"O-576014312709934","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/12/21","6:20 PM","17.99","0","1.99","1.54","3.22","24.74","-5.00","0","-1.05","0"
"O-443714359466672","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/16/21","5:34 PM","53.23","0","4.99","4.52","12.55","75.29","-14.56","0","-2.60","0"
"O-434514285056217","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/9/21","5:34 PM","69.69","0","6.99","5.94","12.39","95.01","-19.17","0","-3.20","0"
"O-763014400141286","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/21/21","5:54 PM","66.94","0","4.99","5.58","9.00","86.51","-17.98","0","-2.94","0"
"O-454814312854232","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/12/21","8:27 PM","14.90","0","0.00","1.15","3.21","19.26","-3.73","0","-0.89","0"
"O-172814373657189","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/19/21","11:27 AM","20.98","0","0.00","1.63","0","22.61","-5.25","0","-0.99","0"
"O-960214365506172","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/18/21","3:37 PM","21.98","0","0.00","1.70","0","23.68","-5.50","0","-1.02","0"
"O-508414235347501","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/5/21","4:29 PM","15.73","0","2.99","1.45","4.03","24.20","-4.68","0","-1.04","0"
"O-456914461498648","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/27/21","6:17 PM","86.91","0","8.99","7.44","15.50","118.84","-23.98","0","-3.92","0"
"O-612214461470138","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/28/21","11:48 AM","47.45","0","4.99","4.07","5.65","62.16","-13.11","0","-2.20","0"
"O-745314229810536","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/3/21","7:14 PM","31.32","0","2.99","2.66","5.00","41.97","-8.58","0","-1.58","0"
"O-059714313388816","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/12/21","6:01 PM","27.89","0","0.00","2.16","4.50","34.55","-6.97","0","-1.35","0"
"O-184914408080063","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/21/21","6:07 PM","29.97","0","1.99","2.47","5.16","39.59","-7.99","0","-1.51","0"
"O-227114460475756","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/27/21","6:19 PM","33.94","0","4.99","3.02","5.00","46.95","-9.73","0","-1.73","0"
"O-341914408960287","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/21/21","5:35 PM","25.94","0","0.00","2.01","0","27.95","-6.49","0","-1.15","0"
"O-853014319241003","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/12/21","8:29 PM","26.98","0","6.99","2.63","5.49","42.09","-8.49","0","-1.58","0"
"O-461114288950847","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/10/21","4:45 PM","47.93","0","2.99","3.94","6.00","60.86","-12.73","0","-2.16","0"
"O-174714312617823","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/12/21","6:59 PM","22.49","0","8.99","2.44","5.09","39.01","-7.87","0","-1.49","0"
"O-408314430329094","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/24/21","5:33 PM","33.26","0","1.99","2.73","10.00","47.98","-8.81","0","-1.76","0"
"O-174714322619379","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/13/21","7:37 PM","19.98","0","0.00","1.55","0","21.53","-5.00","0","-0.96","0"
"O-254214447505088","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/25/21","6:02 PM","45.40","0","4.99","3.91","6.00","60.30","-12.60","0","-2.14","0"
"O-033014393911077","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/20/21","4:49 PM","20.96","0","2.99","1.85","6.45","32.25","-5.99","0","-1.28","0"
"O-160614339035761","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/14/21","6:29 PM","15.48","0","2.99","1.43","2.00","21.90","-4.62","0","-0.97","0"
