Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Aroma Pizza,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other fee,0,0,0,2,2021-02-15
Aroma Pizza,,#E3D7F,e0360ebd-f28d-4253-9f78-4699ce1e3d7f,Delivery - Partner Using Uber App,iOS,Completed,2021-02-01,18:07,30.32,2.35,32.67,0,0,0,0,0,0,0,0,32.67,-5.76,0,0,0,0,0,,0,0,0,26.91,2021-02-08
Aroma Pizza,,#2C2A1,b65039e0-5d1a-439f-bd10-7f7a9a92c2a1,Delivery - Partner Using Uber App,Android,Completed,2021-02-01,18:31,22.76,1.76,24.52,0,0,0,0,0,0,0,0,24.52,-4.32,0,0,0,0,0,,0,0,0,20.2,2021-02-08
Aroma Pizza,,#AE439,86fee491-aaae-4870-9a77-6771f3dae439,Delivery - Partner Using Uber App,Android,Completed,2021-02-02,15:50,20.26,1.57,21.83,0,0,0,0,0,0,0,0,21.83,-3.85,0,0,0,0,0,,0,0,0,17.98,2021-02-08
Aroma Pizza,,#05154,ceee7ae0-7925-488d-b58c-348f47f05154,Delivery - Partner Using Uber App,iOS,Completed,2021-02-02,20:39,22.56,1.75,24.31,0,0,0,0,0,0,0,0,24.31,-4.29,0,0,0,0,0,,0,0,0,20.02,2021-02-08
Aroma Pizza,,#8CB62,41fc1b34-1561-4b56-bde4-79121138cb62,Delivery - Partner Using Uber App,iOS,Completed,2021-02-02,21:13,39.72,3.08,42.8,0,0,0,0,0,0,0,0,42.8,-7.55,0,0,0,0,0,,0,0,0,35.25,2021-02-08
Aroma Pizza,,#2D819,5fcfafb4-f6be-4ef5-be8c-f2574ca2d819,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,13:34,17.99,1.39,19.38,0,0,0,0,0,0,0,0,19.38,-3.42,0,0,0,0,0,,0,0,0,15.96,2021-02-08
Aroma Pizza,,#C0F65,cc51f04d-bfe5-45d1-bef3-68ab3e7c0f65,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,16:44,41.73,3.23,44.96,0,0,0,0,0,0,0,0,44.96,-7.93,0,0,0,0,0,,0,0,0,37.03,2021-02-08
Aroma Pizza,,#B1F95,497065d0-694e-4b29-aece-abb107bb1f95,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,17:16,23.55,1.83,25.38,0,0,0,0,0,0,0,0,25.38,-4.47,0,0,0,0,0,,0,0,0,20.91,2021-02-08
Aroma Pizza,,#E854D,ace5a162-a573-4f9a-a93a-6ea9cede854d,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,17:25,56.94,4.41,61.35,0,0,0,0,0,0,0,0,61.35,-10.82,0,0,0,0,0,Customer contribution,2,0,0,52.53,2021-02-08
Aroma Pizza,,#52BE3,8e4a6354-fe51-4467-9126-cb757a852be3,Delivery - Partner Using Uber App,Android,Completed,2021-02-03,17:40,15.76,1.22,16.98,0,0,0,0,0,0,0,0,16.98,-2.99,0,0,0,0,0,,0,0,0,13.99,2021-02-08
Aroma Pizza,,#F9E92,3927414e-b70a-44e3-915c-2105e3ff9e92,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,18:14,36.56,2.83,39.39,0,0,0,0,0,0,0,0,39.39,-6.95,0,0,0,0,0,,0,0,0,32.44,2021-02-08
Aroma Pizza,,#82BF8,24ff9fe1-1ae0-434a-88b6-938861882bf8,Delivery - Partner Using Uber App,iOS,Completed,2021-02-03,18:17,30.32,2.35,32.67,0,0,0,0,0,0,0,0,32.67,-5.76,0,0,0,0,0,,0,0,0,26.91,2021-02-08
Aroma Pizza,,#3B4B2,1fbb992c-a8f9-46de-be97-afa3f9b3b4b2,Pickup,iOS,Completed,2021-02-03,19:49,17.49,1.36,18.85,0,0,0,0,0,0,0,0,18.85,0,0,0,0,0,0,Customer contribution,2,0,0,20.85,2021-02-08
Aroma Pizza,,#0338C,9f7bbee1-27e2-4880-a19b-b6c9e030338c,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-02-04,14:07,25.48,1.97,27.45,0,0,0,0,0,0,0,0,27.45,-4.84,0,0,0,0,0,,0,0,0,22.61,2021-02-08
Aroma Pizza,,#57AAD,cb854792-ca66-4c05-be5f-2a1516457aad,Delivery - Partner Using Uber App,Android,Completed,2021-02-04,21:02,20.73,1.61,22.34,0,0,0,0,0,0,0,0,22.34,-3.94,0,0,0,0,0,,0,0,0,18.4,2021-02-08
