Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,2/28/21,#67b955c3,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.40,-$11.36,$0.00,$2.20,,,$19.24,
Delivery,2/28/21,#a1496381,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.20,-$6.08,$0.00,$1.18,,,$10.30,
Delivery,2/28/21,#6c0a6824,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.48,-$10.99,$0.00,$2.13,,,$18.63,
Delivery,2/28/21,#adba7665,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.98,-$7.18,$0.00,$1.39,,,$12.19,
Delivery,2/28/21,#9d7f6354,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.90,-$7.16,$0.00,$1.39,,,$12.13,
Delivery,2/28/21,#0793B,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.95,-$6.99,$0.00,$1.55,,,$14.52,
Delivery,2/28/21,#a76d694f,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.99,-$8.39,$0.00,$1.63,,,$14.23,
Delivery,2/28/21,#62871,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.00,-$6.00,$0.00,$1.16,,,$10.16,
Delivery,2/28/21,#5beefb46,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.98,-$7.18,$0.00,$1.39,,,$12.19,
Delivery,2/28/21,#616ef8f0,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.98,-$11.19,$0.00,$2.17,,,$18.96,
Delivery,2/28/21,#246,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$17.98,-$7.19,$0.00,$1.40,,,$12.19,
Delivery,2/28/21,#edb93524,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.90,-$11.16,$0.00,$2.16,,,$18.90,
Delivery,2/28/21,#abf98b55,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$38.96,-$15.58,$0.00,$3.02,,,$26.40,
Delivery,2/28/21,#db698a2f,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.94,-$5.57,$0.00,$1.08,,,$9.45,
Delivery,2/28/21,#255,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$26.90,-$10.76,$0.00,$2.09,,,$18.23,
Delivery,2/28/21,#05851eb4,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$59.96,-$23.98,$0.00,$4.65,,,$40.63,
Delivery,2/28/21,#5F9A5,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$53.23,-$21.29,$0.00,$4.13,,,$36.07,
Delivery,2/28/21,#55644563,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$31.73,-$12.69,$0.00,$2.46,,,$21.50,
Delivery,2/28/21,#D2E8B,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.48,-$8.59,$0.00,$1.66,,,$14.55,
Delivery,2/28/21,#254,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$12.95,-$5.18,$0.00,$1.01,,,$8.78,
Delivery,2/28/21,#1b2d62b1,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.90,-$11.56,$0.00,$2.24,,,$19.58,
Delivery,2/27/21,#084DF,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.00,-$9.60,$0.00,$1.86,,,$16.26,
Delivery,2/27/21,#13e616d9,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.00,-$10.00,$0.00,$1.94,,,$16.94,
Delivery,2/27/21,#6d260870,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.98,-$7.18,$0.00,$1.39,,,$12.19,
Delivery,2/27/21,#EF8A8,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.00,-$10.00,$0.00,$1.94,,,$16.94,
Delivery,2/27/21,#38f261fa,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$30.90,-$12.36,$0.00,$2.39,,,$20.93,
Delivery,2/27/21,#214,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$22.48,-$8.99,$0.00,$1.75,,,$15.24,
Delivery,2/27/21,#3018F,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$1.01,,,$8.80,
Delivery,2/27/21,#6171d48a,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.45,-$6.58,$0.00,$1.27,,,$11.14,
Delivery,2/27/21,#AC69D,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$36.00,-$14.40,$0.00,$2.79,,,$24.39,
Delivery,2/27/21,#392214460803071,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$30.98,-$12.39,$0.00,$2.40,,,$20.99,
