"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"10/1/2020 21:15:38","20.78","2.06","4.99","4.17","32","credit_card","delivery"
"Total","20.78","2.06","4.99","4.17","32","",""
"","","","","","","",""
"All Orders","32","","(all orders including cash and credit card paid orders)","","","",""
"Pre-Paid Orders","32","","(orders where the customer paid with a credit card online)","","","",""
"MenuStar Fees","2.92","","(includes credit card processing fee)","","","",""
"Adjustments","0","","(credits/debts posted to your account)","","","",""
"Net Payout","29.08","","(amount will be paid in your account in 3-4 days)","","","",""
