Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,9/30/21,#f74a7467,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.00,-$7.38,-$8.56,$2.09,,,$13.15,
Delivery,9/30/21,#80806fc4,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$48.47,-$19.39,$0.00,$3.76,,,$32.84,
Delivery,9/30/21,#a7824bb3,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$57.96,-$22.09,-$2.73,$3.87,,,$37.01,
Delivery,9/30/21,#95160fe4,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$6.20,$0.00,$1.20,,,$10.49,
Delivery,9/30/21,#8A0F3,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$43.97,-$17.59,$0.00,$0.00,,,$26.38,
Delivery,9/30/21,#46817ca0,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$56.95,-$22.49,$0.00,$3.79,,,$38.26,
Delivery,9/30/21,#d5c3eef6,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.00,-$12.80,$0.00,$2.48,,,$21.68,
Delivery,9/30/21,#E98EC,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$28.97,-$11.59,$0.00,$0.00,,,$17.38,
Delivery,9/30/21,#1364ba14,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.99,-$8.40,$0.00,$1.63,,,$14.22,
Delivery,9/30/21,#22025,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$0.00,,,$7.79,
Delivery,9/30/21,#87a49679,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$30.98,-$12.09,$0.00,$1.89,,,$20.78,
Delivery,9/30/21,#23A01,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.95,-$5.58,$0.00,$0.00,,,$8.37,
