"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT"
"00:15:02","2021-09-02","17:15:02","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","a866a56e-ddde-4401-968f-e430d37844cb","=""d37844cb""","NULL","NULL","Order Received Time: 2021-09-01 23:58:19.758993000
Order Pickup Time: 2021-09-02 00:15:02.387573000","Delivered","USD",22.74,1.76,3.41,0.00,0.99,0.00,20.10,0.00,"2855749986",167527891,0.00,0.00,22.74,NULL,NULL
"00:41:19","2021-09-02","17:41:19","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","fedbda57-7217-4a9a-b666-871d8770eeb5","=""8770eeb5""","NULL","NULL","Order Received Time: 2021-09-02 00:25:14.163188000
Order Pickup Time: 2021-09-02 00:41:19.540248000","Delivered","USD",32.95,2.55,4.94,0.00,0.00,0.00,30.56,0.00,"2855953184",167527891,0.00,0.00,32.95,NULL,NULL
"00:46:50","2021-09-02","17:46:50","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","498c9e1d-65ba-424a-a626-ac5190c28ff4","=""90c28ff4""","NULL","NULL","Order Received Time: 2021-09-02 00:24:29.187983000
Order Pickup Time: 2021-09-02 00:46:50.291799000","Delivered","USD",18.99,1.47,2.85,0.00,0.00,0.00,17.61,0.00,"2855994512",167527891,0.00,0.00,18.99,NULL,NULL
"00:47:58","2021-09-02","17:47:58","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","2aae95cc-f99f-44db-bd17-d47b68265237","=""68265237""","NULL","NULL","Order Received Time: 2021-09-02 00:37:08.399820000
Order Pickup Time: 2021-09-02 00:47:58.477779000","Delivered","USD",14.97,1.16,2.25,0.00,0.00,0.00,13.88,0.00,"2856002961",167527891,0.00,0.00,14.97,NULL,NULL
"01:09:12","2021-09-02","18:09:12","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","9657be21-4c2e-4938-be8c-e75ac269e399","=""c269e399""","NULL","NULL","Order Received Time: 2021-09-02 00:44:18.088926000
Order Pickup Time: 2021-09-02 01:09:12.744459000","Delivered","USD",49.17,3.81,7.38,0.00,0.00,0.00,45.60,0.00,"2856175145",167527891,0.00,0.00,49.17,NULL,NULL
"01:20:09","2021-09-02","18:20:09","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","792d0a3d-495b-40b0-9c6d-267dc19752e4","=""c19752e4""","NULL","NULL","Order Received Time: 2021-09-02 01:06:00.603039000
Order Pickup Time: 2021-09-02 01:20:09.419629000","Delivered","USD",44.71,3.47,6.71,0.00,0.00,0.00,41.47,0.00,"2856252665",167527891,0.00,0.00,44.71,NULL,NULL
"02:11:02","2021-09-02","19:11:02","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","5853f793-d451-415b-b365-8638c8ed0355","=""c8ed0355""","NULL","NULL","Order Received Time: 2021-09-02 01:53:45.039458000
Order Pickup Time: 2021-09-02 02:11:02.887657000","Delivered","USD",51.91,4.02,7.79,0.00,0.99,0.00,47.15,0.00,"2856579246",167527891,0.00,0.00,51.91,NULL,NULL
"02:45:21","2021-09-02","19:45:21","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","5d00756f-6c52-4f9d-b868-46923504dfc6","=""3504dfc6""","NULL","NULL","Order Received Time: 2021-09-02 02:32:42.627802000
Order Pickup Time: 2021-09-02 02:45:21.559405000","Delivered","USD",12.99,1.01,1.95,0.00,0.00,0.00,12.05,0.00,"2856763512",167527891,0.00,0.00,12.99,NULL,NULL
"03:51:04","2021-09-02","20:51:04","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","60ecd822-a4af-4682-a4a2-c9f80686c4e4","=""0686c4e4""","NULL","NULL","Order Received Time: 2021-09-02 03:36:50.601012000
Order Pickup Time: 2021-09-02 03:51:04.482388000","Delivered","USD",25.98,2.01,3.90,0.00,0.00,0.00,24.09,0.00,"2857029833",167527891,0.00,0.00,25.98,NULL,NULL
"04:12:33","2021-09-02","21:12:33","2021-09-01","2021-09-06 07:42:25.915829000","2021-09-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","838c91fe-82bc-4cd1-8fc8-f4b60338a13b","=""0338a13b""","NULL","NULL","Order Received Time: 2021-09-02 03:50:38.180823000
Order Pickup Time: 2021-09-02 04:12:33.391463000","Delivered","USD",21.99,1.70,3.30,0.00,0.00,0.00,20.39,0.00,"2857093284",167527891,0.00,0.00,21.99,NULL,NULL
