Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,W-956625899317252,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,04/15/24,"5:19 PM PDT, UTC-07:00",63.66,0,0,0,n/a,4.93,0,6.86,75.45,0,n/a,0,-2.6,0,0,0,n/a
MARKETPLACE,W-035525704933272,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/27/24,"6:37 PM PDT, UTC-07:00",21.77,0,0,0,n/a,1.69,0,3.52,26.98,0,n/a,0,-1.12,0,0,0,n/a
MARKETPLACE,O-024825901689592,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,04/16/24,"7:07 PM PDT, UTC-07:00",17.97,2.99,0,0,n/a,1.62,0,4.51,27.09,-2.62,n/a,0,-1.13,0,0,0,n/a
MARKETPLACE,O-744325103294774,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/27/24,"7:00 PM PST, UTC-08:00",42.94,0,0,0,n/a,3.33,0,0,46.27,-5.37,n/a,0,-1.71,0,0,0,n/a
MARKETPLACE,O-212626360181262,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,06/02/24,"2:39 PM PDT, UTC-07:00",70.95,0,0,0,n/a,5.5,0,0,76.45,-8.87,n/a,0,-2.63,0,0,0,n/a
MARKETPLACE,O-348024937752748,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Adjustment of O-348024937752748,Multiple reasons:  inedible.  inedible.  inedible,01/10/24,"7:04 PM PST, UTC-08:00",-43.95,0,0,0,n/a,-3.41,0,0,-47.36,0,n/a,0,0,0,0,0,n/a
MARKETPLACE,O-283625444856729,Pick-Up,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,03/01/24,"5:01 PM PST, UTC-08:00",20.99,0,0,0,n/a,1.63,0,0,22.62,-2.62,n/a,0,-0.99,0,0,0,n/a
MARKETPLACE,O-601626131613257,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,05/10/24,"4:39 PM PDT, UTC-07:00",25.48,2.99,0,0,n/a,2.2,0,3.55,34.22,-3.56,n/a,0,-1.34,0,0,0,n/a
MARKETPLACE,O-607625113254580,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,01/28/24,"5:14 PM PST, UTC-08:00",51.97,2.99,0,0,n/a,4.26,0,5.92,65.14,-6.87,n/a,0,-2.29,0,0,0,n/a
MARKETPLACE,O-275626034098278,Self Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,04/29/24,"7:42 PM PDT, UTC-07:00",17.97,4.99,0,0,n/a,1.78,0,1.64,26.38,-2.87,n/a,0,-1.1,0,0,0,n/a
MARKETPLACE,O-655525350700473,Grubhub Delivery,Ameci Pizza & Pasta - Trabuco Rd,Prepaid Order,,02/22/24,"12:55 PM PST, UTC-08:00",16.23,0,0,0,n/a,1.26,0,0,17.49,-2.03,n/a,0,-0.83,0,0,0,n/a
