"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-398716587982300","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/28/21","11:15 AM","9.99","0.00","0","0.77","1.61","12.37","-1.25","0","-0.68","0"
"O-504116592122096","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/29/21","1:03 PM","10.99","0.00","0","0.85","1.00","12.84","-1.37","0","-0.69","0"
"O-117216410361094","Ameci Pizza & Pasta - Trabuco Rd","Cash Order",,"9/10/21","6:57 PM","23.98","0.00","0","1.86","0","25.84","-3.00","0","0","0"
"O-398716537960621","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/22/21","9:54 PM","27.97","2.99","0","2.40","5.00","38.36","-3.87","0","-1.47","0"
"O-845416550513878","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/24/21","8:42 PM","19.28","2.99","0","1.72","5.00","28.99","-2.78","0","-1.18","0"
"O-611216425848540","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/12/21","1:41 PM","23.97","2.99","0","2.09","4.36","33.41","-3.37","0","-1.32","0"
"W-696516605541751","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/30/21","12:59 PM","56.96","2.99","0","4.64","4.00","68.59","0","0","-2.39","0"
"O-817116486224138","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/17/21","7:06 PM","29.98","2.99","0","2.55","7.10","42.62","-4.12","0","-1.60","0"
"W-422716382464258","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/8/21","5:37 PM","29.56","2.99","0","2.52","7.01","42.08","0","0","-1.58","0"
"O-963916611803338","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/30/21","7:30 PM","22.98","2.99","0","2.01","5.60","33.58","-3.25","0","-1.32","0"
"O-963916551874328","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/25/21","3:34 PM","29.95","2.99","0","2.55","0","35.49","-4.12","0","-1.38","0"
"O-612916381250942","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/7/21","7:10 PM","33.54","2.99","0","2.83","7.23","46.59","-4.57","0","-1.72","0"
"O-448016417010274","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/10/21","8:26 PM","26.96","2.99","0","2.32","5.00","37.27","-3.74","0","-1.44","0"
"W-886416496739676","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/18/21","9:11 PM","20.56","0.00","0","1.59","0","22.15","0","0","-0.98","0"
"O-383916352482676","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/4/21","7:05 PM","24.45","2.99","0","2.12","5.91","35.47","-3.43","0","-1.38","0"
"W-136216616747413","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/30/21","6:05 PM","55.95","0.00","0","4.34","6.03","66.32","0","0","-2.32","0"
"W-595516410260360","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/10/21","6:22 PM","47.72","0.00","0","3.70","5.00","56.42","0","0","-2.02","0"
"O-824116560327089","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"9/25/21","5:19 PM","66.25","0.00","0","5.13","7.14","78.52","-8.28","0","-2.69","0"
