Period,Location,Provider,Cash,Credit,Tip,Delivery_Fees,Tax,Payout,Commission,Merchant_Services,Notes
Sep 2021,Ameci,Beyond Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Check against email.
Sep 2021,Ameci,Brygid,876.8,6038.14,674.67,255.0,448.77,5764.85,142.64,130.65,"Check commission from brygid email report (dates shifted).
Del Zip Codes: ['92610', '92618', '92630', '92691']"
Sep 2021,Ameci,Doordash,0.0,23437.27,39.07,0.0,1935.75,18261.6,5262.25,0.0,"Transaction types found: ['ERROR_CHARGE', 'ADJUSTMENT'] 
Net Adjustments: $47.51 Payout Records Total: $18084.58"
Sep 2021,Ameci,Eatstreet,0.0,158.93,32.68,24.0,14.61,158.93,0.0,0.0,"
Currently use subtotal for credit. Use total when available.
Order 29670696 Canceled Amount: $79.2
"
Sep 2021,Ameci,Ezcater,0.0,1037.23,43.7,45.0,68.22,783.06,226.85,27.32,
Sep 2021,Ameci,Groupon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sep 2021,Ameci,Grubhub,132.79,4807.97,511.59,224.35,318.71,4301.57,358.95,178.16,"Missing ids for reimbursement: {913516527992534}
$30.71 in adjustment payments"
Sep 2021,Ameci,House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Get report from check deposits - Hunsbaker & Associates.
Sep 2021,Ameci,Menufy,0.0,108.89,0.0,0.0,7.72,104.36,1.5,3.03,
Sep 2021,Ameci,Menustar,68.16,11.09,1.45,4.98,5.59,6.4,4.69,0.0,Merchant Services included in commission.
Sep 2021,Ameci,Office Express,0.0,2923.45,0.0,0.0,0.0,2046.41,0.0,0.0,Check against payout pdf to verify. Taxes remitted by them.
Sep 2021,Ameci,Order Inn,0.0,1202.0,0.0,0.0,0.0,765.43,436.57,0.0,Dont include in total calc as accounted for in speedline.
Sep 2021,Ameci,Slice,0.0,6790.46,569.85,306.13,0.0,5700.09,414.0,271.84,"Withheld taxes remitted: $465.51
Adjustments: $60.98."
Sep 2021,Ameci,Speedline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.73,"Cashier tips include external payouts (double counting).
Get from dads daily report. Note these double count for payout tips from other services."
Sep 2021,Ameci,Ubereats,0.0,7222.2,0.0,0.0,0.0,5533.08,1229.77,0.0,"Contains Postmates Orders.
Withheld Taxes: $519.37"
