"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"5/5/2021 16:03:28","12.05","0.93","0","0","12.98","cash","pickup"
"5/6/2021 23:03:55","21.05","1.63","0","4.54","27.22","credit_card","pickup"
"5/7/2021 21:17:03","33.03","2.56","0","0","35.59","cash","pickup"
"5/7/2021 21:32:51","79.74","6.18","0","0","85.92","cash","pickup"
"5/8/2021 23:38:22","23.59","2.06","2.99","4.3","32.94","credit_card","delivery"
"5/9/2021 20:56:51","19.91","1.7","1.99","3.54","27.14","credit_card","delivery"
"5/9/2021 23:51:06","21.98","1.94","2.99","0","26.91","credit_card","delivery"
"5/12/2021 20:40:50","39.33","3.05","0","0","42.38","cash","pickup"
"5/13/2021 20:10:08","46.68","3.85","2.99","8.03","61.55","credit_card","delivery"
"5/15/2021 20:26:08","48.2","3.97","2.99","11.03","66.19","credit_card","delivery"
"5/16/2021 22:04:57","16.35","1.5","2.99","4.17","25.01","credit_card","delivery"
"5/25/2021 21:16:32","140.73","11.06","1.99","30.76","184.54","credit_card","delivery"
"5/28/2021 00:24:48","17.82","1.54","1.99","4.27","25.62","credit_card","delivery"
"Total","520.46","41.97","20.92","70.64","653.99","",""
"","","","","","","",""
"All Orders","653.99","","(all orders including cash and credit card paid orders) ","","","",""
"Pre-Paid Orders","477.12","","(orders where the customer paid with a credit card online) ","","","",""
"MenuStar Fees","40.34","","(includes credit card processing fee) ","","","",""
"Adjustments","0","","(credits/debts posted to your account) ","","","",""
"Net Payout","436.78","","(you will receive a check for this amount in 3-4 days)","","","",""
