Statement Date:,,,5/31/21,,,Merchant ID:,4445028946467,,
Statement Period:,,,5/01/21 - 5/31/21,,,Merchant Name:,Aroma Pizza and Pasta - Lake Forest,,
,,,,,,Merchant Address:,20491 Alton Parkway,,
,,,,,,,"Lake Forest, CA 92610",,
Card Processing - Visa / MasterCard / Discover / Amex,,,,,,,,,
Type,Rate,Payments,,Refunds,,Fees Collected,Fee Adjustments,Fees Adjusted,Net
V/MC/D,2.0523% + 0.15,829,"$20,080.00",0,$0.00,$536.69,-$0.24,$536.45,"$19,543.55"
V/MC/D (Keyed),2.449% + 0.15,253,"$12,593.55",0,$0.00,$346.41,-$0.04,$346.37,"$12,247.18"
Amex,2.9469% + 0.15,58,"$1,456.68",0,$0.00,$51.65,-$0.02,$51.63,"$1,405.05"
Amex (Keyed),3.4847% + 0.15,22,"$1,160.94",0,$0.00,$43.76,$0.00,$43.76,"$1,117.18"
Total,,1162,"$35,291.17",0,$0.00,$978.51,-$0.30,$978.21,"$34,312.96"
Credit Card Batches,,,,,,,,,
Settled Date,,Batch Date,,,Payments,Refunds,Fees,Net (Dep),
,,4/29/2021 9:42 PM,,,346.78,0.00,10.11,336.67,
5/1/2021,,4/29/2021 9:42 PM,,,689.63,0.00,19.56,670.07,
5/2/2021,,4/30/2021 10:03 PM,,,"1,160.35",0.00,32.81,"1,127.54",
,,4/30/2021 10:03 PM,,,352.50,0.00,9.38,343.12,
5/3/2021,,5/1/2021 9:43 PM,,,580.64,0.00,16.11,564.53,
,,5/1/2021 9:43 PM,,,246.04,0.00,7.75,238.29,
5/4/2021,,5/2/2021 9:44 PM,,,37.25,0.00,1.06,36.19,
,,5/2/2021 9:44 PM,,,"1,029.80",0.00,27.78,"1,002.02",
,,5/3/2021 4:27 AM,,,78.12,0.00,2.60,75.52,
5/5/2021,,5/3/2021 9:40 PM,,,76.17,0.00,2.02,74.15,
,,5/3/2021 9:40 PM,,,493.30,0.00,13.51,479.79,
,,5/4/2021 5:06 AM,,,24.33,0.00,0.75,23.58,
5/6/2021,,5/4/2021 9:39 PM,,,24.29,0.00,0.74,23.55,
,,5/4/2021 9:39 PM,,,727.29,0.00,19.03,708.26,
,,5/5/2021 4:23 AM,,,50.60,0.00,1.39,49.21,
5/7/2021,,5/5/2021 9:38 PM,,,272.74,0.00,8.43,264.31,
,,5/5/2021 9:51 PM,,,111.69,0.00,2.80,108.89,
,,5/6/2021 4:30 AM,,,51.00,0.00,1.55,49.45,
5/8/2021,,5/6/2021 9:46 PM,,,930.36,0.00,24.98,905.38,
,,5/6/2021 9:46 PM,,,222.05,0.00,6.05,216.00,
,,5/7/2021 4:27 AM,,,66.91,0.00,2.25,64.66,
5/9/2021,,5/7/2021 9:51 PM,,,987.74,0.00,27.19,960.55,
,,5/7/2021 9:51 PM,,,569.41,0.00,16.91,552.50,
5/10/2021,,5/8/2021 10:01 PM,,,"1,563.60",0.00,41.48,"1,522.12",
,,5/8/2021 10:01 PM,,,229.94,0.00,6.69,223.25,
,,5/9/2021 4:49 AM,,,411.23,0.00,10.22,401.01,
5/11/2021,,5/9/2021 9:54 PM,,,726.81,0.00,19.08,707.73,
,,5/9/2021 9:54 PM,,,187.06,0.00,5.04,182.02,
,,5/10/2021 4:54 AM,,,130.31,0.00,3.64,126.67,
5/12/2021,,5/10/2021 9:37 PM,,,197.14,0.00,5.74,191.40,
,,5/10/2021 9:37 PM,,,290.08,0.00,8.37,281.71,
5/13/2021,,5/11/2021 9:35 PM,,,523.50,0.00,15.06,508.44,
,,5/11/2021 9:35 PM,,,67.44,0.00,1.95,65.49,
,,5/12/2021 4:37 AM,,,132.41,0.00,4.00,128.41,
,,5/12/2021 9:56 PM,,,103.31,0.00,2.99,100.32,
5/14/2021,,5/12/2021 9:56 PM,,,481.62,0.00,13.52,468.10,
5/15/2021,,5/13/2021 9:39 PM,,,"1,453.68",0.00,37.35,"1,416.33",
,,5/13/2021 9:39 PM,,,181.12,0.00,4.74,176.38,
,,5/13/2021 9:43 PM,,,82.66,0.00,2.85,79.81,
,,5/14/2021 9:46 PM,,,255.81,0.00,7.77,248.04,
5/16/2021,,5/14/2021 9:46 PM,,,"1,304.18",0.00,36.34,"1,267.84",
5/17/2021,,5/15/2021 9:50 PM,,,"1,269.37",0.00,32.00,"1,237.37",
,,5/15/2021 9:50 PM,,,153.26,0.00,4.36,148.90,
,,5/16/2021 4:20 AM,,,111.67,0.00,3.84,107.83,
5/18/2021,,5/16/2021 9:50 PM,,,157.86,0.00,4.60,153.26,

,5/16/2021 9:50 PM,624.40,0.00,17.19,607.21
,5/17/2021 4:44 AM,32.06,0.00,0.94,31.12
,5/17/2021 9:34 PM,778.57,0.00,21.57,757.00
5/19/2021,5/17/2021 9:34 PM,160.24,0.00,4.37,155.87
,5/18/2021 4:30 AM,61.95,0.00,1.82,60.13
5/20/2021,5/18/2021 9:36 PM,78.58,0.00,2.37,76.21
,5/18/2021 9:36 PM,612.16,0.00,17.75,594.41
5/21/2021,5/19/2021 9:36 PM,706.11,0.00,19.50,686.61
,5/20/2021 4:35 AM,93.75,0.00,2.90,90.85
5/22/2021,5/20/2021 10:05 PM,94.60,0.00,2.61,91.99
,5/20/2021 10:05 PM,"1,139.76",0.00,32.23,"1,107.53"
,5/21/2021 4:26 AM,412.82,0.00,10.26,402.56
,5/21/2021 4:26 AM,422.64,0.00,10.65,411.99
,5/21/2021 9:44 PM,266.26,0.00,7.27,258.99
5/23/2021,5/21/2021 9:44 PM,"1,398.77",0.00,38.78,"1,359.99"
,5/22/2021 9:54 PM,445.84,0.00,13.24,432.60
5/24/2021,5/22/2021 9:54 PM,"1,478.18",0.00,42.31,"1,435.87"
5/25/2021,5/23/2021 9:55 PM,228.76,0.00,7.10,221.66
,5/23/2021 9:55 PM,657.81,0.00,18.28,639.53
,5/24/2021 4:37 AM,142.65,0.00,4.24,138.41
5/26/2021,5/24/2021 9:20 PM,570.99,0.00,15.62,555.37
,5/25/2021 4:27 AM,97.97,0.00,2.84,95.13
5/27/2021,5/25/2021 9:54 PM,488.04,0.00,14.75,473.29
,5/25/2021 9:54 PM,19.62,0.00,0.63,18.99
5/28/2021,5/26/2021 9:30 PM,344.18,0.00,9.91,334.27
,5/26/2021 9:30 PM,68.17,0.00,2.12,66.05
,5/26/2021 9:38 PM,83.87,0.00,2.35,81.52
5/29/2021,5/27/2021 9:50 PM,161.43,0.00,4.55,156.88
,5/27/2021 9:50 PM,508.70,0.00,15.27,493.43
,5/28/2021 4:52 AM,326.66,0.00,8.15,318.51
,5/28/2021 4:52 AM,39.30,0.00,1.11,38.19
5/30/2021,5/28/2021 9:53 PM,"1,444.11",0.00,40.38,"1,403.73"
,5/28/2021 9:53 PM,411.60,0.00,11.13,400.47
5/31/2021,5/29/2021 9:39 PM,"1,162.60",0.00,31.76,"1,130.84"
,5/29/2021 9:39 PM,376.26,0.00,10.91,365.35
,5/30/2021 4:53 AM,208.71,0.00,5.26,203.45
,Total,"35,291.17",0.00,978.51,"34,312.66"

Summary,
Previous Credit Card Balance,0.01
Monthly Adjustments,0.30
Payments,0.00
Credit Card Balance,0.31
