Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,5/31/21,#7469e402,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.99,-$8.00,$0.00,$1.55,,,$13.54,
Delivery,5/31/21,#70d9e3b5,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$39.96,-$11.32,-$11.67,$2.71,,,$19.68,
Delivery,5/31/21,#87e0dd41,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.95,-$5.98,$0.00,$1.16,,,$10.13,
Delivery,5/31/21,#0801fe30,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$6.20,$0.00,$1.20,,,$10.49,
Delivery,5/31/21,#150,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates,$12.99,-$5.19,$0.00,$1.01,,,$8.81,
Delivery,5/31/21,#bd16bbfc,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$1.00,,,$8.77,
Delivery,5/31/21,#BC0C2,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.99,-$8.80,$0.00,$0.00,,,$13.19,
Delivery,5/31/21,#68897,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$32.99,-$13.20,$0.00,$0.00,,,$19.79,
Delivery,5/31/21,#ca9a038e,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.00,-$5.20,$0.00,$1.01,,,$8.81,
Delivery,5/31/21,#20E46,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.00,-$10.00,$0.00,$0.00,,,$15.00,
Delivery,5/31/21,#18c92ffe,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.48,-$8.19,$0.00,$1.35,,,$13.64,
Delivery,5/31/21,#590a80a9,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.00,-$6.00,$0.00,$1.16,,,$10.16,
Adjustment,5/31/21,#91C7C,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$0.00,$0.00,$0.00,$0.00,,,$0.00,
Adjustment,5/31/21,#91C7C,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$0.00,$0.00,$0.00,$0.00,,,$0.00,
Delivery,5/31/21,#91C7C,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$18.98,-$7.59,$0.00,$0.00,,,$11.39,
Delivery,5/31/21,#c3c5addb,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$1.08,,,$9.45,
Delivery,5/31/21,#7D1F5,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$38.89,-$15.55,$0.00,$0.00,,,$23.34,
Delivery,5/31/21,#35730,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.95,-$5.58,$0.00,$0.00,,,$8.37,
Delivery,5/31/21,#85A5B,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$67.98,-$27.19,$0.00,$0.00,,,$40.79,
Delivery,5/31/21,#F95F6,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$40.47,-$16.19,$0.00,$0.00,,,$24.28,
Adjustment,5/31/21,#32a1f913,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$0.00,$0.00,$0.00,$0.00,,,$0.00,
Adjustment,5/31/21,#32a1f913,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$0.00,$0.00,$0.00,$0.00,,,$0.00,
Delivery,5/31/21,#32a1f913,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.99,-$11.59,$0.00,$1.91,,,$19.31,
Adjustment,5/31/21,#d335e618,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$0.00,$0.00,$0.00,$0.00,,,$0.00,
Adjustment,5/31/21,#d335e618,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$0.00,$0.00,$0.00,$0.00,,,$0.00,
Delivery,5/31/21,#d335e618,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.98,-$11.19,$0.00,$1.84,,,$18.64,
Delivery,5/31/21,#b51f04e1,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.20,-$7.68,$0.00,$1.49,,,$13.01,
Delivery,5/31/21,#149,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates,$25.98,-$10.39,$0.00,$2.01,,,$17.60,
Delivery,5/31/21,#b674906b,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$1.01,,,$8.80,
Delivery,5/31/21,#17464,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$43.85,-$17.54,$0.00,$0.00,,,$26.31,
Delivery,5/31/21,#9da722e4,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.99,-$9.60,$0.00,$1.58,,,$15.97,
Delivery,5/31/21,#5BC4C,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$10.39,$0.00,$0.00,,,$15.59,
Adjustment,5/31/21,#08BA3,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$0.00,$0.00,$0.00,$0.00,,,$0.00,
Adjustment,5/31/21,#08BA3,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$0.00,$0.00,$0.00,$0.00,,,$0.00,
Delivery,5/31/21,#08BA3,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$7.19,$0.00,$0.00,,,$10.79,
Delivery,5/31/21,#661efabe,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$1.00,,,$8.77,
Delivery,5/31/21,#E279B,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.90,-$10.36,$0.00,$0.00,,,$15.54,
Delivery,5/31/21,#f12acc9f,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.00,-$8.00,$0.00,$1.32,,,$13.32,
Delivery,5/31/21,#191415386034129,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$41.85,-$16.59,$0.00,$2.86,,,$28.12,
Delivery,5/30/21,#9aa6a5c6,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$58.84,-$23.53,$0.00,$4.17,,,$39.48,
Delivery,5/30/21,#fe5b97d5,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.95,-$6.78,$0.00,$1.31,,,$11.48,
Delivery,5/30/21,#88478151,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$1.00,,,$8.77,
Delivery,5/30/21,#faf7039a,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.99,-$9.60,$0.00,$1.58,,,$15.97,
Delivery,5/30/21,#8af37add,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.98,-$9.19,$0.00,$1.51,,,$15.30,
