Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Staff tip,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Marketing fees (for historical reference only) | (all discounts and fees),Marketing fee tax (for historical reference only) | (taxes on any applicable marketing fees),Ad fee (for historical reference only),Ad fee tax (for historical reference only),Error charges,Adjustments,Adjustments (for historical reference only),Net total,Net total (for historical reference only),Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,DoorDash funded subtotal discount amount | (for historical reference only),Merchant funded subtotal discount amount | (for historical reference only),Payout ID,Payout status
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-02-12,USD,Marketplace,1648.25,91.70,0.00,-216.65,0.00,-58.23,-120.00,-10.00,0.00,10.00,0.00,-125.94,0.00,-52.29,0.00,0.00,6.85,6.85,1351.92,1351.92,1528.25,0.00,10.00,120.00,553880025,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-02-11,USD,Marketplace,440.32,24.46,2.00,-58.92,0.00,-2.97,-34.59,-22.49,0.00,22.49,0.00,-37.56,0.00,0.00,0.00,-6.85,0.00,0.00,363.45,363.45,407.71,0.00,22.49,34.59,553258525,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-02-10,USD,Marketplace,605.84,33.13,4.22,-76.55,0.00,-34.60,-54.44,-10.00,0.00,10.00,0.00,-58.40,0.00,-30.64,0.00,0.00,0.00,0.00,477.60,477.60,552.39,0.00,10.00,54.44,553236738,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-02-09,USD,Marketplace,1524.08,88.77,0.00,-216.23,0.00,-34.36,-49.05,-28.00,0.00,28.00,0.00,-55.98,0.00,-27.43,0.00,-340.76,353.86,353.86,1326.31,1326.31,1478.99,0.00,28.00,49.05,553016961,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-02-06,USD,Marketplace,206.89,11.21,5.19,-25.52,0.00,-13.77,-20.01,0.00,0.00,0.00,0.00,-22.98,0.00,-10.80,0.00,-19.83,0.00,0.00,144.16,144.16,186.88,0.00,0.00,20.01,552115869,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-02-05,USD,Marketplace,567.06,32.34,7.10,-75.41,0.00,-24.84,-30.02,-9.00,0.00,9.00,0.00,-32.00,0.00,-22.86,0.00,0.00,0.00,0.00,476.23,476.23,539.02,0.00,9.00,30.02,552069148,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-02-04,USD,Marketplace,1083.06,60.70,0.00,-151.77,0.00,-31.63,-73.42,-23.00,0.00,23.00,0.00,-77.38,0.00,-27.67,0.00,0.00,0.00,0.00,886.94,886.94,1011.62,0.00,23.00,73.42,551434651,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-02-03,USD,Marketplace,788.93,44.99,0.00,-107.82,0.00,-36.49,-41.35,-22.49,0.00,22.49,0.00,-45.31,0.00,-32.53,0.00,-6.15,0.00,0.00,642.11,642.11,749.56,0.00,22.49,41.35,551379920,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-02-02,USD,Marketplace,1564.30,88.23,0.00,-211.70,0.00,-90.60,-99.31,-29.00,0.00,29.00,0.00,-105.25,0.00,-84.66,0.00,-2.59,0.00,0.00,1248.33,1248.33,1469.94,0.00,29.00,99.31,551148500,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-30,USD,Marketplace,571.32,31.59,0.00,-76.05,0.00,-37.05,-48.17,-17.00,0.00,17.00,0.00,-53.12,0.00,-32.10,0.00,0.00,0.00,0.00,441.64,441.64,526.12,0.00,17.00,48.17,550298977,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-29,USD,Marketplace,932.46,50.24,0.95,-121.28,0.00,-9.98,-95.99,-3.00,0.00,3.00,0.00,-97.97,0.00,-8.00,0.00,-14.25,23.20,23.20,765.35,765.35,837.46,0.00,3.00,95.99,550224698,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-28,USD,Marketplace,1205.88,65.98,5.00,-152.20,0.00,-21.93,-108.55,-4.00,0.00,4.00,0.00,-112.51,0.00,-17.97,0.00,0.00,0.00,0.00,994.18,994.18,1099.31,0.00,4.00,108.55,549647681,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-27,USD,Marketplace,628.36,35.14,1.00,-83.87,0.00,-57.94,-45.77,-27.00,0.00,27.00,0.00,-49.73,0.00,-53.98,0.00,0.00,0.00,0.00,476.92,476.92,585.56,0.00,27.00,45.77,549547988,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-26,USD,Marketplace,1163.92,63.27,4.00,-150.65,0.00,-91.64,-111.73,-28.00,0.00,28.00,0.00,-119.65,0.00,-83.72,0.00,0.00,0.00,0.00,877.17,877.17,1054.17,0.00,28.00,111.73,549397832,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-23,USD,Marketplace,767.46,41.88,3.43,-102.25,0.00,-25.91,-70.27,-6.00,0.00,6.00,0.00,-74.23,0.00,-21.95,0.00,-4.44,0.00,0.00,609.90,609.90,698.18,0.00,6.00,70.27,548439373,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-22,USD,Marketplace,920.99,52.04,0.00,-125.39,0.00,-44.96,-57.06,-18.00,0.00,18.00,0.00,-62.01,0.00,-40.01,0.00,-23.20,0.00,0.00,722.42,722.42,866.90,0.00,18.00,57.06,548408461,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-21,USD,Marketplace,852.69,48.78,0.00,-112.42,0.00,-42.75,-41.98,-18.00,0.00,18.00,0.00,-43.96,0.00,-40.77,0.00,0.00,0.00,0.00,704.32,704.32,812.69,0.00,18.00,41.98,547774571,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-20,USD,Marketplace,524.59,28.88,0.00,-70.32,0.00,-49.63,-44.28,-11.00,0.00,11.00,0.00,-48.24,0.00,-45.67,0.00,0.00,0.00,0.00,389.24,389.24,481.30,0.00,11.00,44.28,547742193,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-19,USD,Marketplace,1420.74,77.32,0.00,-188.07,0.00,-72.72,-133.52,-8.50,0.00,8.50,0.00,-143.42,0.00,-62.82,0.00,-46.89,24.28,24.28,1081.14,1081.14,1288.21,0.00,8.50,133.52,547547922,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-16,USD,Marketplace,356.26,20.17,0.00,-50.45,0.00,-21.70,-23.96,-21.00,0.00,21.00,0.00,-24.95,0.00,-20.71,0.00,-5.00,0.00,0.00,275.32,275.32,336.26,0.00,21.00,23.96,546232004,PAID
