,"902 Broadway New York, NY 10010",Aroma Pizza & Pasta,,
,"Activity Period: Sun Aug 1, 2021 to Tue Aug 31, 2021","20491 Alton Pkwy, Lake Forest CA, 92630",,
,,Account ID: 15639,,
,W-9 form reminder,,,
,"For legal reasons, we need your W-9 form and Slice Agreement Acknowledgement. If you haven’t already, return them asap. Talk to your Account Manager or email",,,
,Partner@SliceLife.com,,,
Summary of Your Activity,,,,
,,,"From August 1, 2021 to August 31, 2021, your restaurant",
Orders,,"$4,691.87","made $4,761.83 with Slice.",
126 online orders,,"$5,569.42",Activity Details,
Processing fee,,-$222.92,,
Slice partnership fee,,-$281.25,"Net Sales
Taxes","$4,530.94
$373.38"
Sales tax withholding,,-$373.38,"Sales Tax Withholding
Cust. Delivery fee","-$373.38
$197.46"
6 Slice Adjustments,,$69.96,Tips,$467.64
TOTAL OF 126 ORDERS,$0.00,"$4,761.83","Slice Adjustments
Slice Fees","$69.96
-$504.17"
,Paid directly by,Total Earnings,,
,your customers,,Total Earnings,"$4,761.83"
,,,Slice spent $69.96,
,,,in funding promotions,
,,,for your customers! *,
Order Activity Report Reminder,,,,
The order activity report is not a statement and it does not correspond to a,,,,
payment. The amounts on this report are for your reference and reporting needs.,,,,
Please refer to your official statement on the Owner’s Portal for the finalized,,,,
reporting.,,,,

Online Orders,,,,,,,,,,,
Date & Time,Order ID,"Order
Type","Pickup
Delivery",Subtotal,"Cust.
Delivery
Fee","Order
Adjust.",Tax,Tips,"Order
Total","P'ship
Fee","Proc.
Fee"
"Aug 01, 2021
Sunday
11:03am",51071896,Credit,Delivery,$47.97,$2.99,-$5.00,$3.56,$6.45,$55.97,-$2.25,-$2.24
"Aug 01, 2021
Sunday
4:13pm",51106265,Credit,Delivery,$35.99,$1.99,-$0.01,$2.94,$5.40,$46.31,-$2.25,-$1.85
"Aug 01, 2021
Sunday
4:36pm",51109066,Credit,Pickup,$38.04,$0.00,$0.00,$2.95,$5.71,$46.70,-$2.25,-$1.87
"Aug 01, 2021
Sunday
6:35pm",51118111,Credit,Delivery,$19.98,$1.99,$0.00,$1.70,$3.00,$26.67,-$2.25,-$1.07
"Aug 01, 2021
Sunday
6:38pm",51118197,Credit,Pickup,$28.12,$0.00,$0.00,$2.18,$0.00,$30.30,-$2.25,-$1.21
"Aug 01, 2021
Sunday
7:15pm",51119364,Credit,Pickup,$34.90,$0.00,$0.00,$2.70,$0.00,$37.60,-$2.25,-$1.51
"Aug 01, 2021
Sunday
7:47pm",51120126,Credit,Pickup,$20.96,$0.00,$0.00,$1.62,$3.14,$25.72,-$2.25,-$1.03
"Aug 02, 2021
Monday
6:11pm",51156140,Credit,Delivery,$37.43,$1.99,$0.00,$3.06,$5.61,$48.09,-$2.25,-$1.93
"Aug 02, 2021
Monday
6:26pm",51156652,Credit,Pickup,$29.61,$0.00,$0.00,$2.29,$4.44,$36.34,-$2.25,-$1.46
"Aug 02, 2021
Monday
7:28pm",51157952,Credit,Pickup,$22.99,$0.00,$0.00,$1.78,$3.45,$28.22,-$2.25,-$1.13
"Aug 03, 2021
Tuesday
8:43pm",51201939,Credit,Pickup,$43.22,$0.00,$0.00,$3.35,$0.00,$46.57,-$2.25,-$1.87
"Aug 03, 2021
Tuesday
9:22pm",51202178,Credit,Pickup,$23.45,$0.00,$0.00,$1.82,$0.00,$25.27,-$2.25,-$1.01
"Aug 04, 2021
Wednesday
6:02pm",51245343,Credit,Delivery,$27.48,$8.99,$0.00,$2.83,$4.12,$43.42,-$2.25,-$1.74
"Aug 05, 2021
Thursday
12:55pm",51262448,Credit,Delivery,$81.42,$1.99,$0.00,$6.46,$8.14,$98.01,-$2.25,-$3.92
"Aug 05, 2021
Thursday
4:57pm",51292544,Credit,Pickup,$42.44,$0.00,$0.00,$3.29,$4.24,$49.97,-$2.25,-$2.00
"Aug 05, 2021
Thursday
6:16pm",51298737,Credit,Delivery,$25.25,$1.99,$0.00,$2.11,$3.79,$33.14,-$2.25,-$1.33
"Aug 05, 2021
Thursday
6:29pm",51299354,Credit,Pickup,$21.98,$0.00,$0.00,$1.70,$4.40,$28.08,-$2.25,-$1.13
"Aug 05, 2021
Thursday
8:09pm",51301907,Credit,Pickup,$14.99,$0.00,$0.00,$1.16,$0.00,$16.15,-$2.25,-$0.65
