"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"5/24/2024 15:02:39","41.13","3.19","0","3","47.32","credit_card","pickup"
"Total","41.13","3.19","0","3","47.32","",""
"","","","","","","",""
"All Orders","47.32","","(all orders including cash and credit card paid orders) ","","","",""
"Pre-Paid Orders","47.32","","(orders where the customer paid with a credit card online) ","","","",""
"MenuStar Fees","9.2","","(includes credit card processing fee) ","","","",""
"Adjustments","0","","(credits/debts posted to your account) ","","","",""
"Net Payout","38.12","","(you will receive a check for this amount in 3-4 days)","","","",""
