"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"10/29/2021 20:56:45","86.36","7.15","2.99","14.47","110.97","credit_card","delivery"
"Total","86.36","7.15","2.99","14.47","110.97","",""
"","","","","","","",""
"All Orders","110.97","","(all orders including cash and credit card paid orders)","","","",""
"Pre-Paid Orders","110.97","","(orders where the customer paid with a credit card online)","","","",""
"MenuStar Fees","10.54","","(includes credit card processing fee)","","","",""
"Adjustments","0","","(credits/debts posted to your account)","","","",""
"Net Payout","100.43","","(amount will be paid in your account in 3-4 days)","","","",""
