"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","RELATED_DOORDASH_DELIVERY_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_AMOUNT","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE"
"05:45:07","2020-09-26","22:45:07","2020-09-25","2020-09-29 07:31:46.489847000","2020-09-29",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",943174705,"943174705","NULL","NULL","Order Received Time: 2020-09-26 04:22:02.703483000
Order Pickup Time: 2020-09-26 05:45:07.105766000","Picked Up","USD",79.70,6.18,11.96,0.00,0.00,73.92,0.00,"1202902713",0.00,0.00
"05:07:18","2020-09-07","22:07:18","2020-09-06","2020-09-10 07:32:06.416131000","2020-09-10",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",889016527,"889016527","NULL","NULL","Order Received Time: 2020-09-07 04:25:48.062852000
Order Pickup Time: 2020-09-07 05:07:18.264947000","Delivered","USD",24.49,1.90,6.12,0.00,0.00,20.27,0.00,"1131653056",0.00,0.00
"04:56:37","2020-09-12","21:56:37","2020-09-11","2020-09-15 07:32:04.894969000","2020-09-15",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",902622668,"902622668","NULL","NULL","Order Received Time: 2020-09-12 04:17:13.090531000
Order Pickup Time: 2020-09-12 04:56:37.659236000","Delivered","USD",19.98,1.55,5.00,0.00,0.00,16.53,0.00,"1149503768",0.00,0.00
"04:48:01","2020-09-27","21:48:01","2020-09-26","2020-09-30 07:31:43.827625000","2020-09-30",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",946159676,"946159676","NULL","NULL","Order Received Time: 2020-09-27 04:20:07.855138000
Order Pickup Time: 2020-09-27 04:48:01.026098000","Delivered","USD",101.92,7.90,25.48,0.00,0.00,84.34,0.00,"1206795746",0.00,0.00
"04:47:58","2020-09-28","21:47:58","2020-09-27","2020-10-01 07:32:31.023401000","2020-10-01",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",949086446,"949086446","NULL","NULL","Order Received Time: 2020-09-28 04:20:41.462173000
Order Pickup Time: 2020-09-28 04:47:58.062066000","Delivered","USD",10.99,0.85,2.75,0.00,0.00,9.09,0.00,"1210674054",0.00,0.00
"04:47:42","2020-09-03","21:47:42","2020-09-02","2020-09-07 07:32:37.304075000","2020-09-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",877719983,"877719983","NULL","NULL","Order Received Time: 2020-09-03 04:18:36.183255000
Order Pickup Time: 2020-09-03 04:47:42.592907000","Delivered","USD",15.47,1.20,3.87,0.00,0.00,12.80,0.00,"1116521114",0.00,0.00
"04:47:36","2020-09-29","21:47:36","2020-09-28","2020-10-02 07:32:16.250661000","2020-10-02",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",951658410,"951658410","NULL","NULL","Order Received Time: 2020-09-29 04:28:14.888566000
Order Pickup Time: 2020-09-29 04:47:36.967052000","Delivered","USD",24.97,1.94,6.24,0.00,0.00,20.67,0.00,"1214125932",0.00,0.00
"04:46:00","2020-09-18","21:46:00","2020-09-17","2020-09-21 07:31:50.806245000","2020-09-21",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",919156664,"919156664","NULL","NULL","Order Received Time: 2020-09-18 04:29:39.812931000
Order Pickup Time: 2020-09-18 04:46:00.695454000","Delivered","USD",19.47,1.51,4.87,0.00,0.00,16.11,0.00,"1171275914",0.00,0.00
"04:45:23","2020-09-09","21:45:23","2020-09-08","2020-09-14 07:31:51.516890000","2020-09-14",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",893908174,"893908174","NULL","NULL","Order Received Time: 2020-09-09 04:12:31.329095000
Order Pickup Time: 2020-09-09 04:45:23.173433000","Delivered","USD",30.97,2.40,7.74,0.00,0.00,25.63,0.00,"1138243071",0.00,0.00
"04:44:42","2020-09-09","21:44:42","2020-09-08","2020-09-14 07:31:51.516890000","2020-09-14",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",893920563,"893920563","NULL","NULL","Order Received Time: 2020-09-09 04:27:25.325571000
Order Pickup Time: 2020-09-09 04:44:42.262555000","Delivered","USD",27.23,2.11,6.81,0.00,0.00,22.53,0.00,"1138242291",0.00,0.00
"04:42:58","2020-09-27","21:42:58","2020-09-26","2020-09-30 07:31:43.827625000","2020-09-30",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",946159703,"946159703","NULL","NULL","Order Received Time: 2020-09-27 04:20:08.998926000
Order Pickup Time: 2020-09-27 04:42:58.513715000","Delivered","USD",43.21,3.35,10.80,0.00,0.00,35.76,0.00,"1206786961",0.00,0.00
"04:42:47","2020-09-18","21:42:47","2020-09-17","2020-09-21 07:31:50.806245000","2020-09-21",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",919148754,"919148754","NULL","NULL","Order Received Time: 2020-09-18 04:21:00.654028000
Order Pickup Time: 2020-09-18 04:42:47.396119000","Delivered","USD",9.99,0.77,2.50,0.00,0.00,8.26,0.00,"1171271599",0.00,0.00
"04:42:32","2020-09-04","21:42:32","2020-09-03","2020-09-07 07:32:37.304075000","2020-09-07",111737,43504,"Ameci Pizza & Pasta (Trabuco Rd)","NULL","DELIVERY",880494425,"880494425","NULL","NULL","Order Received Time: 2020-09-04 04:29:38.195818000
Order Pickup Time: 2020-09-04 04:42:32.626666000","Delivered","USD",13.99,1.08,3.50,0.00,0.00,11.57,0.00,"1120213717",0.00,0.00
