Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,29.32,0,0,29.32,2021-01-11
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,6.44,0,0,6.44,2021-01-25
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,15.07,0,0,15.07,2021-01-25
Ameci Pizza & Pasta - Lake Forest,,#30A54,15398088-01ef-4fd9-afa0-f4bed1a30a54,Delivery - Partner Using Uber App,Android,Completed,2021-01-01,12:19,58.96,4.57,63.53,0,0,0,0,0,0,0,0,63.53,-11.2,0,0,0,0,0,,0,0,0,52.33,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#52863,8535b9c8-922f-45da-a7d8-a72ec1152863,Delivery - Partner Using Uber App,iOS,Completed,2021-01-01,16:34,42.18,3.27,45.45,0,0,0,0,0,0,0,0,45.45,-8.01,0,0,0,0,0,,0,0,0,37.44,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#DFC25,0849b462-7a39-4ac6-b37b-88f0a46dfc25,Delivery - Partner Using Uber App,iOS,Completed,2021-01-01,19:12,17.99,1.39,19.38,0,0,0,0,0,0,0,0,19.38,-3.42,0,0,0,0,0,,0,0,0,15.96,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#9C2B9,589394a9-b36b-4454-9b1c-a0ae7cc9c2b9,Delivery - Partner Using Uber App,iOS,Completed,2021-01-01,19:44,60.7,4.7,65.4,0,0,0,0,0,0,0,0,65.4,-11.53,0,0,0,0,0,,0,0,0,53.87,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#B3AA9,012f4e66-cdf9-4026-aa3d-9ed1153b3aa9,Delivery - Partner Using Uber App,iOS,Completed,2021-01-02,14:08,25.45,1.97,27.42,0,0,0,0,0,0,0,0,27.42,-4.84,0,0,0,0,0,,0,0,0,22.58,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#804D6,1dc62eff-e83f-49c8-b8cc-8447c80804d6,Delivery - Partner Using Uber App,iOS,Completed,2021-01-02,14:13,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.23,0,0,0,0,0,,0,0,0,15.07,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#575BE,8b71f602-a07c-4fbf-b219-5e76e2c575be,Delivery - Partner Using Uber App,iOS,Completed,2021-01-02,14:34,30.95,2.4,33.35,0,0,0,0,0,0,0,0,33.35,-5.88,0,0,0,0,0,,0,0,0,27.47,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#E3256,60b3ad44-9966-4151-84bb-8e74edee3256,Delivery - Partner Using Uber App,Android,Completed,2021-01-02,16:03,55.2,4.28,59.48,0,0,0,0,0,0,0,0,59.48,-10.49,0,0,0,0,0,,0,0,0,48.99,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#B3E82,4a1712a1-aa95-4a8b-b1d0-220064eb3e82,Delivery - Partner Using Uber App,Android,Completed,2021-01-02,16:07,21.47,1.66,23.13,0,0,0,0,0,0,0,0,23.13,-4.08,0,0,0,0,0,,0,0,0,19.05,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#0BE0B,730a3c8f-cb31-4199-82be-57991ef0be0b,Delivery - Partner Using Uber App,iOS,Completed,2021-01-02,16:23,78.39,6.08,84.47,0,0,0,0,0,0,0,0,84.47,-14.89,0,0,0,0,0,,0,0,0,69.58,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#3DC15,39190fd3-2142-4c5c-995b-471684e3dc15,Delivery - Partner Using Uber App,iOS,Completed,2021-01-02,17:22,21.47,1.66,23.13,0,0,0,0,0,0,0,0,23.13,-4.08,0,0,0,0,0,,0,0,0,19.05,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#1B9CA,007ad0bb-cd27-4b1c-a04c-e9699e41b9ca,Delivery - Partner Using Uber App,iOS,Completed,2021-01-02,17:27,24.97,1.94,26.91,0,0,0,0,0,0,0,0,26.91,-4.74,0,0,0,0,0,,0,0,0,22.17,2021-01-04
Ameci Pizza & Pasta - Lake Forest,,#8B696,70e326fd-7b62-422e-8fb8-516c5798b696,Delivery - Partner Using Uber App,iOS,Completed,2021-01-02,17:44,66.46,5.15,71.61,0,0,0,0,0,0,0,0,71.61,-12.63,0,0,0,0,0,,0,0,0,58.98,2021-01-04
