Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,12/31/21,#d6b236db,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$31.97,-$12.79,$0.00,$0.00,$2.48,,,$21.66,
Delivery,12/31/21,#850117537090278,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$20.99,-$3.25,-$5.00,$0.00,$1.24,,,$13.98,
Delivery,12/31/21,#876a1a8c,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$1.08,,,$9.45,
Delivery,12/31/21,#A98D9,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$32.98,-$11.19,-$2.00,$0.00,$0.00,,,$19.79,
Delivery,12/31/21,#7669faa1,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$44.96,-$10.25,-$7.73,$0.00,$2.96,,,$29.94,
Delivery,12/31/21,#AA3A5,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$44.00,-$17.60,$0.00,$0.00,$0.00,,,$26.40,
Delivery,12/31/21,#884F0,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$126.89,-$48.75,-$2.00,$0.00,$0.00,,,$76.14,
Delivery,12/31/21,#2566c478,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$38.97,-$9.44,-$5.85,$0.00,$2.57,,,$26.25,
Delivery,12/31/21,#97C2C,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$5.00,-$3.00,$0.00,$0.00,,,$11.99,
Delivery,12/31/21,#75a5033f,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.98,-$10.39,$0.00,$0.00,$2.01,,,$17.60,
Delivery,12/31/21,#0F1B7,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$16.45,-$4.58,-$2.00,$0.00,$0.00,,,$9.87,
Delivery,12/31/21,#947ddc57,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.90,-$10.76,$0.00,$0.00,$2.08,,,$18.22,
Delivery,12/31/21,#c650cfd1,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$9.99,-$4.00,$0.00,$0.00,$0.77,,,$6.76,
Delivery,12/31/21,#44E65,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.99,-$10.00,$0.00,$0.00,$0.00,,,$14.99,
Delivery,12/31/21,#3E9EF,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$5.00,-$3.00,$0.00,$0.00,,,$11.99,
Delivery,12/30/21,#3E8C1,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$3.20,-$2.00,$0.00,$0.00,,,$7.79,
Delivery,12/30/21,#435BF,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.95,-$5.18,$0.00,$0.00,$0.00,,,$7.77,
Delivery,12/30/21,#1a89ac84,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.97,-$10.39,$0.00,$0.00,$2.01,,,$17.59,
Delivery,12/30/21,#630d186d,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$1.01,,,$8.80,
Delivery,12/30/21,#3d8edd36,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$51.97,-$12.69,-$7.80,$0.00,$3.42,,,$34.90,
Delivery,12/30/21,#dd66db82,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.20,-$5.68,$0.00,$0.00,$1.10,,,$9.62,
Delivery,12/30/21,#fc4e9885,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$1.08,,,$9.45,
Delivery,12/30/21,#4A631,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$7.39,-$3.00,$0.00,$0.00,,,$15.59,
Delivery,12/30/21,#40a2ab65,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.98,-$9.19,$0.00,$0.00,$1.78,,,$15.57,
Delivery,12/30/21,#EF254,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.95,-$5.58,$0.00,$0.00,$0.00,,,$8.37,
Delivery,12/30/21,#7E28B,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$38.97,-$12.59,-$3.00,$0.00,$0.00,,,$23.38,
Delivery,12/30/21,#BC9E6,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$22.98,-$9.19,$0.00,$0.00,$0.00,,,$13.79,
Delivery,12/30/21,#8d3c63dc,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$35.97,-$7.99,-$6.39,$0.00,$2.14,,,$23.73,
Delivery,12/30/21,#c19175c0,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$31.98,-$7.69,-$4.80,$0.00,$2.11,,,$21.60,
Delivery,12/30/21,#642fb014,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$38.97,-$11.60,-$3.99,$0.00,$3.02,,,$26.40,
Delivery,12/30/21,#6D921,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,$0.00,,,$7.80,
Delivery,12/30/21,#d3d241c8,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.98,-$8.79,$0.00,$0.00,$1.70,,,$14.89,
Delivery,12/30/21,#ded3a255,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$1.00,,,$8.77,
Delivery,12/30/21,#82823,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$16.45,-$6.58,$0.00,$0.00,$0.00,,,$9.87,
Delivery,12/30/21,#F0C4D,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$34.99,-$14.00,$0.00,$0.00,$0.00,,,$20.99,
Delivery,12/30/21,#f317b0dc,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.45,-$6.18,$0.00,$0.00,$1.20,,,$10.47,
Delivery,12/30/21,#74EDD,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.45,-$6.18,$0.00,$0.00,$0.00,,,$9.27,
Delivery,12/30/21,#9901F,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$22.97,-$9.19,$0.00,$0.00,$0.00,,,$13.78,
Delivery,12/30/21,#1CE9D,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.49,-$6.19,$0.00,$0.00,$0.00,,,$9.30,
Delivery,12/30/21,#B1E28,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$4.19,-$3.00,$0.00,$0.00,,,$10.79,
Delivery,12/30/21,#371217512659763,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$35.98,-$14.39,$0.00,$0.00,$2.79,,,$24.38,
Delivery,12/30/21,#6e68cc76,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.00,-$5.60,$0.00,$0.00,$1.09,,,$9.49,
Delivery,12/30/21,#6E9E3,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.40,-$9.76,$0.00,$0.00,$0.00,,,$14.64,
Delivery,12/30/21,#7c7ff3de,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$44.96,-$10.25,-$7.73,$0.00,$2.96,,,$29.94,
