"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE","SUBTOTAL_FOR_TAX","DOORDASH_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","MERCHANT_FUNDED_SUBTOTAL_DISCOUNT_AMOUNT","CONSUMER_DELIVERY_FEE","CONSUMER_SERVICE_FEE","CONSUMER_SMALL_ORDER_FEE","CONSUMER_LEGISLATIVE_FEE","CONSUMER_TIP"
"21:35:24","2021-12-01","13:35:24","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","d0442ef9-9219-4cb6-b839-c20df19de5a6","=""f19de5a6""","NULL","NULL","Order Received Time: 2021-12-01 21:17:13.663891000
Order Pickup Time: 2021-12-01 21:35:24.189633000","Delivered","USD",57.97,4.49,8.70,0.00,0.99,0.00,52.77,0.00,"3328326733",187271031,0.00,0.00,57.97,NULL,NULL,"0.99","8.70","0.00","0.00","6.00"
"22:34:19","2021-12-01","14:34:19","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","ee5588da-bbe2-4498-8d6f-4c941f9c197d","=""1f9c197d""","NULL","NULL","Order Received Time: 2021-12-01 22:16:37.776041000
Order Pickup Time: 2021-12-01 22:34:19.246603000","Delivered","USD",15.48,1.20,2.32,0.00,0.00,0.00,14.36,0.00,"3328640921",187271031,0.00,0.00,15.48,NULL,NULL,"0.00","0.77","0.00","0.00","2.00"
"23:50:18","2021-12-01","15:50:18","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","39b8e2b7-8749-488c-a165-f4a3d220143a","=""d220143a""","NULL","NULL","Order Received Time: 2021-12-01 23:17:26.055912000
Order Pickup Time: 2021-12-01 23:50:18.032406000","Delivered","USD",48.20,3.74,7.23,0.00,0.99,0.00,43.72,0.00,"3329141251",187271031,0.00,0.00,48.20,NULL,NULL,"5.99","7.23","0.00","0.00","12.50"
"00:05:33","2021-12-02","16:05:33","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","3549a1be-7c2b-4b6d-a91a-3dfceee5071d","=""eee5071d""","NULL","NULL","Order Received Time: 2021-12-01 23:51:35.845087000
Order Pickup Time: 2021-12-02 00:05:33.062246000","Delivered","USD",18.99,1.47,2.85,0.00,0.99,0.00,16.62,0.00,"3329258622",187271031,0.00,0.00,18.99,NULL,NULL,"1.99","2.85","0.00","0.00","3.00"
"02:11:29","2021-12-02","18:11:29","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","72b04788-4e1d-44aa-b6d6-67ff7f502e8e","=""7f502e8e""","NULL","NULL","Order Received Time: 2021-12-02 01:44:13.636086000
Order Pickup Time: 2021-12-02 02:11:29.007007000","Delivered","USD",22.48,1.74,3.37,0.00,0.99,0.00,19.86,0.00,"3330258923",187271031,0.00,0.00,22.48,NULL,NULL,"6.99","3.37","0.00","0.00","5.50"
"02:30:03","2021-12-02","18:30:03","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","86c5819f-b76f-42a3-928d-fe47b04f6a20","=""b04f6a20""","NULL","NULL","Order Received Time: 2021-12-02 02:13:14.237607000
Order Pickup Time: 2021-12-02 02:30:03.427369000","Delivered","USD",43.44,3.37,6.52,0.00,0.00,0.00,40.29,0.00,"3330386146",187271031,0.00,0.00,43.44,NULL,NULL,"0.00","2.17","0.00","0.00","5.50"
"02:36:20","2021-12-02","18:36:20","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","f1e93ff7-1e39-4a73-9123-2ffe3ba5b7a0","=""3ba5b7a0""","NULL","NULL","Order Received Time: 2021-12-02 02:19:08.915318000
Order Pickup Time: 2021-12-02 02:36:20.141388000","Delivered","USD",41.16,3.19,6.17,0.00,0.99,0.00,37.19,0.00,"3330431081",187271031,0.00,0.00,41.16,NULL,NULL,"1.99","6.17","0.00","0.00","5.00"
"03:08:21","2021-12-02","19:08:21","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","bfeacbae-97f6-4ab3-ba95-884790bf3dbe","=""90bf3dbe""","NULL","NULL","Order Received Time: 2021-12-02 02:48:34.852036000
Order Pickup Time: 2021-12-02 03:08:21.893415000","Delivered","USD",37.97,2.94,5.70,0.00,0.99,0.00,34.22,0.00,"3330630337",187271031,0.00,0.00,37.97,NULL,NULL,"1.99","5.70","0.00","0.00","5.50"
"03:19:20","2021-12-02","19:19:20","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","0499c67c-3004-4c93-a259-47e058ccff70","=""58ccff70""","NULL","NULL","Order Received Time: 2021-12-02 01:36:16.212144000
Order Pickup Time: 2021-12-02 03:19:20.054000000","Picked Up","USD",39.97,3.10,2.40,0.00,0.00,4.30,44.97,0.00,"3330690180",187271031,0.00,0.00,39.97,NULL,NULL,"0.00","0.00","0.00","0.00","0.00"
"03:49:56","2021-12-02","19:49:56","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","0a8315cd-2cad-4a80-aede-e9985b8f28ce","=""5b8f28ce""","NULL","NULL","Order Received Time: 2021-12-02 03:32:09.163399000
Order Pickup Time: 2021-12-02 03:49:56.096422000","Delivered","USD",25.98,2.01,3.90,0.00,0.99,0.00,23.10,0.00,"3330842047",187271031,0.00,0.00,25.98,NULL,NULL,"6.99","3.90","0.00","0.00","0.00"
"04:47:05","2021-12-02","20:47:05","2021-12-01","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","40480dc2-4692-40e1-a254-86ee7e75ffb4","=""7e75ffb4""","NULL","NULL","Order Received Time: 2021-12-02 04:30:10.639289000
Order Pickup Time: 2021-12-02 04:47:05.296552000","Delivered","USD",23.48,1.82,3.52,0.00,0.99,0.00,20.79,0.00,"3331061435",187271031,0.00,0.00,23.48,NULL,NULL,"6.99","3.52","0.00","0.00","5.00"
"08:37:07","2021-12-02","00:37:07","2021-12-02","2021-12-02 08:37:07.535007000","2021-12-02",486867,223895,"Aroma Pizza & Pasta","NULL","PAYOUT","186817999","NULL","N/A","N/A","NULL","N/A","USD",569.12,0.00,0.00,0.00,0.00,0.00,0.00,569.12,"NULL",186817999,0.00,0.00,0.00,NULL,NULL,"0.00","0.00","0.00","0.00","0.00"
"23:42:08","2021-12-02","15:42:08","2021-12-02","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","539c37fe-24c7-48df-98b0-8f3cb2b39930","=""b2b39930""","NULL","NULL","Order Received Time: 2021-12-02 23:19:18.906709000
Order Pickup Time: 2021-12-02 23:42:08.100398000","Delivered","USD",49.90,3.87,7.49,0.00,0.00,0.00,46.28,0.00,"3334338972",187271031,0.00,0.00,49.90,NULL,NULL,"0.00","2.50","0.00","0.00","15.00"
"00:37:47","2021-12-03","16:37:47","2021-12-02","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","7ef8cc66-a184-483b-a3ef-481adb6f9892","=""db6f9892""","NULL","NULL","Order Received Time: 2021-12-03 00:17:53.122795000
Order Pickup Time: 2021-12-03 00:37:47.626615000","Delivered","USD",40.46,3.14,6.07,0.00,0.00,0.00,37.53,0.00,"3334796897",187271031,0.00,0.00,40.46,NULL,NULL,"0.00","2.02","0.00","0.00","9.50"
"00:43:23","2021-12-03","16:43:23","2021-12-02","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","656f8283-5b34-4617-a9b9-d71816253426","=""16253426""","NULL","NULL","Order Received Time: 2021-12-03 00:19:41.917808000
Order Pickup Time: 2021-12-03 00:43:23.810146000","Delivered","USD",25.97,2.01,3.90,0.00,0.00,0.00,24.08,0.00,"3334844974",187271031,0.00,0.00,25.97,NULL,NULL,"0.00","1.30","0.00","0.00","3.00"
"01:28:52","2021-12-03","17:28:52","2021-12-02","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","b3008d5f-427d-4ffc-a4c9-411146e6096e","=""46e6096e""","NULL","NULL","Order Received Time: 2021-12-03 01:01:00.873962000
Order Pickup Time: 2021-12-03 01:28:52.906259000","Delivered","USD",28.97,2.25,4.35,0.00,0.00,0.00,26.87,0.00,"3335232770",187271031,0.00,0.00,28.97,NULL,NULL,"0.00","1.45","0.00","0.00","5.00"
"01:29:16","2021-12-03","17:29:16","2021-12-02","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","057a236b-6dc8-43a7-9803-d15f501dd52a","=""501dd52a""","NULL","NULL","Order Received Time: 2021-12-03 01:10:21.764408000
Order Pickup Time: 2021-12-03 01:29:16.719178000","Delivered","USD",28.97,2.25,4.35,0.00,0.00,0.00,26.87,0.00,"3335236005",187271031,0.00,0.00,28.97,NULL,NULL,"0.00","1.45","0.00","0.00","10.50"
"02:00:11","2021-12-03","18:00:11","2021-12-02","2021-12-06 08:46:33.699760000","2021-12-06",486867,223895,"Aroma Pizza & Pasta","NULL","DELIVERY","7e273b79-6974-46c9-bf04-22acca783797","=""ca783797""","NULL","NULL","Order Received Time: 2021-12-03 01:38:47.381390000
Order Pickup Time: 2021-12-03 02:00:11.140303000","Delivered","USD",19.99,1.55,3.00,0.00,0.99,0.00,17.55,0.00,"3335492017",187271031,0.00,0.00,19.99,NULL,NULL,"6.99","3.00","0.00","0.00","5.00"
