"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"12/23/2021 21:16:37","59.66","4.77","0","9.66","74.09","credit_card","pickup"
"12/31/2021 21:51:30","50.01","4.24","2.99","5","62.24","credit_card","delivery"
"Total","109.67","9.01","2.99","14.66","136.33","",""
"","","","","","","",""
"All Orders","136.33","","(all orders including cash and credit card paid orders)","","","",""
"Pre-Paid Orders","136.33","","(orders where the customer paid with a credit card online)","","","",""
"MenuStar Fees","13.46","","(includes credit card processing fee)","","","",""
"Adjustments","0","","(credits/debts posted to your account)","","","",""
"Net Payout","122.87","","(amount will be paid in your account in 3-4 days)","","","",""
