"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"W-341914378969572","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/18/21","6:12 PM","42.96","0","0.00","3.33","0","46.29","0","-1.71","0"
"O-985114344607457","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/16/21","4:32 PM","40.47","0","2.99","3.37","11.71","58.54","-5.43","-2.09","0"
"O-669514238706501","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/5/21","2:00 PM","21.27","0","2.99","1.88","5.23","31.37","-3.03","-1.26","0"
"W-076114398843912","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/21/21","11:54 AM","33.97","0","0.00","2.63","3.66","40.26","0","-1.53","0"
"W-331514269194146","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/8/21","12:40 PM","25.89","0","0.00","2.01","2.79","30.69","0","-1.24","0"
"O-172814403602504","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/21/21","6:02 PM","23.47","0","2.99","2.05","5.81","34.32","-3.31","-1.35","0"
"O-508414265321317","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/7/21","5:30 PM","29.46","0","2.99","2.51","4.00","38.96","-4.06","-1.49","0"
"O-977914373265995","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/18/21","5:48 PM","65.93","0","2.99","5.34","11.13","85.39","-8.62","-2.90","0"
"O-184214358689775","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/17/21","12:54 PM","56.01","0","2.99","4.57","15.89","79.46","-7.38","-2.72","0"
"O-184914378081040","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"2/18/21","7:17 PM","38.56","0","2.99","3.22","4.48","49.25","-5.19","-1.80","0"
