,,,,,,,4800000500763
MERCHANT STATEMENT,,,,,PROCESSING MONTH: FEB 2021,,
WORLDPAY INTEGRATED PAYMENTS,,,,,MERCHANT NBR:,4800000500763,
8500 GOVERNORS HILL DR MD 1GH2X2,,,,,,,PAGE 1 of 3
"SYMMES TOWNSHIP, OH 45249",,,,,,,
FOR CUSTOMER SERVICE CALL 1-800-846-4472,,,,,,,
DBA NAME: AMECIS PIZZA LAKE FOREST,,,,,,,
,,,,Attention: SAID HAIDREY,,,
,,,,SAHA PIZZA INC,,,
,,,,25431 TRABUCO RD,,,
,,,,"LAKE FOREST, CA 92630",,,
DEPOSIT SUMMARY,,,,,,,
Process Date,Number Sales,Net Sales,Adjustments,Chargebacks,Disc,3rd Party Funded,Net Deposits
01-Feb,47,"1,608.15",0.00,0.00,0.00,0.00,"1,608.15"
02-Feb,37,"1,050.58",0.00,0.00,0.00,0.00,"1,050.58"
03-Feb,31,917.12,0.00,0.00,0.00,0.00,917.12
04-Feb,48,"1,408.74",0.00,0.00,0.00,0.00,"1,408.74"
05-Feb,44,"1,171.91",0.00,0.00,0.00,0.00,"1,171.91"
06-Feb,67,"2,386.47",0.00,0.00,0.00,0.00,"2,386.47"
07-Feb,42,"1,317.53",0.00,0.00,0.00,0.00,"1,317.53"
08-Feb,66,"2,288.97",0.00,0.00,0.00,0.00,"2,288.97"
09-Feb,28,809.14,0.00,0.00,0.00,0.00,809.14
10-Feb,33,966.41,0.00,0.00,0.00,0.00,966.41
11-Feb,40,"1,095.82",0.00,0.00,0.00,0.00,"1,095.82"
12-Feb,42,"1,241.75",0.00,0.00,0.00,0.00,"1,241.75"
13-Feb,74,"3,103.20",0.00,0.00,0.00,0.00,"3,103.20"
14-Feb,60,"2,076.22",0.00,0.00,0.00,0.00,"2,076.22"
15-Feb,48,"1,566.75",0.00,0.00,0.00,0.00,"1,566.75"
16-Feb,40,"1,528.69",0.00,0.00,0.00,0.00,"1,528.69"
17-Feb,29,902.61,0.00,0.00,0.00,0.00,902.61
18-Feb,44,"1,364.53",0.00,0.00,0.00,0.00,"1,364.53"
19-Feb,59,"1,654.73",0.00,0.00,0.00,0.00,"1,654.73"
20-Feb,71,"2,581.33",0.00,0.00,0.00,0.00,"2,581.33"
21-Feb,63,"2,275.02",0.00,0.00,0.00,0.00,"2,275.02"
22-Feb,39,"1,377.90",0.00,0.00,0.00,0.00,"1,377.90"
23-Feb,40,"1,220.42",0.00,0.00,0.00,0.00,"1,220.42"
24-Feb,41,"1,324.05",0.00,0.00,0.00,0.00,"1,324.05"
25-Feb,50,"1,537.66",0.00,0.00,0.00,0.00,"1,537.66"
"American Express does not charge ""interchange."" For Amex, this amount is the percentage fee applicable to your Amex card",,,,,,,
transactions.,,,,,,,

MERCHANT NBR: 4800000500763,,,,,,,MERCHANT STATEMENT,,
DBA: AMECIS PIZZA LAKE FOREST,,,,,,,,,PAGE 2 of 3
,,,,,,,,,"February 28, 2021"
Process Date,Number Sales,Net Sales,Adjustments,Chargebacks,,Disc,3rd Party Funded,,Net Deposits
"26-Feb
27-Feb
28-Feb","40
79
48","1,104.48
2,695.53
1,445.45","0.00
0.00
0.00",,"0.00
0.00
0.00","0.00
0.00
0.00",,"0.00
0.00
0.00","1,104.48
2,695.53
1,445.45"
"Deposits Total 1,350
PROCESSING ACTIVITY SUMMARY",,"44,021.16",0.00,,0.00,0.00,,0.00,"44,021.16"
Card Type,"Settled
Sales","Amount of
Sales","Settled
Credits","Amount of
Credits","Amount of
Net Sales","Average
Ticket","Settled
Per
Item*","Disc
Rate","Processing
Fees"
AMEXOPTBLUE,54,"1,973.39",0,0.00,"1,973.39",36.54,0.0500,0.7000,16.51
DISCOVER,9,299.23,0,0.00,299.23,33.25,0.0000,1.9000,5.69
DISCOVERDEBIT,1,29.08,0,0.00,29.08,29.08,0.0000,1.7500,0.51
MASTERCARD,124,"4,048.25",0,0.00,"4,048.25",32.65,0.0000,1.9000,76.91
MCDEBIT,55,"1,643.34",0,0.00,"1,643.34",29.88,0.0000,1.7500,28.76
MCDEBITCAP,136,"4,658.18",0,0.00,"4,658.18",34.25,0.0000,1.7500,81.52
VISA,304,"10,651.47",0,0.00,"10,651.47",35.04,0.0000,1.9000,202.39
VISADEBIT,101,"3,388.21",0,0.00,"3,388.21",33.55,0.0000,1.7500,59.30
VISADEBITCAP,566,"17,330.01",0,0.00,"17,330.01",30.62,0.0000,1.7500,303.27
"Total 1,350 44,021.16 0 0.00 44,021.16 32.61
* For processor per item fee charged on transaction types other than settled transactions, see Other Fees section below.
OTHER FEES",,,,,,,,,774.86
Number,Amount,Description,,,,,Rate,,Total
57,,"PROCESSOR PER ITEM FEE - AUTHORIZATIONS, AX",,,,,0.0600,,3.42
10,,DISCOVER NETWORK AUTHORIZATION FEE,,,,,0.0025,,0.03
,43.00,MASTERCARD CROSS BORDER US - 6959,,,,,0.6000,,0.26
,43.00,MC ACQ POS PROGRAM SUPPORT,,,,,0.8500,,0.37
,"3,390.84",MC DIGITAL ENABLEMENT FEE,,,,,0.0100,,0.34
315,,MC FILE TRANSMISSION FEE - 6957,,,,,0.0022,,0.69
326,,MC NABU FEE,,,,,0.0195,,6.36
1,,MC NO REV OR CLEAR PREAUTH,,,,,0.0450,,0.05
1,,OMNISHIELDASSURE,,,,,9.9500,,9.95
1,,SIGNATURE MERCHANT LOCATION FEE,,,,,2.5000,,2.50
312,,VISA ACQUIRER PROCESSING FEE,,,,,0.0195,,6.08
695,,VISA APF SIG DEBIT,,,,,0.0155,,10.77
1,,VISA APF SIGNATURE CREDIT INTER,,,,,0.0395,,0.04
1,,VISA APF SIGNATURE DEBIT INTER,,,,,0.0355,,0.04
"1,009",,VISA BASE II TRAN FEE,,,,,0.0020,,2.02
