,,Ameci Pizza & Pasta - Lake Forest,,,,,
,,,,Start Date,,10/1/2020,
,,,,,End Date,11/1/2020,
,,,,Prepaid Total,,$301.45,
,,,,Taxes Withheld,,$22.76,
,Orders,Subtotal,Tax,Delivery,Tip,,Total
Card,12,$215.00,$0.00,$38.00,$48.45,$301.45,
Cash,0,$0.00,$0.00,$0.00,,-,$0.00
Total,12,$215.00,$0.00,$38.00,$48.45,$301.45,
,,Charge,,,,,Note
Prepaid Total,,$301.45,,,,,
Commission (Comm),,($37.63),,,,,
Processing (Proc),,($14.16),,,,,
Total Charges,,($51.79),,,,,
10/2/2020,,,ID,Tip,Total,Proc,Comm
12:49 PM,Delivery,CARD,23385712,$3.46,$21.94,$1.07,$2.71
10/6/2020,,,ID,Tip,Total,Proc,Comm
11:37 AM,Delivery,CARD,23469483,$3.46,$21.94,$1.07,$2.71
10/8/2020,,,ID,Tip,Total,Proc,Comm
11:46 AM,Delivery,CARD,23505298,$3.46,$21.94,$1.07,$2.71
10/14/2020,,,ID,Tip,Total,Proc,Comm
11:48 AM,Delivery,CARD,23623569,$3.46,$21.94,$1.07,$2.71
10/17/2020,,,ID,Tip,Total,Proc,Comm
12:11 PM,Delivery,CARD,23686973,$5.16,$26.92,$1.24,$3.28
10/19/2020,,,ID,Tip,Total,Proc,Comm
5:34 PM,Delivery,CARD,23738109,$5.84,$43.29,$1.82,$5.68
10/20/2020,,,ID,Tip,Total,Proc,Comm
11:58 AM,Delivery,CARD,23745055,$3.52,$22.29,$1.08,$2.76
10/22/2020,,,ID,Tip,Total,Proc,Comm
12:16 PM,Delivery,CARD,23779969,$3.52,$22.29,$1.08,$2.76
10/24/2020,,,ID,Tip,Total,Proc,Comm
4:17 PM,Delivery,CARD,23836154,$5.16,$31.39,$1.40,$4.07
10/26/2020,,,ID,Tip,Total,Proc,Comm
12:32 PM,Delivery,CARD,23868867,$4.41,$23.18,$1.11,$2.76
10/28/2020,,,ID,Tip,Total,Proc,Comm
5:34 PM,Delivery,CARD,23911844,$3.48,$22.04,$1.07,$2.72
10/30/2020,,,ID,Tip,Total,Proc,Comm
12:14 PM,Delivery,CARD,23940733,$3.52,$22.29,$1.08,$2.76
,Phone: (866) 654-8777,,Email: support@eatstreet.com,,,,
