"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-091413207332497","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/24/20","9:10 PM","16.49","0","0.00","1.28","0","17.77","-2.06","-0.84","0"
"O-267413059046039","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/9/20","7:01 PM","68.71","0","2.99","5.56","11.59","88.85","-8.96","-3.01","0"
"O-911312980115600","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/2/20","7:02 PM","29.35","0","4.99","2.66","5.55","42.55","-4.29","-1.60","0"
"W-656213114076185","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/16/20","4:45 PM","44.49","0","2.99","3.68","9.54","60.70","0","-2.15","0"
"O-588913161293050","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/20/20","5:48 PM","29.76","0","0.00","2.31","3.21","35.28","-3.72","-1.38","0"
"O-588913151226811","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/20/20","4:55 PM","29.96","0","0.00","2.32","0","32.28","-3.75","-1.28","0"
"W-216513099642660","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/13/20","6:12 PM","25.74","0","0.00","1.99","2.77","30.50","0","-1.23","0"
"W-878013199131582","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/23/20","5:31 PM","31.74","0","0.00","2.46","0","34.20","0","-1.34","0"
"O-591313276557695","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/31/20","8:30 PM","24.47","0","2.99","2.13","4.44","34.03","-3.43","-1.34","0"
"O-176812999885941","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/3/20","7:07 PM","10.99","0","0.00","0.85","2.37","14.21","-1.37","-0.73","0"
"O-389813127536851","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/16/20","6:38 PM","64.00","0","2.99","5.19","18.05","90.23","-8.37","-3.05","0"
"O-395113028599871","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/7/20","12:54 PM","38.46","0","2.99","3.21","3.50","48.16","-5.18","-1.77","0"
"W-581212986182709","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/2/20","6:02 PM","24.99","0","2.99","2.17","2.00","32.15","0","-1.28","0"
"W-470213005034486","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/5/20","4:16 PM","27.73","0","0.00","2.15","1.49","31.37","0","-1.26","0"
"W-841113261843176","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/30/20","6:23 PM","62.47","0","0.00","4.84","10.10","77.41","0","-2.66","0"
"O-356813053453283","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/9/20","6:08 PM","51.97","0","2.99","4.26","6.00","65.22","-6.87","-2.29","0"
"O-841113261818301","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/30/20","7:43 PM","10.99","0","0.00","0.85","1.18","13.02","-1.37","-0.70","0"
"O-307513035480637","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-307513035480637","Additional charge due to special instructions request","10/8/20","8:08 AM","1.75","0","0.00","0.13","0","1.88","0","0","0"
"O-895413238239122","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/28/20","11:30 AM","31.97","0","0.00","2.48","0","34.45","-4.00","-1.35","0"
