Ameci Pizza & Pasta - Lake,,,,,,,,,Forest,,
Start Date,,,,,,,,,8/1/2021,,
End Date,,,,,,,,,9/1/2021,,
Prepaid Total,,,,,,,,,$165.62,,
Taxes Withheld,,,,,,,,,$11.64,,
"Orders       Subtotal      Tax       Delivery        Tip       Total
7          $118.95     $0.00           $21.00      $25.67       $165.62",,,,,,,,,,,
Charge                                      Note,,,,,,,,,,,
Prepaid Total,,,$165.62,,,,,,,,
Advertising,,,($15.00),(08/09/2021),,,-,(08/16/2021),,,
Advertising,,,($7.64),(08/16/2021),,,-,(08/23/2021),,,
Advertising,,,($15.00),(08/23/2021),,,-,(08/30/2021),,,
Commission (Comm),,,($20.79),,,,,,,,
Processing (Proc),,,($7.89),,,,,,,,
Total Charges,,,($66.32),,,,,,,,
8/3/2021,,,ID,,Tip,Total,Proc,,,Comm,
12:00,PM,Delivery,29028338,,$3.86,$24.13,$1.14,,,$3.02,
8/11/2021,,,ID,,Tip,Total,Proc,,,Comm,
11:38,AM,Delivery,29135456,,$3.68,$23.16,$1.11,,,$2.88,
2:13,PM,Delivery,29137098,,$2.89,$25.17,$1.18,,,$3.37,
8/15/2021,,,ID,,Tip,Total,Proc,,,Comm,
1:09,PM,Delivery,29194678,,$3.68,$23.16,$1.11,,,$2.88,
8/20/2021,,,ID,,Tip,Total,Proc,,,Comm,
11:11,AM,Delivery,29257813,,$3.68,$23.16,$1.11,,,$2.88,
8/24/2021,,,ID,,Tip,Total,Proc,,,Comm,
11:24,AM,Delivery,29314779,,$3.94,$23.42,$1.12,,,$2.88,
8/29/2021,,,ID,,Tip,Total,Proc,,,Comm,
2:22,PM,Delivery,29392726,,$3.94,$23.42,$1.12,,,$2.88,
Phone: (866) 654-8777     Email: support@eatstreet.com,,,,,,,,,,,
