Statement Date:,,,11/30/21,,,Merchant ID:,4445028946467,,
Statement Period:,,,11/01/21 - 11/30/21,,,Merchant Name:,Aroma Pizza and Pasta - Lake Forest,,
,,,,,,Merchant Address:,20491 Alton Parkway,,
,,,,,,,"Lake Forest, CA 92610",,
Card Processing - Visa / MasterCard / Discover / Amex,,,,,,,,,
Type,Rate,Payments,,Refunds,,Fees Collected,Fee Adjustments,Fees Adjusted,Net
V/MC/D,2.0067% + 0.15,839,"$19,978.28",0,$0.00,$526.87,-$0.12,$526.75,"$19,451.53"
V/MC/D (keyed),2.4034% + 0.15,211,"$8,675.77",1,$100.00,$240.08,$0.08,$240.16,"$8,335.61"
Amex,2.7856% + 0.15,44,"$1,120.50",0,$0.00,$37.82,-$0.01,$37.81,"$1,082.69"
Amex (keyed),3.3234% + 0.15,19,$988.64,0,$0.00,$35.71,$0.00,$35.71,$952.93
Total,,1113,"$30,763.19",1,$100.00,$840.48,-$0.05,$840.43,"$29,822.76"
Credit Card Batches,,,,,,,,,
Settled Date,,Batch Date,,,Payments,Refunds,Fees,Net (Dep),
11/1/2021,,10/31/2021 4:24 AM,,,847.67,0.00,22.06,825.61,
,,10/31/2021 4:24 AM,,,199.94,0.00,5.55,194.39,
11/2/2021,,10/31/2021 9:45 PM,,,"1,565.98",0.00,38.88,"1,527.10",
,,10/31/2021 9:45 PM,,,417.13,0.00,11.93,405.20,
11/3/2021,,11/1/2021 9:38 PM,,,801.22,0.00,20.72,780.50,
,,11/1/2021 9:38 PM,,,134.82,0.00,3.54,131.28,
,,11/2/2021 9:38 PM,,,72.67,0.00,1.90,70.77,
11/4/2021,,11/2/2021 9:38 PM,,,516.64,0.00,15.42,501.22,
,,11/3/2021 4:13 AM,,,36.00,0.00,1.02,34.98,
11/5/2021,,11/3/2021 9:22 PM,,,537.83,0.00,15.82,522.01,
,,11/3/2021 9:22 PM,,,163.51,0.00,4.53,158.98,
,,11/4/2021 4:21 AM,,,38.76,0.00,1.44,37.32,
,,11/4/2021 9:36 PM,,,14.04,0.00,0.49,13.55,
11/6/2021,,11/4/2021 9:36 PM,,,571.14,0.00,17.61,553.53,
,,11/5/2021 4:18 AM,,,51.67,0.00,1.54,50.13,
11/7/2021,,11/5/2021 9:48 PM,,,283.04,0.00,7.86,275.18,
,,11/5/2021 9:48 PM,,,"1,415.70",0.00,36.78,"1,378.92",
11/8/2021,,11/6/2021 9:46 PM,,,"1,057.45",0.00,29.54,"1,027.91",
,,11/6/2021 9:46 PM,,,310.60,0.00,8.66,301.94,
,,11/7/2021 4:21 AM,,,275.08,0.00,6.76,268.32,
11/9/2021,,11/7/2021 9:53 PM,,,102.91,0.00,2.92,99.99,
,,11/7/2021 9:53 PM,,,627.10,0.00,16.66,610.44,
,,11/8/2021 4:16 AM,,,105.54,0.00,2.98,102.56,
11/10/2021,,11/8/2021 9:29 PM,,,132.28,0.00,3.78,128.50,
,,11/8/2021 9:29 PM,,,490.96,0.00,13.91,477.05,
,,11/9/2021 9:34 PM,,,427.73,0.00,12.28,415.45,
11/11/2021,,11/9/2021 9:34 PM,,,39.02,0.00,1.24,37.78,
,,11/10/2021 4:13 AM,,,21.30,0.00,0.66,20.64,
11/12/2021,,11/10/2021 9:33 PM,,,554.01,0.00,15.27,538.74,
,,11/10/2021 9:33 PM,,,116.27,0.00,3.25,113.02,
,,11/11/2021 9:46 PM,,,479.29,0.00,13.54,465.75,
