"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"11/21/2021 21:39:53","30.75","2.46","0","0","33.21","credit_card","pickup"
"11/23/2021 23:05:07","21.31","1.7","0","0","23.01","cash","pickup"
"11/24/2021 21:53:07","51.08","4.09","0","8.27","63.44","credit_card","pickup"
"11/24/2021 23:46:30","31.3","2.5","0","0","33.8","cash","pickup"
"11/26/2021 20:37:32","38.85","3.11","0","5","46.96","credit_card","pickup"
"11/26/2021 21:07:19","31.82","2.78","2.99","5.64","43.23","credit_card","delivery"
"11/26/2021 22:36:56","60.44","4.84","0","0","65.28","cash","pickup"
"Total","265.55","21.48","2.99","18.91","308.93","",""
"","","","","","","",""
"All Orders","308.93","","(all orders including cash and credit card paid orders)","","","",""
"Pre-Paid Orders","186.84","","(orders where the customer paid with a credit card online)","","","",""
"MenuStar Fees","28.05","","(includes credit card processing fee)","","","",""
"Adjustments","0","","(credits/debts posted to your account)","","","",""
"Net Payout","158.79","","(amount will be paid in your account in 3-4 days)","","","",""
