"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-006216985531970","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/21","12:50 PM","25.47","4.99","0","2.36","2.74","35.56","-4.57","0","-1.38","0","0"
"O-072516983702045","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/6/21","7:25 PM","22.98","0.00","0","1.78","0","24.76","-3.45","0","-1.06","0","0"
"O-112417014876734","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/9/21","8:20 PM","53.45","1.99","0","4.29","8.94","68.67","-8.32","0","-2.39","0","0"
"O-976717033361322","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/12/21","1:27 PM","26.72","4.99","0","2.46","5.13","39.30","-4.76","0","-1.50","0","0"
"O-174617154939724","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/23/21","6:03 PM","30.96","0.00","0","2.40","0","33.36","-4.64","0","-1.32","0","0"
"O-186517039767705","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/11/21","5:16 PM","20.73","0.00","0","1.61","0","22.34","-3.11","0","-0.98","0","0"
"O-645716991795120","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/21","6:05 PM","38.97","1.99","0","3.17","8.83","52.96","-6.14","0","-1.92","0","0"
"O-101417216120876","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-101417216120876","Order not received","11/29/21","6:24 PM","-23.98","-6.99","0","-2.40","-3.88","-37.25","4.65","0","1.44","0","0"
"O-891917149992959","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/22/21","7:05 PM","18.96","0.00","0","1.47","0","20.43","-2.84","0","-0.92","0","0"
"O-006216975524328","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/6/21","4:59 PM","39.93","4.99","0","3.48","7.26","55.66","-6.74","0","-2.00","0","0"
"O-246317080717884","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/16/21","9:22 PM","19.73","0.00","0","1.53","0","21.26","-2.96","0","-0.95","0","0"
"O-718417114683225","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/19/21","6:59 PM","27.96","6.99","0","2.09","5.90","42.94","-5.24","0","-1.37","0","-8.00"
"O-101417126127724","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/20/21","5:20 PM","19.98","4.99","0","1.94","3.23","30.14","-3.75","0","-1.22","0","0"
"O-751016927653537","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/1/21","5:42 PM","22.95","8.99","0","2.48","2.47","36.89","-4.79","0","-1.43","0","0"
"O-308317014902236","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/9/21","5:18 PM","22.95","8.99","0","2.48","2.47","36.89","-4.79","0","-1.43","0","0"
"O-891917119935710","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/20/21","4:41 PM","27.57","8.99","0","2.84","2.00","41.40","-5.48","0","-1.56","0","0"
"O-069216931511144","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/2/21","3:52 PM","17.47","6.99","0","1.89","2.82","29.17","-3.67","0","-1.19","0","0"
"O-243817186084886","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/26/21","5:31 PM","50.97","8.99","0","4.65","10.98","75.59","-8.99","0","-2.61","0","0"
"O-280917213913315","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/30/21","11:30 AM","154.98","19.99","0","13.56","10.00","198.53","-30.62","0","-6.36","0","0"
"O-976717023353470","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/10/21","6:07 PM","16.98","1.99","0","1.47","3.07","23.51","-2.85","0","-1.02","0","0"
"O-571216920851867","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/1/21","11:49 AM","17.52","0.00","0","1.36","0","18.88","-2.63","0","-0.88","0","0"
"O-469517164812687","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/24/21","5:35 PM","92.92","0.00","0","7.20","15.01","115.13","-13.94","0","-3.81","0","0"
"O-597817039253537","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/12/21","2:30 PM","44.96","0.00","0","3.48","0","48.44","-6.74","0","-1.78","0","0"
"O-680717107258557","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/19/21","12:14 PM","16.98","6.99","0","1.86","4.58","30.41","-3.60","0","-1.23","0","0"
"T-AwEAAAAAAA9Ooq76n7BLmhHsudhNpdiHniA","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","52731710-6410833 - AR","11/22/21","5:47 AM","0","0.00","0","0.00","0","45.96","0","0","0","0","0"
"O-131816965938094","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/5/21","12:02 PM","16.98","6.99","0","1.24","4.58","29.79","-3.60","0","-0.96","0","-8.00"
"O-043616994595583","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/21","6:45 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-891917209929186","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/29/21","12:30 PM","16.02","0.00","0","1.24","0","17.26","-2.40","0","-0.83","0","0"
"O-186517019736925","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/10/21","11:12 AM","21.99","0.00","0","1.70","3.55","27.24","-3.30","0","-1.13","0","0"
"O-762816962647344","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/5/21","11:54 AM","43.26","1.99","0","3.50","10.00","58.75","-6.79","0","-2.09","0","0"
"O-101417106135267","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/18/21","9:52 PM","24.98","4.99","0","2.33","6.46","38.76","-4.50","0","-1.48","0","0"
"T-AwEAAAAAAA9Oot133CBPhBHsr0VHqG6-1Hs","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","24381718-6087546 CS","11/27/21","5:21 AM","0","0.00","0","0.00","0","30.46","0","0","0","0","0"
"O-976717043302881","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/12/21","8:10 PM","49.41","4.99","0","3.60","8.70","66.70","-8.16","0","-2.09","0","-8.00"
"O-560717048988127","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/13/21","12:05 PM","35.46","0.00","0","2.75","0","38.21","-5.32","0","-1.47","0","0"
"O-243817186087546","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/26/21","9:02 PM","21.99","2.99","0","1.93","3.55","30.46","-3.75","0","-1.23","0","0"
"O-733916981435078","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/6/21","7:20 PM","35.45","1.99","0","2.90","8.07","48.41","-5.62","0","-1.78","0","0"
