"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"7/17/2021 19:47:45","16.81","1.58","2.99","3.21","24.59","credit_card","delivery"
"Total","16.81","1.58","2.99","3.21","24.59","",""
"","","","","","","",""
"All Orders","24.59","","(all orders including cash and credit card paid orders)","","","",""
"Pre-Paid Orders","24.59","","(orders where the customer paid with a credit card online)","","","",""
"MenuStar Fees","2.38","","(includes credit card processing fee)","","","",""
"Adjustments","0","","(credits/debts posted to your account)","","","",""
"Net Payout","22.21","","(amount will be paid in your account in 3-4 days)","","","",""
