order_id,provider,reason
110946798,AMECI,cancelled_manual_override
126819939,AMECI,refunded_manual_override
54772613,AROMA,cancelled_manual_override
60444399,AROMA,cancelled_manual_override
64421145,AROMA,cancelled_manual_override
78605656,AROMA,voided_manual_override
80358548,AROMA,cancelled_manual_override
88412294,AROMA,cancelled_manual_override
92877715,AROMA,cancelled_manual_override
93736299,AROMA,cancelled_manual_override
36300767,AROMA,cancelled_manual_override
36301166,AROMA,cancelled_manual_override
37510891,AROMA,cancelled_manual_override
39231967,AROMA,cancelled_manual_override
123499924,AMECI,cancelled_manual_override
129788416,AMECI,cancelled_manual_override
137616776,AMECI,cancelled_manual_override
101910224,AROMA,cancelled_manual_override
103010747,AROMA,cancelled_manual_override
113805272,AROMA,cancelled_manual_override
115235299,AROMA,cancelled_manual_override
123066954,AROMA,cancelled_manual_override
