"Delivery Date","Order #",Name,Location,"Food Total",Period,"Check Date"
12/14/2021,1304300,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",50.74,1,01/07/2022
12/08/2021,1299276,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",182.21,26,12/24/2021
12/06/2021,1302783,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",159.94,26,12/24/2021
12/03/2021,1300674,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",22.95,26,12/24/2021
12/03/2021,1300676,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",18.97,26,12/24/2021
12/03/2021,1300704,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",22.95,26,12/24/2021
12/03/2021,1300723,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",22.97,26,12/24/2021
12/03/2021,1300971,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",16.98,26,12/24/2021
12/03/2021,1301163,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",26.15,26,12/24/2021
12/03/2021,1301329,"Ameci Pizza & Pasta","Ameci Pizza & Pasta - Lake Forest",24.94,26,12/24/2021
12/03/2021,1296133,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",225.39,26,12/24/2021
12/03/2021,1300716,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",14.99,26,12/24/2021
12/01/2021,1296131,"Aroma Pizza & Pasta","Aroma Pizza & Pasta",174.67,26,12/24/2021
