"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"11/17/2022 21:22:10","33.58","2.6","0","0","36.18","credit_card","pickup"
"11/20/2022 21:29:01","48.2","3.97","2.99","8.27","63.43","credit_card","delivery"
"11/25/2022 21:14:26","52.4","4.22","1.99","8.79","67.4","credit_card","delivery"
"11/26/2022 20:04:46","91.59","7.1","0","0","98.69","cash","pickup"
"11/28/2022 22:13:47","52.48","4.07","0","0","56.55","credit_card","pickup"
"Total","278.25","21.96","4.98","17.06","322.25","",""
"","","","","","","",""
"All Orders","322.25","","(all orders including cash and credit card paid orders) ","","","",""
"Pre-Paid Orders","223.56","","(orders where the customer paid with a credit card online) ","","","",""
"MenuStar Fees","51.23","","(includes credit card processing fee) ","","","",""
"Adjustments","0","","(credits/debts posted to your account) ","","","",""
"Net Payout","172.33","","(you will receive a check for this amount in 3-4 days)","","","",""
