Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Aroma Pizza,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,10.75,0,0,10.75,2021-01-11
Aroma Pizza,,#DA96F,c153c848-e0f9-444b-af7b-57899d0da96f,,Unknown,Refund,2020-12-30,18:24,-9.98,-0.77,-10.75,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-10.75,2021-01-04
Aroma Pizza,,#E92C7,5a64fec3-1726-4af8-8dcf-7606d5de92c7,Delivery - Partner Using Uber App,iOS,Completed,2021-01-01,14:21,26.97,2.09,29.06,0,0,0,0,0,0,0,0,29.06,-5.12,0,0,0,0,0,,0,0,0,23.94,2021-01-04
Aroma Pizza,,#6AACE,d3edd8f7-eabd-437b-a509-2f6ec936aace,Delivery - Partner Using Uber App,Android,Completed,2021-01-01,16:22,24.74,1.92,26.66,0,0,0,0,0,0,0,0,26.66,-4.7,0,0,0,0,0,,0,0,0,21.96,2021-01-04
Aroma Pizza,,#AB033,264b5a00-50c9-4775-acbc-e92c1bdab033,Pickup,iOS,Completed,2021-01-01,18:02,15.98,1.24,17.22,0,0,0,0,0,0,0,0,17.22,0,0,0,0,0,0,,0,0,0,17.22,2021-01-04
Aroma Pizza,,#11346,47b22acd-a82c-4c41-8d1c-c0f28fe11346,Delivery - Partner Using Uber App,iOS,Completed,2021-01-02,18:14,23.66,1.83,25.49,0,0,0,0,0,0,0,0,25.49,-4.5,0,0,0,0,0,,0,0,0,20.99,2021-01-04
Aroma Pizza,,#7ABC6,978ff9f9-490e-436a-ad68-ecdbb297abc6,Delivery - Partner Using Uber App,Android,Completed,2021-01-02,18:50,22.76,1.76,24.52,0,0,0,0,0,0,0,0,24.52,-4.32,0,0,0,0,0,,0,0,0,20.2,2021-01-04
Aroma Pizza,,#D7F39,42b8aa76-8dab-4f08-aaa0-43d7cf9d7f39,Delivery - Partner Using Uber App,iOS,Completed,2021-01-03,16:23,42.72,3.31,46.03,0,0,0,0,0,0,0,0,46.03,-8.12,0,0,0,0,0,,0,0,0,37.91,2021-01-04
Aroma Pizza,,#207EC,dcd4c7e8-e9fd-40bb-98b9-9e6273f207ec,Delivery - Partner Using Uber App,Android,Completed,2021-01-04,15:05,67.55,5.24,72.79,0,0,0,0,0,0,0,0,72.79,-12.83,0,0,0,0,0,,0,0,0,59.96,2021-01-11
Aroma Pizza,,#49B71,6d9173bf-52dc-400a-b1eb-c00999449b71,Delivery - Partner Using Uber App,iOS,Completed,2021-01-05,10:51,20.73,1.61,22.34,0,0,0,0,0,0,0,0,22.34,-3.94,0,0,0,0,0,,0,0,0,18.4,2021-01-11
Aroma Pizza,,#9AF50,f3cba906-d3e8-4bf4-910a-9ed349c9af50,Delivery - Partner Using Uber App,iOS,Completed,2021-01-06,11:07,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,0,0,21.28,2021-01-11
Aroma Pizza,,#FF95C,1a815300-adc5-41e0-b866-1023ca5ff95c,Pickup,iOS,Completed,2021-01-07,12:55,25.98,2.01,27.99,0,0,0,0,0,0,0,0,27.99,0,0,0,0,0,0,,0,0,0,27.99,2021-01-11
