Statement Date:,,,1/31/21,,,Merchant ID:,4445028946467,,
Statement Period:,,,1/01/21 - 1/31/21,,,Merchant Name:,Aroma Pizza and Pasta - Lake Forest,,
,,,,,,Merchant Address:,20491 Alton Parkway,,
,,,,,,,"Lake Forest, CA 92610",,
Card Processing - Visa / MasterCard / Discover / Amex,,,,,,,,,
Type,Rate,Payments,,Refunds,,"Fees
Collected","Fee
Adjustments","Fees
Adjusted",Net
V/MC/D,2.0523% + 0.15,735,"$16,779.21",0,$0.00,$454.62,-$0.01,$454.61,"$16,324.60"
V/MC/D,2.449% + 0.15,258,"$10,670.68",1,$74.18,$300.10,-$0.08,$300.02,"$10,296.48"
(Keyed),,,,,,,,,
Amex,2.9469% + 0.15,29,$864.91,0,$0.00,$29.83,$0.01,$29.84,$835.07
Amex (Keyed),3.4847% + 0.15,30,"$1,187.68",1,$102.55,$45.88,$0.01,$45.89,"$1,039.24"
Total,,1052,"$29,502.48",2,$176.73,$830.43,-$0.07,$830.36,"$28,495.39"
Credit Card Batches,,,,,,,,,
Settled Date,,Batch Date,,,Payments,,Refunds,Fees,Net (Dep)
1/1/2021,,12/30/2020 9:47 PM,,,85.03,,0.00,2.38,82.65
,,12/30/2020 9:47 PM,,,788.85,,0.00,21.55,767.30
,,12/31/2020 4:23 AM,,,19.81,,0.00,0.64,19.17
1/2/2021,,12/31/2020 9:37 PM,,,280.39,,0.00,7.63,272.76
,,12/31/2020 9:37 PM,,,"1,499.82",,0.00,40.30,"1,459.52"
,,12/31/2020 9:42 PM,,,142.41,,0.00,4.09,138.32
,,1/1/2021 8:17 PM,,,252.01,,0.00,6.77,245.24
1/3/2021,,1/1/2021 8:17 PM,,,957.38,,0.00,25.43,931.95
1/4/2021,,1/2/2021 9:47 PM,,,272.71,,0.00,7.58,265.13
,,1/2/2021 9:47 PM,,,609.11,,0.00,17.19,591.92
1/5/2021,,1/3/2021 9:48 PM,,,100.50,,0.00,3.07,97.43
,,1/3/2021 9:48 PM,,,490.27,,0.00,13.13,477.14
,,1/4/2021 5:11 AM,,,48.47,,0.00,1.34,47.13
,,1/4/2021 9:43 PM,,,371.53,,0.00,11.01,360.52
1/6/2021,,1/4/2021 9:43 PM,,,36.37,,0.00,1.04,35.33
,,1/5/2021 9:14 PM,,,574.78,,0.00,15.52,559.26
1/7/2021,,1/5/2021 9:14 PM,,,76.58,,0.00,2.18,74.40
,,1/5/2021 9:15 PM,,,160.88,,0.00,4.54,156.34
1/8/2021,,1/6/2021 9:30 PM,,,90.92,,0.00,2.68,88.24
,,1/6/2021 9:30 PM,,,443.20,,0.00,12.71,430.49
1/9/2021,,1/7/2021 9:40 PM,,,396.88,,0.00,12.27,384.61
,,1/7/2021 9:40 PM,,,247.81,,0.00,7.88,239.93
1/10/2021,,1/8/2021 10:12 PM,,,"1,366.47",,0.00,37.29,"1,329.18"
,,1/8/2021 10:12 PM,,,575.95,,0.00,16.79,559.16
1/11/2021,,1/9/2021 9:50 PM,,,"1,006.88",,0.00,25.89,980.99
,,1/9/2021 9:50 PM,,,299.73,,0.00,9.13,290.60
,,1/10/2021 5:44 AM,,,104.22,,0.00,2.86,101.36
1/12/2021,,1/10/2021 9:47 PM,,,516.58,,0.00,14.77,501.81
,,1/10/2021 9:47 PM,,,261.10,,0.00,7.14,253.96
,,1/11/2021 4:23 AM,,,20.23,,0.00,0.65,19.58
1/13/2021,,1/11/2021 9:41 PM,,,283.94,,0.00,9.14,274.80
,,1/12/2021 4:22 AM,,,31.98,,0.00,0.93,31.05
1/14/2021,,1/13/2021 4:24 AM,,,270.66,,0.00,8.42,262.24
,,1/13/2021 4:24 AM,,,169.81,,0.00,4.61,165.20
,,1/13/2021 9:40 PM,,,468.86,,0.00,13.03,455.83
1/15/2021,,1/13/2021 9:40 PM,,,153.87,,0.00,4.37,149.50
1/16/2021,,1/14/2021 9:40 PM,,,596.46,,0.00,17.81,578.65
,,1/14/2021 9:40 PM,,,97.31,,0.00,3.13,94.18
,,1/15/2021 4:41 AM,,,101.49,,0.00,3.69,97.80
,,1/15/2021 9:58 PM,,,301.05,,0.00,9.08,291.97
1/17/2021,,1/15/2021 9:58 PM,,,939.42,,0.00,25.93,913.49
1/18/2021,,1/16/2021 9:55 PM,,,699.86,,0.00,19.74,680.12
,,1/16/2021 9:55 PM,,,455.48,,0.00,13.04,442.44
,,1/17/2021 4:37 AM,,,95.72,,0.00,2.80,92.92

1/19/2021,1/17/2021 9:56 PM,808.58,0.00,23.04,785.54
,1/17/2021 9:56 PM,331.69,0.00,9.33,322.36
,1/18/2021 4:24 AM,11.84,0.00,0.44,11.40
1/20/2021,1/18/2021 9:38 PM,65.52,0.00,2.05,63.47
,1/18/2021 9:38 PM,446.29,0.00,13.04,433.25
1/21/2021,1/19/2021 9:30 PM,350.55,0.00,10.36,340.19
,1/19/2021 9:30 PM,261.27,0.00,7.75,253.52
1/22/2021,1/20/2021 9:37 PM,267.83,102.55,11.43,256.40
,1/20/2021 9:37 PM,69.98,0.00,2.01,67.97
1/23/2021,1/21/2021 9:39 PM,595.09,0.00,16.58,578.51
,1/21/2021 9:39 PM,149.92,0.00,4.64,145.28
1/24/2021,1/22/2021 9:42 PM,359.62,0.00,11.01,348.61
,1/22/2021 9:42 PM,"1,983.01",0.00,52.67,"1,930.34"
1/25/2021,1/23/2021 9:47 PM,550.45,0.00,16.73,533.72
,1/23/2021 9:47 PM,564.79,74.18,17.75,547.04
1/26/2021,1/24/2021 9:48 PM,151.61,0.00,4.46,147.15
,1/24/2021 9:48 PM,595.59,0.00,15.67,579.92
1/27/2021,1/25/2021 9:46 PM,141.39,0.00,4.05,137.34
,1/25/2021 9:46 PM,414.96,0.00,12.19,402.77
1/28/2021,1/26/2021 9:39 PM,270.48,0.00,7.64,262.84
,1/26/2021 9:39 PM,85.16,0.00,2.38,82.78
1/29/2021,1/27/2021 9:42 PM,723.55,0.00,20.51,703.04
,1/27/2021 9:42 PM,229.79,0.00,6.52,223.27
1/30/2021,1/28/2021 9:36 PM,837.02,0.00,23.37,813.65
,1/28/2021 9:36 PM,167.70,0.00,5.17,162.53
1/31/2021,1/29/2021 9:52 PM,"1,583.43",0.00,43.14,"1,540.29"
,1/29/2021 9:52 PM,545.86,0.00,15.33,530.53
,Total,"29,502.48",176.73,830.43,"28,495.32"

Summary,
Previous Credit Card Balance,-15.15
Monthly Adjustments,0.07
Refund Adjustments,1.74
Payments,15.15
Credit Card Balance,1.81
