Timestamp UTC Time,Timestamp UTC Date,Timestamp Local Time,Timestamp Local Date,Payout Time,Payout Date,Store ID,Business ID,Store Name,Merchant Store ID,Transaction Type,Transaction ID,DoorDash Order ID,Merchant Delivery ID,External ID,Description,Final Order Status,Currency,Subtotal,Tax Subtotal,Commission,Commission Tax,Marketing Fees,Tips,Credit,Debit,DoorDash Transaction ID,Payout ID,Drive Charge,Tax Remitted by DoorDash to State,Subtotal for tax,Doordash funded subtotal discount amount,Merchant funded subtotal discount amount,Consumer Delivery Fee,Consumer Service Fee,Consumer Small Order Fee,Consumer Legislative Fee,Consumer Tip
19:58:15,2022-01-01,11:58:15,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,a6e8e635-0150-408e-862e-521e70ecb67b,"=""70ecb67b""",NULL,NULL,"Order Received Time: 2022-01-01 19:05:58.155475000
Order Pickup Time: 2022-01-01 19:58:15.466872000",Delivered,USD,31.98,2.48,4.8,0.0,0.0,0.0,29.66,0.0,3494317595,194160282,0.0,0.0,31.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:08:51,2022-01-01,12:08:51,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,a5ba42f1-f40f-45f8-9e2f-a457d1eff92b,"=""d1eff92b""",NULL,NULL,"Order Received Time: 2022-01-01 19:51:44.829907000
Order Pickup Time: 2022-01-01 20:08:51.649500000",Delivered,USD,34.45,2.67,5.17,0.0,0.0,0.0,31.95,0.0,3494380162,194160282,0.0,0.0,34.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:03:31,2022-01-01,15:03:31,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,fc99f5b0-e47c-4218-a6a4-d73cd8df4da3,"=""d8df4da3""",NULL,NULL,"Order Received Time: 2022-01-01 21:13:00.106309000
Order Pickup Time: 2022-01-01 23:03:31.114000000",Picked Up,USD,21.97,1.7,1.32,0.0,0.0,0.0,22.35,0.0,3495477272,194160282,0.0,0.0,21.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:32:50,2022-01-01,15:32:50,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,d6a12dfa-7c1a-4a99-ade4-f1682d05fe55,"=""2d05fe55""",NULL,NULL,"Order Received Time: 2022-01-01 23:19:49.202860000
Order Pickup Time: 2022-01-01 23:32:50.569471000",Delivered,USD,15.48,1.2,2.32,0.0,0.99,0.0,13.37,0.0,3495695658,194160282,0.0,0.0,15.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:19:18,2022-01-02,16:19:18,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,5a9dcc50-a2d6-461d-9fe4-d719c2e35960,"=""c2e35960""",NULL,NULL,"Order Received Time: 2022-01-01 23:25:08.057800000
Order Pickup Time: 2022-01-02 00:19:18.923509000",Delivered,USD,20.98,1.63,3.15,0.0,0.0,0.0,19.46,0.0,3496054543,194160282,0.0,0.0,20.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:41:16,2022-01-02,16:41:16,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,4a1c6537-69bf-4e91-bb8c-50a070a07a11,"=""70a07a11""",NULL,NULL,"Order Received Time: 2022-01-02 00:18:33.777701000
Order Pickup Time: 2022-01-02 00:41:16.954613000",Delivered,USD,31.94,2.48,4.79,0.0,0.99,0.0,28.64,0.0,3496229761,194160282,0.0,0.0,31.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:04:58,2022-01-02,17:04:58,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,e64d6a8b-6320-4987-bf5b-853b934a835a,"=""934a835a""",NULL,NULL,"Order Received Time: 2022-01-02 00:26:32.047531000
Order Pickup Time: 2022-01-02 01:04:58.555538000",Delivered,USD,70.41,5.46,10.56,0.0,0.0,0.0,65.31,0.0,3496418192,194160282,0.0,0.0,70.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:29:16,2022-01-02,17:29:16,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,12af2001-f582-45fc-9183-92c19a4e6845,"=""9a4e6845""",NULL,NULL,"Order Received Time: 2022-01-02 01:14:01.966187000
Order Pickup Time: 2022-01-02 01:29:16.983623000",Delivered,USD,24.97,1.94,3.75,0.0,0.0,0.0,23.16,0.0,3496609558,194160282,0.0,0.0,24.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:50:24,2022-01-02,17:50:24,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,d0b2d7c9-6822-44ed-a677-4abc8a6f3cf2,"=""8a6f3cf2""",NULL,NULL,"Order Received Time: 2022-01-02 01:17:58.257974000
Order Pickup Time: 2022-01-02 01:50:24.065430000",Delivered,USD,40.98,3.18,6.15,0.0,0.0,0.0,38.01,0.0,3496775630,194160282,0.0,0.0,40.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:53:18,2022-01-02,17:53:18,2022-01-01,2022-01-05 08:36:05.265908,2022-01-05,486867,223895,Aroma Pizza & Pasta,NULL,DELIVERY,1dc866a4-dfe2-44af-a8ec-18dff4200067,"=""f4200067""",NULL,NULL,"Order Received Time: 2022-01-02 01:29:59.422733000
Order Pickup Time: 2022-01-02 01:53:18.528670000",Delivered,USD,42.96,3.33,6.44,0.0,0.99,0.0,38.86,0.0,3496797435,194160282,0.0,0.0,42.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
