"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-043616964590365","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/4/21","6:42 PM","21.98","2.99","0","1.93","8.07","34.97","-3.12","-1.37","0"
"W-582817206682545","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/28/21","7:06 PM","38.97","0.00","0","3.02","2.10","44.09","0","-1.64","0"
"O-863617107367731","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/18/21","5:21 PM","48.97","0.00","0","3.80","0","52.77","-6.12","-1.91","0"
"O-043616994555133","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/8/21","4:07 PM","21.98","0.00","0","1.70","0","23.68","-2.75","-1.02","0"
"O-571216930812729","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/1/21","6:17 PM","30.16","2.99","0","2.57","5.36","41.08","-4.14","-1.55","0"
"O-568217070250492","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/15/21","5:56 PM","14.99","0.00","0","1.16","0","16.15","-1.87","-0.79","0"
"O-304416954114231","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/4/21","12:24 PM","22.73","0.00","0","1.76","0","24.49","-2.84","-1.05","0"
"O-624416993809398","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/8/21","3:08 PM","11.99","0.00","0","0.93","0","12.92","-1.50","-0.69","0"
"W-891917219993443","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/29/21","6:15 PM","23.98","0.00","0","1.86","3.88","29.72","0","-1.21","0"
"O-568217020214104","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/11/21","12:16 PM","15.57","2.99","0","1.44","3.00","23.00","-2.32","-1.00","0"
"W-532216962689775","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/5/21","3:01 PM","68.18","0.00","0","5.28","11.02","84.48","0","-2.88","0"
"O-685217169529621","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/24/21","5:08 PM","22.96","2.99","0","2.01","5.59","33.55","-3.24","-1.32","0"
"O-985817059670892","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/14/21","2:33 PM","35.99","2.99","0","3.02","6.30","48.30","-4.87","-1.77","0"
"O-548917131939085","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/21","6:31 PM","56.44","0.00","0","4.37","9.11","69.92","-7.06","-2.43","0"
"O-098116989253050","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/6/21","10:08 PM","20.47","4.99","0","1.98","4.12","31.56","-3.18","-1.26","0"
"O-891917229998613","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/30/21","8:45 PM","15.98","0.00","0","1.24","0","17.22","-2.00","-0.83","0"
"O-759216996641988","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/7/21","5:02 PM","16.78","0.00","0","1.30","0","18.08","-2.10","-0.85","0"
"O-574116950174179","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-574116950174179","Tip increased by diner via self-service - Tip updated by diner via help interaction","11/4/21","3:47 PM","0","0.00","0","0.00","0","0.00","0","0","0"
"W-503717102157685","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/19/21","1:00 PM","51.46","4.99","0","4.38","15.21","76.04","0","-2.62","0"
"W-243817106086187","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/18/21","6:42 PM","25.97","2.99","0","2.24","4.68","35.88","0","-1.39","0"
"O-868316951888159","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/4/21","1:58 PM","21.99","4.99","0","2.09","3.55","32.62","-3.37","-1.29","0"
"O-624416963884619","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/5/21","5:09 PM","18.99","0.00","0","1.47","0","20.46","-2.37","-0.92","0"
"O-054317199900511","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/27/21","6:42 PM","33.72","0.00","0","2.61","0","36.33","-4.22","-1.41","0"
"O-582817166688969","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/24/21","5:28 PM","25.98","0.00","0","2.01","1.00","28.99","-3.25","-1.18","0"
"W-174617184931261","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/26/21","6:18 PM","66.90","0.00","0","5.18","5.00","77.08","0","-2.65","0"
"O-280917183919921","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/26/21","6:29 PM","31.96","0.00","0","2.48","0","34.44","-4.00","-1.35","0"
"W-870516956153286","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/4/21","12:22 PM","38.97","0.00","0","3.02","0","41.99","0","-1.58","0"
"W-456716970621517","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/5/21","7:45 PM","44.74","0.00","0","3.47","7.23","55.44","0","-1.99","0"
"T-AwEAAAAAAATV6QAJsPBGFxHstQYTtPzpPhI","Ameci Pizza & Pasta - Trabuco Rd","Account Adjustment","568217060264903, RS","11/15/21","5:21 AM","0","0.00","0","0.00","0","19.20","0","0","0"
"O-532216972630864","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/5/21","8:19 PM","15.98","2.99","0","1.47","3.06","23.50","-2.37","-1.02","0"
"O-755817204970633","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/28/21","5:19 PM","32.30","4.99","0","2.89","6.03","46.21","-4.66","-1.71","0"
"W-529317059097826","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/14/21","1:34 PM","34.47","2.99","0","2.90","6.05","46.41","0","-1.72","0"
"O-739017002566626","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/9/21","2:00 PM","16.98","2.99","0","1.55","3.00","24.52","-2.50","-1.05","0"
"O-101417116144995","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/21","1:31 PM","11.99","0.00","0","0.93","0","12.92","-1.50","-0.69","0"
"O-469517114868457","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/21","4:31 PM","46.24","2.99","0","3.81","7.96","61.00","-6.15","-2.16","0"
"O-188117182600739","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/26/21","7:43 PM","21.98","2.99","0","1.93","8.07","34.97","-3.12","-1.37","0"
"O-527317186492006","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/26/21","5:55 PM","64.82","0.00","0","5.02","0","69.84","-8.10","-2.43","0"
"O-590717106114720","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/19/21","3:51 PM","30.27","2.99","0","2.58","3.26","39.10","-4.16","-1.49","0"
"O-590717166153480","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-590717166153480","Tip increased by diner via self-service - Tip updated by diner via help interaction","11/24/21","7:11 PM","0","0.00","0","0.00","0","0.00","0","0","0"
"O-101417196124938","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/27/21","7:48 PM","31.94","2.99","0","2.71","3.00","40.64","-4.37","-1.54","0"
"O-529317019059530","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/9/21","5:08 PM","20.47","2.99","0","1.82","10.00","35.28","-2.93","-1.38","0"
"O-693517154512587","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/23/21","8:19 PM","31.98","2.99","0","2.71","6.89","44.57","-4.37","-1.66","0"
"O-406917039128601","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/11/21","7:16 PM","66.19","2.99","0","5.36","11.18","85.72","-8.65","-2.91","0"
"O-868316971884993","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/5/21","7:43 PM","35.96","2.99","0","3.02","6.30","48.27","-4.87","-1.77","0"
"O-568217040200001","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/21","3:30 PM","20.98","2.99","0","1.86","5.17","31.00","-3.00","-1.25","0"
"O-174617184915572","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/27/21","2:01 PM","30.55","2.99","0","2.60","7.23","43.37","-4.19","-1.62","0"
"O-314517205501896","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/28/21","9:47 PM","20.98","4.99","0","2.02","2.00","29.99","-3.25","-1.21","0"
"O-866516987144716","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/6/21","8:45 PM","21.57","2.99","0","1.90","2.65","29.11","-3.07","-1.19","0"
"O-685217129595986","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/21","9:32 PM","24.19","0.00","0","1.87","0","26.06","-3.02","-1.09","0"
"O-568217060264903","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-568217060264903","Restaurant closed","11/14/21","10:13 PM","-19.20","0.00","0","-1.49","0","-20.69","2.40","0.93","0"
"O-193917016864772","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/10/21","1:00 PM","32.71","0.00","0","2.54","0","35.25","-4.09","-1.38","0"
"W-188117122662355","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/21","4:03 PM","49.96","0.00","0","3.87","0","53.83","0","-1.94","0"
"O-863617167392729","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/24/21","9:46 PM","18.97","2.99","0","1.70","2.37","26.03","-2.75","-1.09","0"
"W-755817174997204","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/26/21","1:36 PM","27.76","0.00","0","2.15","0","29.91","0","-1.21","0"
"O-469517114818513","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/19/21","6:08 PM","33.98","2.99","0","2.86","5.97","45.80","-4.62","-1.70","0"
