Transaction ID,Merchant Delivery ID,Timestamp Local Date,Payout Date,Store Name,Store ID,Store Address,Business ID,Merchant Store ID,Error Charge,Adjustment,Transaction Type,Description
364579692,4655f813-a4fe-4bc1-8d08-b9d2e86e22ea,2022-01-27,2022-01-31,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,4.2,0.0,ERROR_CHARGE,Issue: 1 Tiramisu missing
363962060,ac570777-d6b7-40b7-9b1d-52758dfe81e3,2022-01-26,2022-01-31,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,6.93,0.0,ERROR_CHARGE,"Issue: 1 Lunch Fettuccine Alfredo missing
1 Lunch Meatball Sandwich with Cheese missing
1 Lunch Turkey Melt Sandwich missing"
364571505,0ad938d4-d451-4a20-9eb2-e25b1b304a05,2022-01-27,2022-01-31,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,2.31,0.0,ERROR_CHARGE,Issue: 1 Baked Manicotti missing
362713011,0199d375-7146-435e-81fa-7f15019b49ea,2022-01-24,2022-01-28,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,0.0,4.2,ADJUSTMENT,merchant_payment_adjustment
362713191,9684c27e-d20d-4d68-af06-0cbe8d4ec451,2022-01-24,2022-01-28,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,0.0,2.52,ADJUSTMENT,merchant_payment_adjustment
362714564,eeffc49a-6069-441e-a7dd-b61599b25556,2022-01-24,2022-01-28,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,0.0,9.24,ADJUSTMENT,merchant_payment_adjustment
362714415,a470cc8f-553d-459a-8917-08bafaf36078,2022-01-24,2022-01-28,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,0.0,4.2,ADJUSTMENT,merchant_payment_adjustment
362714260,d7ea80b5-1600-4eb0-81fe-fc751bed5186,2022-01-24,2022-01-28,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,0.0,4.2,ADJUSTMENT,merchant_payment_adjustment
362713335,9dd344aa-3cd2-4782-86c2-2697f854f7b9,2022-01-24,2022-01-28,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,0.0,10.08,ADJUSTMENT,merchant_payment_adjustment
362711611,905d8491-f255-4b4d-bdd4-01e07f76da64,2022-01-24,2022-01-28,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,0.0,4.2,ADJUSTMENT,merchant_payment_adjustment
362713460,95643623-fcdd-4717-9b93-35bf14c520f7,2022-01-24,2022-01-28,Ameci Pizza & Pasta (Trabuco Rd),111737,"25431 Trabuco Rd, Lake Forest, CA 92630, USA",4736,NULL,0.0,9.24,ADJUSTMENT,merchant_payment_adjustment
