"Facility","Brand","Source","Date","Total Orders","Total Revenue"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-06-05","3","$58.69"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-06-05","2","$41.96"
"Aroma Pizza - Lake Forest","44bcba91-e563-447b-becc-9f9290b18b63","doordash","2021-06-05","1","$24.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-06-05","13","$390.40"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","ubereats","2021-06-05","1","$17.98"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","doordash","2021-06-05","3","$83.70"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","ubereats","2021-06-05","2","$79.75"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-06-05","10","$359.31"
"Aroma Pizza - Lake Forest","Aroma Pizza","menufy","2021-06-05","1","$26.99"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","doordash","2021-06-05","3","$104.98"
"Aroma Pizza - Lake Forest","44bcba91-e563-447b-becc-9f9290b18b63","ubereats","2021-06-05","1","$17.98"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-06-05","6","$163.92"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-06-05","9","$342.82"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-06-05","1","$13.99"
"Aroma Pizza - Lake Forest","c8b2e742-0870-4f3e-84e3-71137b4ee7e5","doordash","2021-06-05","3","$110.97"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","grubhub","2021-06-05","1","$22.98"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","grubhub","2021-06-05","1","$60.97"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-06-05","4","$107.37"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","ubereats","2021-06-06","1","$21.48"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-06-06","2","$58.45"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-06-06","5","$80.91"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-06-06","1","$31.70"
"Aroma Pizza - Lake Forest","c8b2e742-0870-4f3e-84e3-71137b4ee7e5","ubereats","2021-06-06","2","$64.98"
"Aroma Pizza - Lake Forest","7be74213-d4c9-4ca3-8dcc-00b6e3107599","ubereats","2021-06-06","1","$33.94"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-06-06","1","$14.24"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","ubereats","2021-06-06","1","$30.98"
"Aroma Pizza - Lake Forest","c6bcb3e5-1c3f-453e-88e8-2a5f70d39791","grubhub","2021-06-06","1","$35.90"
"Aroma Pizza - Lake Forest","692ed9a2-d0d7-4a4e-bc47-3e76336f3663","grubhub","2021-06-06","1","$19.99"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","ubereats","2021-06-06","2","$43.97"
"Aroma Pizza - Lake Forest","44bcba91-e563-447b-becc-9f9290b18b63","doordash","2021-06-06","1","$12.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-06-06","12","$464.65"
"Aroma Pizza - Lake Forest","Aroma Pizza","menufy","2021-06-06","1","$18.99"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","doordash","2021-06-06","4","$120.93"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","doordash","2021-06-06","6","$178.60"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","doordash","2021-06-06","3","$79.43"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-06-06","2","$43.47"
"Aroma Pizza - Lake Forest","4ff519b2-481c-4f12-b894-9e2f8d9a4f1d","grubhub","2021-06-06","1","$16.49"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","ubereats","2021-06-06","1","$56.80"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-06-06","6","$218.46"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-06-06","13","$518.87"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-06-06","19","$638.44"
"Aroma Pizza - Lake Forest","ca7590de-e9a1-49eb-8287-9e3ad0832ec9","ubereats","2021-06-07","1","$25.98"
"Aroma Pizza - Lake Forest","4ff519b2-481c-4f12-b894-9e2f8d9a4f1d","ubereats","2021-06-07","1","$19.98"
"Aroma Pizza - Lake Forest","4ff519b2-481c-4f12-b894-9e2f8d9a4f1d","postmates","2021-06-07","1","$95.92"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-06-07","3","$71.18"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","ubereats","2021-06-07","1","$15.45"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-06-07","5","$109.45"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-06-07","1","$51.96"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","grubhub","2021-06-07","1","$22.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-06-07","3","$65.92"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","ubereats","2021-06-07","2","$54.00"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-06-07","5","$109.45"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-06-07","0","$0.00"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","ubereats","2021-06-07","1","$23.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-06-07","16","$389.10"
"Aroma Pizza - Lake Forest","7be74213-d4c9-4ca3-8dcc-00b6e3107599","ubereats","2021-06-07","4","$121.87"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","doordash","2021-06-07","2","$56.50"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","grubhub","2021-06-07","1","$25.98"
