Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,6/30/21,#658d67ec,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.99,-$11.20,$0.00,$2.17,,,$18.96,
Delivery,6/30/21,#ee2f3beb,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$36.00,-$14.10,$0.00,$2.37,,,$24.27,
Delivery,6/30/21,#b2334944,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.98,-$7.99,$0.00,$1.55,,,$13.54,
Delivery,6/30/21,#66341cfa,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.90,-$11.56,$0.00,$2.24,,,$19.58,
Delivery,6/30/21,#64e2cbbb,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$24.97,-$9.99,$0.00,$1.94,,,$16.92,
Delivery,6/30/21,#24f6f135,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$43.85,-$17.24,$0.00,$2.89,,,$29.50,
Delivery,6/30/21,#871115697017588,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$58.95,-$23.43,$0.00,$4.18,,,$39.70,
Delivery,6/30/21,#2c8fff52,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.98,-$12.89,$0.00,$2.17,,,$22.26,
Delivery,6/30/21,#841b27b7,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$1.00,,,$8.77,
Delivery,6/30/21,#0ce03c54,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.90,-$11.56,$0.00,$2.24,,,$19.58,
Delivery,6/30/21,#43dae11d,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$49.47,-$19.49,$0.00,$3.26,,,$33.24,
Delivery,6/30/21,#cc6c6c54,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.95,-$5.98,$0.00,$1.16,,,$10.13,
Delivery,6/30/21,#54ee6c6c,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.98,-$11.19,$0.00,$2.17,,,$18.96,
Delivery,6/30/21,#893A3,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.00,-$7.60,$0.00,$0.00,,,$11.40,
Delivery,6/30/21,#6ec31341,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.98,-$7.99,$0.00,$1.55,,,$13.54,
Delivery,6/30/21,#b807b58c,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.98,-$10.39,$0.00,$2.01,,,$17.60,
Delivery,6/30/21,#207215688308002,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$12.95,-$5.03,$0.00,$0.62,,,$8.54,
Delivery,6/30/21,#79527,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$0.00,,,$7.79,
Delivery,6/30/21,#7DD4F,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$16.45,-$6.58,$0.00,$0.00,,,$9.87,
Delivery,6/30/21,#be07939a,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$35.98,-$14.09,$0.00,$2.37,,,$24.26,
Delivery,6/30/21,#278215687674808,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$25.98,-$10.31,$0.00,$1.78,,,$17.45,
