"Facility","Brand","Source","Date","Total Orders","Total Revenue"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-02","3","$84.72"
"Aroma Pizza - Lake Forest","c6bcb3e5-1c3f-453e-88e8-2a5f70d39791","postmates","2021-04-02","1","$36.95"
"Aroma Pizza - Lake Forest","7be74213-d4c9-4ca3-8dcc-00b6e3107599","doordash","2021-04-02","1","$25.94"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-04-02","1","$43.94"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","postmates","2021-04-02","3","$43.85"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","ubereats","2021-04-02","1","$28.48"
"Aroma Pizza - Lake Forest","44bcba91-e563-447b-becc-9f9290b18b63","doordash","2021-04-02","1","$26.93"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","grubhub","2021-04-02","1","$21.48"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-04-02","1","$14.98"
"Aroma Pizza - Lake Forest","692ed9a2-d0d7-4a4e-bc47-3e76336f3663","grubhub","2021-04-02","1","$47.97"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","postmates","2021-04-02","1","$35.97"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","ubereats","2021-04-02","1","$36.98"
"Aroma Pizza - Lake Forest","c8b2e742-0870-4f3e-84e3-71137b4ee7e5","doordash","2021-04-02","1","$19.99"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-04-02","2","$47.91"
"Aroma Pizza - Lake Forest","c8b2e742-0870-4f3e-84e3-71137b4ee7e5","ubereats","2021-04-02","1","$13.00"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","ubereats","2021-04-02","1","$134.96"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-04-02","1","$12.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-02","2","$76.67"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","doordash","2021-04-02","1","$25.90"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-02","24","$826.18"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","ubereats","2021-04-02","1","$17.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-04-02","5","$216.78"
"Aroma Pizza - Lake Forest","c6bcb3e5-1c3f-453e-88e8-2a5f70d39791","grubhub","2021-04-02","1","$48.85"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-04-02","2","$84.83"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","doordash","2021-04-02","1","$50.99"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-04-02","7","$257.52"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-04-02","1","$69.89"
"Aroma Pizza - Lake Forest","c6bcb3e5-1c3f-453e-88e8-2a5f70d39791","doordash","2021-04-02","1","$30.90"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","postmates","2021-04-02","1","$12.99"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-04-02","5","$154.47"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-04-03","2","$66.94"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","ubereats","2021-04-03","2","$87.92"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-03","18","$636.98"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-04-03","1","$10.99"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","doordash","2021-04-03","4","$100.90"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","postmates","2021-04-03","1","$30.97"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","doordash","2021-04-03","2","$80.00"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","postmates","2021-04-03","1","$60.97"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","ubereats","2021-04-03","1","$25.00"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","grubhub","2021-04-03","1","$30.00"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-04-03","4","$117.68"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-04-03","2","$62.94"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-04-03","2","$92.86"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-03","12","$414.51"
"Aroma Pizza - Lake Forest","ca7590de-e9a1-49eb-8287-9e3ad0832ec9","ubereats","2021-04-03","1","$23.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-04-03","7","$275.28"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-04-03","1","$22.95"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-04-03","1","$38.46"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-04-03","13","$432.97"
"Aroma Pizza - Lake Forest","7be74213-d4c9-4ca3-8dcc-00b6e3107599","postmates","2021-04-03","2","$32.49"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-04-03","2","$60.95"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-03","5","$224.39"
"Aroma Pizza - Lake Forest","44bcba91-e563-447b-becc-9f9290b18b63","postmates","2021-04-03","1","$27.93"
"Aroma Pizza - Lake Forest","4ff519b2-481c-4f12-b894-9e2f8d9a4f1d","doordash","2021-04-03","2","$69.95"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-04-03","1","$41.94"
"Aroma Pizza - Lake Forest","The Wings Shack","grubhub","2021-04-03","1","$43.96"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-04-03","1","$15.98"
"Aroma Pizza - Lake Forest","4ff519b2-481c-4f12-b894-9e2f8d9a4f1d","doordash","2021-04-04","1","$27.98"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-04-04","1","$71.94"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","ubereats","2021-04-04","1","$25.00"
"Aroma Pizza - Lake Forest","c6bcb3e5-1c3f-453e-88e8-2a5f70d39791","doordash","2021-04-04","1","$25.95"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-04-04","2","$51.45"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-04","14","$529.73"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","postmates","2021-04-04","1","$22.99"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-04-04","6","$262.68"
"Aroma Pizza - Lake Forest","7be74213-d4c9-4ca3-8dcc-00b6e3107599","postmates","2021-04-04","2","$34.95"
"Aroma Pizza - Lake Forest","ca7590de-e9a1-49eb-8287-9e3ad0832ec9","grubhub","2021-04-04","1","$42.96"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","doordash","2021-04-04","3","$61.50"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","grubhub","2021-04-04","1","$12.99"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","grubhub","2021-04-04","2","$44.85"
"Aroma Pizza - Lake Forest","ca7590de-e9a1-49eb-8287-9e3ad0832ec9","doordash","2021-04-04","2","$64.94"
"Aroma Pizza - Lake Forest","44bcba91-e563-447b-becc-9f9290b18b63","doordash","2021-04-04","3","$76.39"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","doordash","2021-04-04","1","$49.95"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-04-04","2","$49.69"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-04-04","3","$144.33"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","doordash","2021-04-04","4","$68.75"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","postmates","2021-04-04","1","$25.98"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","doordash","2021-04-04","4","$151.84"
"Aroma Pizza - Lake Forest","ca7590de-e9a1-49eb-8287-9e3ad0832ec9","postmates","2021-04-04","1","$19.98"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","grubhub","2021-04-04","1","$32.00"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-04-04","1","$30.92"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","ubereats","2021-04-04","3","$79.42"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-04","4","$147.26"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-04-04","2","$51.96"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-04-04","1","$19.24"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","doordash","2021-04-04","1","$17.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-04","2","$82.86"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-04-05","3","$130.88"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-04-05","3","$80.46"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-05","1","$14.99"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","postmates","2021-04-05","1","$13.95"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","doordash","2021-04-05","3","$64.44"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","postmates","2021-04-05","1","$17.98"
"Aroma Pizza - Lake Forest","c8b2e742-0870-4f3e-84e3-71137b4ee7e5","doordash","2021-04-05","1","$52.99"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-04-05","1","$15.49"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-05","10","$316.64"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","doordash","2021-04-05","1","$19.48"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","doordash","2021-04-05","1","$17.99"
"Aroma Pizza - Lake Forest","c8b2e742-0870-4f3e-84e3-71137b4ee7e5","grubhub","2021-04-05","1","$31.99"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-04-05","1","$42.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-05","3","$130.88"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","ubereats","2021-04-05","2","$33.47"
"Aroma Pizza - Lake Forest","c6bcb3e5-1c3f-453e-88e8-2a5f70d39791","postmates","2021-04-06","1","$17.95"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","doordash","2021-04-06","1","$20.48"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","ubereats","2021-04-06","1","$57.95"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-04-06","4","$226.16"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","doordash","2021-04-06","2","$133.68"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-04-06","2","$71.91"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-06","3","$77.11"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-04-06","5","$129.45"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-06","2","$65.24"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","ubereats","2021-04-06","1","$43.46"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-06","10","$321.86"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","ubereats","2021-04-06","2","$56.00"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-04-06","2","$80.92"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-04-06","3","$102.90"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","postmates","2021-04-06","1","$17.98"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-04-06","1","$141.85"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","doordash","2021-04-06","4","$99.65"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","doordash","2021-04-06","1","$38.00"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","doordash","2021-04-06","1","$16.98"
"Aroma Pizza - Lake Forest","ca7590de-e9a1-49eb-8287-9e3ad0832ec9","postmates","2021-04-06","1","$42.96"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-04-06","1","$21.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-07","4","$114.17"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","doordash","2021-04-07","1","$27.23"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","doordash","2021-04-07","1","$18.50"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-04-07","2","$48.70"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","ubereats","2021-04-07","1","$20.48"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","postmates","2021-04-07","1","$12.49"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","doordash","2021-04-07","3","$54.80"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","ubereats","2021-04-07","1","$33.98"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-04-07","1","$27.72"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-04-07","5","$107.77"
"Aroma Pizza - Lake Forest","44bcba91-e563-447b-becc-9f9290b18b63","doordash","2021-04-07","1","$13.99"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-04-07","4","$155.04"
"Aroma Pizza - Lake Forest","c8b2e742-0870-4f3e-84e3-71137b4ee7e5","ubereats","2021-04-07","1","$19.99"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","postmates","2021-04-07","2","$75.93"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-07","1","$13.49"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","ubereats","2021-04-07","1","$25.00"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","postmates","2021-04-07","1","$17.99"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","postmates","2021-04-07","1","$11.00"
"Aroma Pizza - Lake Forest","692ed9a2-d0d7-4a4e-bc47-3e76336f3663","ubereats","2021-04-07","1","$27.98"
"Aroma Pizza - Lake Forest","44bcba91-e563-447b-becc-9f9290b18b63","postmates","2021-04-07","1","$34.89"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","postmates","2021-04-07","1","$26.90"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","ubereats","2021-04-07","1","$31.97"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-04-07","4","$114.17"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-07","23","$712.75"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-04-07","1","$12.99"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-04-07","1","$44.95"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","doordash","2021-04-08","3","$79.25"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-04-08","4","$91.92"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-08","14","$500.31"
"Aroma Pizza - Lake Forest","c8b2e742-0870-4f3e-84e3-71137b4ee7e5","doordash","2021-04-08","3","$39.00"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-04-08","2","$78.97"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-04-08","1","$12.49"
"Aroma Pizza - Lake Forest","7be74213-d4c9-4ca3-8dcc-00b6e3107599","grubhub","2021-04-08","1","$20.00"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","doordash","2021-04-08","3","$66.72"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-08","7","$218.20"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","postmates","2021-04-08","2","$23.48"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-08","4","$180.74"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","ubereats","2021-04-08","1","$45.96"
"Aroma Pizza - Lake Forest","c6bcb3e5-1c3f-453e-88e8-2a5f70d39791","postmates","2021-04-08","0","$0.00"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-04-08","2","$50.55"
"Aroma Pizza - Lake Forest","692ed9a2-d0d7-4a4e-bc47-3e76336f3663","postmates","2021-04-08","1","$36.23"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","doordash","2021-04-08","2","$56.95"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-04-08","1","$20.73"
"Aroma Pizza - Lake Forest","c8b2e742-0870-4f3e-84e3-71137b4ee7e5","ubereats","2021-04-08","1","$27.99"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-04-08","8","$253.41"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","doordash","2021-04-08","1","$24.97"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","postmates","2021-04-08","1","$25.98"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","grubhub","2021-04-08","1","$117.60"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","ubereats","2021-04-08","1","$15.49"
"Aroma Pizza - Lake Forest","ca7590de-e9a1-49eb-8287-9e3ad0832ec9","doordash","2021-04-08","1","$23.98"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","grubhub","2021-04-08","1","$17.98"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","postmates","2021-04-09","1","$35.98"
"Aroma Pizza - Lake Forest","ca7590de-e9a1-49eb-8287-9e3ad0832ec9","doordash","2021-04-09","1","$30.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-09","7","$186.93"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","doordash","2021-04-09","2","$33.97"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","doordash","2021-04-09","4","$120.10"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-04-09","1","$42.95"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-04-09","3","$91.38"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","ubereats","2021-04-09","1","$15.49"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","grubhub","2021-04-09","1","$12.99"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","doordash","2021-04-09","1","$18.50"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","postmates","2021-04-09","1","$12.99"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-04-09","10","$365.69"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-04-09","2","$49.98"
"Aroma Pizza - Lake Forest","7be74213-d4c9-4ca3-8dcc-00b6e3107599","postmates","2021-04-09","1","$28.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-09","21","$724.20"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","grubhub","2021-04-09","1","$28.49"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-04-09","1","$52.92"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-09","10","$365.69"
"Aroma Pizza - Lake Forest","c6bcb3e5-1c3f-453e-88e8-2a5f70d39791","postmates","2021-04-09","1","$13.90"
"Aroma Pizza - Lake Forest","4c322ce5-61b5-4dd7-ba21-c406bea01726","doordash","2021-04-09","4","$158.41"
"Aroma Pizza - Lake Forest","42197944-8663-4ed8-96d4-3c8a23c248cb","postmates","2021-04-09","2","$29.90"
"Aroma Pizza - Lake Forest","236a2bdd-c028-4182-adf2-486cee980fe2","ubereats","2021-04-09","1","$22.98"
"Aroma Pizza - Lake Forest","692ed9a2-d0d7-4a4e-bc47-3e76336f3663","grubhub","2021-04-09","1","$63.96"
"Aroma Pizza - Lake Forest","8456bd71-66df-4022-87fe-6e35388b0712","postmates","2021-04-09","1","$19.98"
"Aroma Pizza - Lake Forest","158c7911-5284-471b-9b52-b6646c78420a","postmates","2021-04-09","2","$52.00"
"Aroma Pizza - Lake Forest","13e2507a-4dcd-461a-af74-465bd3b3877c","postmates","2021-04-09","1","$12.99"
